repo,n_issues_sampled,median_issue_close_hours,n_prs_sampled,median_pr_merge_hours,issues_total_closed,prs_total_merged
metasploit-framework,100,964.6177777777777,100,398.43319444444444,6065,11978
juice-shop,100,71.53472222222223,100,42.07527777777778,997,1168
flask,100,0.9104166666666667,100,1.1765277777777778,2752,1630
terraform,100,72.89458333333334,100,21.515138888888888,19975,13538
FFmpeg,0,,0,,0,0
aspnetcore,100,649.0718055555556,100,35.02847222222222,35655,19503
Marlin,100,2560.646527777778,100,118.98180555555555,14549,9612
jekyll,100,60.10819444444445,100,35.37166666666667,4807,3204
PHPMailer,100,12.699861111111112,100,7.533194444444445,2105,564
go,100,47.87861111111111,1,312.4711111111111,62705,1
core,100,2329.6641666666665,100,10.604444444444445,69569,88603
bootstrap,100,22642.083055555555,100,4.238888888888889,22751,9391
dotfiles,100,79.04833333333335,44,11.935277777777777,255,44
Chart.js,100,238.2225,100,19.2625,6818,3018
WordPress,0,,0,,0,0
react-native,100,5333.236527777777,100,32.199444444444445,27014,982
pdf.js,100,304.6327777777778,100,8.943194444444444,10170,9031
DefinitelyTyped,100,1410.9529166666666,100,48.28888888888889,7552,53352
Python,100,1226.4329166666666,100,2.4184722222222224,70041,61275
grpc,100,3217.104027777778,100,48.183055555555555,11309,20811
framework,100,52.82625,100,8.595694444444444,19226,18211
guava,100,112.14486111111111,100,0.39805555555555555,3046,1394
flink,0,,100,21.536388888888887,0,11735
minimal-mistakes,100,286.24305555555554,100,694.3620833333334,1323,547
redis,100,171.34263888888887,100,88.16180555555556,4777,4655
ardupilot,100,210.5263888888889,100,124.22041666666667,6027,16928
material-ui,100,2095.403611111111,100,21.435000000000002,19104,22040
mybatis-3,100,427.4326388888889,100,46.475,1258,1631
ionic-framework,100,2608.4151388888886,100,22.96138888888889,21592,6701
imgui,100,39.10041666666666,100,3.6577777777777776,5844,425
TypeScript,100,145.32055555555556,100,21.594583333333333,38133,14891
odoo,100,580.6713888888889,100,302.6816666666666,15311,6182
rust,100,1243.162638888889,100,68.27888888888889,51667,72444
animate.css,100,267.69,100,110.46375,843,315
jquery,100,6.581666666666667,100,47.81666666666666,2310,900
Vue-core,100,20159.75083333333,100,75.60777777777778,5465,3948
lantern,100,92908.33236111111,100,12.078888888888889,7227,928
three.js,100,81.84972222222223,100,2.253611111111111,13426,15813
angular,100,54.888333333333335,100,35.066944444444445,29828,7048
grafana,100,718.1765277777778,100,14.381805555555555,41564,67752
netty,100,204.9398611111111,100,16.91166666666667,6348,5601
scrapy,100,7675.4413888888885,100,16.564166666666665,2880,2635
numpy,100,156.44986111111112,100,3.200277777777778,11887,14492
Ghost,100,709.2798611111111,100,1.3611111111111112,7260,17740
ansible,100,234.655,100,25.773194444444442,32877,39986
bitcoin,100,966.114861111111,100,217.7863888888889,8803,16660
airflow,100,766.2970833333334,100,20.057777777777776,13670,38435
FreeRDP,100,580.5733333333333,100,1.0543055555555556,4927,6529
todomvc,100,82335.63083333333,100,79.01208333333334,779,761
nixpkgs,100,4220.561388888889,100,9.747222222222222,47681,413920
markdown-here,100,727.5941666666666,27,0.0038888888888888888,334,27
flutter,100,415.3697222222222,100,6.305555555555555,102134,48953
go-ethereum,100,222.12916666666666,100,95.13263888888889,8510,9185
