repo,n_issues_sampled,median_issue_close_hours,n_prs_sampled,median_pr_merge_hours,issues_total_closed,prs_total_merged
opencv,100,1383.2211111111112,100,43.088055555555556,9046,13933
socket.io,100,3555.839861111111,100,94.73124999999999,3500,449
shadowsocks-android,100,397.2223611111111,100,33.04222222222222,2458,258
spring-framework,100,48.60680555555555,100,7.5368055555555555,27917,931
erpnext,100,40670.1575,100,3.9154166666666668,16661,31325
ohmyzsh,100,164.04958333333332,100,20.03944444444444,4915,3613
kafka,0,,100,73.09666666666666,0,13598
d3,100,2.74125,100,3.8701388888888886,2239,495
Rocket.Chat,100,426.97444444444443,100,21.83861111111111,14600,16624
azure-quickstart-templates,100,192.17916666666667,100,58.76402777777778,599,9940
moby,100,3542.3769444444442,100,11.140555555555556,20270,22853
etcd,100,637.7343055555556,100,21.11638888888889,7103,10524
homebrew-cask,100,5.749305555555555,100,0.6422222222222222,6882,233281
html5-boilerplate,100,3.561111111111111,100,155.58583333333334,1359,844
youtube-dl,100,36.55416666666666,100,195.57999999999998,23203,1646
java-design-patterns,100,8747.201944444445,100,20.067777777777778,856,1564
symfony,100,197.89722222222224,100,61.36944444444445,21814,26211
dubbo,100,368.91875000000005,100,130.46833333333333,6587,6129
jenkins,100,101.72694444444446,100,58.024166666666666,11171,9568
node,100,6402.751805555556,100,93.19666666666666,19236,12807
kubernetes,100,3617.0869444444443,100,156.96944444444443,47517,65310
qmk_firmware,100,733.3254166666667,100,236.9351388888889,3135,17607
darknet,100,135.7073611111111,10,41.075833333333335,562,10
HanLP,100,17.374444444444443,79,8.438888888888888,1416,79
electron,100,643.9263888888888,100,61.73097222222222,21001,26150
openssl,100,1532.2840277777777,100,0.42208333333333337,10423,148
vscode,100,69.94972222222222,100,1.7977777777777777,231073,50011
echarts,100,17748.29388888889,100,28.075694444444444,17930,1516
reveal.js,100,105.39375,100,76.13625,1710,415
AspNetCore.Docs,100,146.93027777777777,100,5.563750000000001,16334,17972
django,0,,100,65.16069444444445,0,10629
shadowsocks-windows,100,40.62152777777778,100,8.110416666666666,2728,290
react,100,1567.5593055555555,100,23.421944444444442,13768,12969
axios,100,11390.410555555554,100,17.041111111111114,4994,1433
elasticsearch,100,85.5175,100,17.853472222222223,41372,93322
protobuf,100,603.7434722222222,100,24.84652777777778,6761,9433
zxing,100,4.628055555555555,100,8.83111111111111,1347,384
godot,100,376.02486111111114,100,79.07013888888889,49521,42904
spark,36,548.8002777777778,8,33.61597222222222,36,8
laravel,0,,100,6.227777777777778,0,1703
gitignore,0,,100,770.2983333333334,0,1778
pandas,100,6709.015694444444,100,51.698750000000004,25587,29073
AdminLTE,100,26379.48388888889,100,128.2336111111111,2921,1569
react-router,100,567.8351388888889,100,1.048888888888889,8284,3614
ant-design,100,579.4244444444444,100,2.110138888888889,31563,17977
rails,100,1261.536388888889,100,6.1161111111111115,18141,26584
spring-boot,100,0.8506944444444444,100,38.593333333333334,42069,157
