repo,h1_bus50,h1_commits,n_established,loss_rate_all,n_top_established,loss_rate_top,unique_contributors_for_metrics,log_contrib,log_h1_bus50,log_h1_commits
AdminLTE,2,32,9,0.7777777777777778,4,0.5,61,4.127134385045092,1.0986122886681098,3.4965075614664802
AspNetCore.Docs,3,64,23,0.8695652173913043,8,0.625,1998,7.6004023345004,1.3862943611198906,4.174387269895637
Chart.js,3,41,17,0.8823529411764706,5,0.6,407,6.0112671744041615,1.3862943611198906,3.7376696182833684
DefinitelyTyped,4,214,69,0.8985507246376812,24,0.7083333333333334,18991,9.851773116849449,1.6094379124341003,5.3706380281276624
FFmpeg,5,577,129,0.7596899224806202,34,0.38235294117647056,1287,7.160845906664299,1.791759469228055,6.359573868672378
FreeRDP,2,17,6,0.5,2,,400,5.993961427306569,1.0986122886681098,2.8903717578961645
Ghost,3,92,20,0.8,5,0.4,570,6.3473892096560105,1.3862943611198906,4.532599493153256
Marlin,5,47,26,0.8461538461538461,8,0.5,1018,6.926577033222725,1.791759469228055,3.871201010907891
PHPMailer,1,171,19,0.9473684210526315,19,0.9473684210526315,212,5.3612921657094255,0.6931471805599453,5.147494476813453
Python,5,121,44,0.9090909090909091,12,0.6666666666666666,3673,8.20903626577507,1.791759469228055,4.804021044733257
Rocket.Chat,2,655,74,0.9324324324324325,20,0.75,929,6.835184586147301,1.0986122886681098,6.486160788944089
TypeScript,7,120,55,0.9272727272727272,17,0.7647058823529411,832,6.725033642166843,2.0794415416798357,4.795790545596741
WordPress,3,24,10,0.6,3,0.0,90,4.51085950651685,1.3862943611198906,3.2188758248682006
airflow,46,778,429,0.9603729603729604,429,0.9603729603729604,4199,8.34283980427146,3.8501476017100584,6.658011045870748
angular,8,685,119,0.8907563025210085,36,0.6388888888888888,2341,7.758760544157663,2.1972245773362196,6.530877627725885
animate.css,5,67,32,0.9375,10,0.8,64,4.174387269895637,1.791759469228055,4.219507705176107
ansible,7,490,101,0.9504950495049505,28,0.8571428571428571,5438,8.60135049942296,2.0794415416798357,6.19644412779452
ant-design,2,1024,74,0.8783783783783784,21,0.7142857142857143,2592,7.860570785538664,1.0986122886681098,6.932447891572509
ardupilot,10,49,34,0.8823529411764706,11,0.6363636363636364,1057,6.964135612418245,2.3978952727983707,3.912023005428146
aspnetcore,5,556,112,0.9642857142857143,33,0.8787878787878788,1418,7.257707677160043,1.791759469228055,6.322565239927284
axios,21,153,97,0.9690721649484536,97,0.9690721649484536,577,6.359573868672378,3.091042453358316,5.0369526024136295
azure-quickstart-templates,2,53,18,0.9444444444444444,8,0.875,1513,7.322510433997394,1.0986122886681098,3.9889840465642745
bitcoin,8,86,44,0.9090909090909091,13,0.6923076923076923,933,6.839476438228843,2.1972245773362196,4.465908118654584
bootstrap,2,154,46,0.8913043478260869,46,0.8913043478260869,817,6.706862336602747,1.0986122886681098,5.043425116919247
core,7,68,37,0.972972972972973,37,0.972972972972973,5238,8.56388591940822,2.0794415416798357,4.23410650459726
d3,1,40,4,0.5,1,,40,3.713572066704308,0.6931471805599453,3.713572066704308
darknet,1,15,3,0.6666666666666666,1,,12,2.5649493574615367,0.6931471805599453,2.772588722239781
django,104,227,217,0.9861751152073732,217,0.9861751152073732,2217,7.704361167910313,4.653960350157523,5.429345628954441
dotfiles,1,7,4,1.0,1,,29,3.4011973816621555,0.6931471805599453,2.0794415416798357
dubbo,3,134,41,0.9512195121951219,13,0.8461538461538461,697,6.548219102762372,1.3862943611198906,4.90527477843843
echarts,2,119,28,0.8571428571428571,8,0.5,321,5.7745515455444085,1.0986122886681098,4.787491742782046
elasticsearch,9,140,68,0.8676470588235294,20,0.55,1816,7.504942068396171,2.302585092994046,4.948759890378168
electron,14,92,56,0.9285714285714286,18,0.7777777777777778,1181,7.074963197966044,2.70805020110221,4.532599493153256
erpnext,4,43,22,0.8636363636363636,7,0.5714285714285714,871,6.77078942390898,1.6094379124341003,3.784189633918261
etcd,2,138,38,0.8157894736842105,11,0.36363636363636365,925,6.8308742346461795,1.0986122886681098,4.9344739331306915
express,1,188,41,0.8780487804878049,41,0.8780487804878049,170,5.14166355650266,0.6931471805599453,5.241747015059643
flask,3,68,32,0.9375,32,0.9375,509,6.234410725718371,1.3862943611198906,4.23410650459726
flink,7,45,26,0.9230769230769231,9,0.7777777777777778,1786,7.488293515159428,2.0794415416798357,3.828641396489095
flutter,24,189,118,0.9152542372881356,118,0.9152542372881356,2268,7.727094484779841,3.2188758248682006,5.247024072160486
framework,3,60,25,0.88,7,0.5714285714285714,3762,8.232971790593437,1.3862943611198906,4.110873864173311
gitignore,1,13,7,1.0,7,1.0,832,6.725033642166843,0.6931471805599453,2.6390573296152584
go,8,82,49,0.8979591836734694,49,0.8979591836734694,2262,7.724446645633537,2.1972245773362196,4.418840607796598
go-ethereum,16,76,54,0.8888888888888888,54,0.8888888888888888,1237,7.121252453244542,2.833213344056216,4.343805421853684
godot,1,119,21,0.8571428571428571,6,0.5,3588,8.185628891147607,0.6931471805599453,4.787491742782046
grafana,3,1193,80,0.9,28,0.8214285714285714,2702,7.902117546276448,1.3862943611198906,7.085064293952548
grpc,7,183,50,0.78,14,0.42857142857142855,1032,6.940222469119639,2.0794415416798357,5.214935757608986
guava,2,67,14,0.9285714285714286,5,0.8,394,5.978885764901122,1.0986122886681098,4.219507705176107
