repo,h1_bus50,h1_commits,n_established,loss_rate_all,n_top_established,loss_rate_top,unique_contributors_for_metrics,log_contrib,log_h1_bus50,log_h1_commits
homebrew-cask,1,135,24,0.875,6,0.5,9694,9.179365567676752,0.6931471805599453,4.912654885736052
html5-boilerplate,2,61,15,0.8,4,0.25,84,4.442651256490317,1.0986122886681098,4.127134385045092
imgui,1,279,7,0.7142857142857143,2,,514,6.244166900663736,0.6931471805599453,5.634789603169249
ionic-framework,4,325,52,0.9038461538461539,14,0.6428571428571429,482,6.180016653652572,1.6094379124341003,5.786897381366708
java-design-patterns,4,29,16,0.8125,4,0.25,447,6.104793232414985,1.6094379124341003,3.4011973816621555
jekyll,1,1482,31,0.7741935483870968,10,0.6,605,6.406879986069314,0.6931471805599453,7.301822342137932
jenkins,2,180,21,0.8571428571428571,6,0.5,629,6.4457198193855785,1.0986122886681098,5.198497031265826
jquery,2,31,8,0.75,2,,75,4.330733340286331,1.0986122886681098,3.4657359027997265
juice-shop,2,381,15,0.7333333333333333,4,0.0,191,5.2574953720277815,1.0986122886681098,5.945420608606575
kafka,5,58,31,0.8064516129032258,11,0.45454545454545453,1518,7.325807502595773,1.791759469228055,4.07753744390572
kubernetes,13,297,113,0.9823008849557522,37,0.9459459459459459,4657,8.446341450444287,2.6390573296152584,5.697093486505405
laravel,3,148,34,0.9117647058823529,9,0.6666666666666666,485,6.186208623900494,1.3862943611198906,5.003946305945459
material-ui,1,779,92,0.9239130434782609,25,0.72,3031,8.016977746762262,0.6931471805599453,6.659293919683638
metasploit-framework,5,62,28,0.8928571428571429,9,0.6666666666666666,1127,7.028201432058005,1.791759469228055,4.143134726391533
minimal-mistakes,1,630,16,0.8125,4,0.25,260,5.564520407322694,0.6931471805599453,6.447305862541213
moby,4,154,62,0.9516129032258065,62,0.9516129032258065,1331,7.194436851100335,1.6094379124341003,5.043425116919247
mybatis-3,1,10,3,0.6666666666666666,1,,223,5.4116460518550396,0.6931471805599453,2.3978952727983707
netty,1,30,13,0.7692307692307693,4,0.25,657,6.489204931325317,0.6931471805599453,3.4339872044851463
nixpkgs,18,146,87,0.896551724137931,26,0.6538461538461539,13678,9.523617089089445,2.9444389791664403,4.990432586778736
node,11,981,229,0.834061135371179,71,0.5352112676056338,3653,8.203577736937952,2.4849066497880004,6.889591308354466
numpy,8,63,36,0.8888888888888888,10,0.6,1808,7.500529485395295,2.1972245773362196,4.1588830833596715
nvm,2,3,3,1.0,3,1.0,98,4.59511985013459,1.0986122886681098,1.3862943611198906
ohmyzsh,3,69,28,0.9285714285714286,28,0.9285714285714286,1719,7.450079569807499,1.3862943611198906,4.248495242049359
opencv,4,25,15,0.8,5,0.4,1681,7.427738840532894,1.6094379124341003,3.258096538021482
openssl,2,80,19,0.7894736842105263,6,0.3333333333333333,1285,7.1592919047975645,1.0986122886681098,4.394449154672439
pandas,9,80,46,0.9565217391304348,12,0.8333333333333334,3507,8.162801353492073,2.302585092994046,4.394449154672439
pdf.js,2,40,17,0.8235294117647058,6,0.5,270,5.602118820879701,1.0986122886681098,3.713572066704308
protobuf,2,46,14,0.9285714285714286,5,0.8,1269,7.146772179452637,1.0986122886681098,3.8501476017100584
qmk_firmware,6,119,42,0.9761904761904762,13,0.9230769230769231,3403,8.132706489693264,1.9459101490553132,4.787491742782046
rails,3,110,47,0.9787234042553191,47,0.9787234042553191,3272,8.09346227450118,1.3862943611198906,4.709530201312334
react,2,226,70,0.9285714285714286,70,0.9285714285714286,1311,7.179307969504034,1.0986122886681098,5.424950017481403
react-native,9,126,69,0.9420289855072463,69,0.9420289855072463,3410,8.134760782418645,2.302585092994046,4.844187086458591
react-router,4,95,33,0.9090909090909091,12,0.75,956,6.863803391452954,1.6094379124341003,4.564348191467836
redis,9,33,25,0.84,7,0.42857142857142855,716,6.57507584059962,2.302585092994046,3.5263605246161616
reveal.js,1,159,43,0.9767441860465116,43,0.9767441860465116,161,5.087596335232384,0.6931471805599453,5.075173815233827
rust,18,1886,445,0.8831460674157303,125,0.616,7142,8.873888135154973,2.9444389791664403,7.54274354536855
scikit-learn,13,105,63,0.8888888888888888,16,0.5625,2847,7.954372272531867,2.6390573296152584,4.663439094112067
scrapy,4,26,14,0.7857142857142857,5,0.4,516,6.248042874508429,1.6094379124341003,3.295836866004329
shadowsocks-android,2,92,8,0.75,2,,43,3.784189633918261,1.0986122886681098,4.532599493153256
shadowsocks-windows,2,38,9,1.0,3,1.0,55,4.02535169073515,1.0986122886681098,3.6635616461296463
socket.io,1,332,56,0.9821428571428571,56,0.9821428571428571,288,5.666426688112432,0.6931471805599453,5.808142489980444
spark,4,42,24,0.8333333333333334,6,0.3333333333333333,2319,7.749322464660356,1.6094379124341003,3.7612001156935624
spring-boot,4,108,29,0.8275862068965517,8,0.375,1341,7.201916317531627,1.6094379124341003,4.6913478822291435
spring-framework,3,68,18,0.8888888888888888,6,0.6666666666666666,1133,7.033506484287697,1.3862943611198906,4.23410650459726
symfony,2,153,31,0.7096774193548387,10,0.3,3179,8.064636475774222,1.0986122886681098,5.0369526024136295
terraform,3,2489,103,0.912621359223301,26,0.6923076923076923,1803,7.4977617006225685,1.3862943611198906,7.820037989458753
three.js,2,126,32,0.875,18,0.7777777777777778,1805,7.498869733976931,1.0986122886681098,4.844187086458591
todomvc,1,8,4,1.0,1,,67,4.219507705176107,0.6931471805599453,2.1972245773362196
vscode,14,98,62,0.9838709677419355,62,0.9838709677419355,2876,7.964503363551548,2.70805020110221,4.59511985013459
youtube-dl,1,1032,37,0.972972972972973,37,0.972972972972973,562,6.333279628139691,0.6931471805599453,6.940222469119639
zxing,2,27,12,0.9166666666666666,3,0.6666666666666666,89,4.499809670330265,1.0986122886681098,3.332204510175204
