repo,n_newcomers,retention_rate,contributor_growth_y1_y10,maintainer_turnover_rate,activity_trend
metasploit-framework,1024,0.4130859375,-0.2727272727272727,0.9452054794520548,-0.0017918241500841303
juice-shop,188,0.2978723404255319,0.8888888888888888,,-0.00588167069644271
flask,493,0.07505070993914807,-0.9444444444444444,0.9919354838709677,-0.00921644301242786
terraform,1676,0.22195704057279236,-0.9220945083014048,0.9887005649717514,-0.015320293828001813
FFmpeg,1078,0.33487940630797774,0.014336917562724014,0.9086161879895561,0.0013312535490321918
aspnetcore,1333,0.2550637659414854,-0.5186915887850467,0.8793103448275862,-0.016226520569138835
Marlin,984,0.3556910569105691,-0.5943396226415094,0.9876543209876543,-0.009560456451108545
jekyll,573,0.11343804537521815,-0.8807947019867549,0.9888888888888889,-0.023778201590650867
PHPMailer,201,0.0945273631840796,-0.5263157894736842,0.975,-0.00044228979746575023
go,2060,0.312621359223301,-0.13253012048192772,0.8522167487684729,-0.0017825955149303582
core,5157,0.36532867946480513,1.4557823129251701,0.9245283018867925,0.013170139374453818
bootstrap,773,0.17335058214747737,-0.9084967320261438,0.9906832298136646,-0.013429651876315816
dotfiles,22,0.0,-1.0,1.0,-0.03367250800829095
Chart.js,394,0.1319796954314721,-0.8737864077669902,0.9841269841269841,-0.011111660995978975
WordPress,58,0.8793103448275862,0.2857142857142857,0.7222222222222222,-0.0012221700598630354
react-native,3200,0.2928125,-0.6204033214709371,0.9860627177700348,0.0025812475701537767
pdf.js,260,0.15384615384615385,-0.11627906976744186,0.9753086419753086,0.007022910916769191
DefinitelyTyped,18472,0.24707665656128194,-0.7425222312045271,0.9956709956709957,-0.014121231603401882
Python,3607,0.308012198502911,2.983695652173913,0.7115384615384616,0.006424968296333008
grpc,975,0.3158974358974359,-0.21476510067114093,0.9038461538461539,-0.012136761515805016
framework,3539,0.27719694829047753,-0.22009569377990432,0.9362416107382551,-0.004276498635509163
guava,357,0.18207282913165265,-0.79,0.84375,-0.0030111944991824255
flink,1727,0.38563983786913725,-0.21256038647342995,0.9736842105263158,-0.005522126736444938
minimal-mistakes,257,0.14785992217898833,-0.7083333333333334,1.0,-0.021355116361468043
redis,696,0.30028735632183906,1.0638297872340425,0.9560439560439561,-0.0021923822483535978
ardupilot,990,0.31717171717171716,0.17341040462427745,0.8589743589743589,-0.0007475603105011215
material-ui,3004,0.18575233022636484,1.0892857142857142,0.9830508474576272,0.0005677704719684977
mybatis-3,216,0.18055555555555555,-0.46875,0.8421052631578947,0.0013318470970345732
ionic-framework,458,0.23580786026200873,-0.8944444444444445,0.9259259259259259,-0.013233070132051382
imgui,499,0.1743486973947896,1.7333333333333334,0.8695652173913043,0.00015821395030392245
TypeScript,793,0.2673392181588903,-0.6180555555555556,0.9069767441860465,-0.018262871727495675
scikit-learn,2757,0.21109902067464636,-0.24709302325581395,0.965,0.0020683411605549175
rust,6777,0.41463774531503617,0.615681233933162,0.9071925754060325,0.004431595136752726
animate.css,61,0.11475409836065574,-1.0,1.0,-0.011555715551617206
jquery,63,0.12698412698412698,-0.5909090909090909,0.9876543209876543,-0.0033575691062487072
express,162,0.14814814814814814,0.16666666666666666,0.9827586206896551,-0.0007626001220160237
nvm,253,0.06324110671936758,-0.46511627906976744,0.9714285714285714,-0.011701045307602685
three.js,1716,0.24825174825174826,-0.3655913978494624,0.9672897196261683,-0.006339469157974059
angular,2275,0.2210989010989011,0.03137254901960784,0.9534883720930233,0.0006185198107490675
grafana,2658,0.3118886380737397,0.9004149377593361,0.989247311827957,0.011338461240545966
netty,616,0.22564935064935066,-0.3211009174311927,0.9487179487179487,0.0008512540449143359
scrapy,484,0.20454545454545456,-0.36486486486486486,1.0,-0.0025860329293336975
numpy,1709,0.2521942656524283,0.5328947368421053,0.9459459459459459,0.004869567851355188
Ghost,552,0.28804347826086957,1.0425531914893618,0.9354838709677419,0.00861327996652211
ansible,4231,0.24864098321909714,-0.9394213381555153,0.9929494712103408,-0.022737931699636907
bitcoin,854,0.3700234192037471,-0.10526315789473684,0.9421487603305785,0.0019722730956784136
airflow,4161,0.29391973083393413,3.09,0.9824561403508771,0.017521724288042387
FreeRDP,367,0.2970027247956403,0.27450980392156865,0.9137931034482759,0.010177438324935747
todomvc,60,0.15,-0.9565217391304348,0.9875,-0.019045600150744316
nixpkgs,13136,0.5204780755176613,3.2648539778449144,0.7969924812030075,0.016004162836843923
markdown-here,3,0.0,0.0,0.75,-0.0009726775956284113
flutter,2217,0.38340099233198016,2.477064220183486,0.8,0.005120840536366849
go-ethereum,1218,0.2922824302134647,1.4814814814814814,0.9090909090909091,0.0011884101640869903
opencv,1607,0.23771001866832608,-0.17928286852589642,0.9805825242718447,-0.008416008098752531
socket.io,273,0.09157509157509157,-0.7733333333333333,0.9886363636363636,-0.0028329528947914524
shadowsocks-android,34,0.35294117647058826,-0.8666666666666667,0.8571428571428571,-0.02662673133454865
spring-framework,1081,0.16651248843663274,0.4838709677419355,0.9649122807017544,0.0009272094138229761
erpnext,839,0.5089392133492253,1.23,0.8928571428571429,0.0013570967660340744
ohmyzsh,1633,0.0998162890385793,-0.3090909090909091,0.9900990099009901,-0.0013384229058306706
kafka,1448,0.3763812154696133,0.14761904761904762,0.9117647058823529,0.005886175872658851
d3,39,0.1282051282051282,-0.7857142857142857,1.0,-0.021746828587497612
Rocket.Chat,895,0.32513966480446926,-0.5527638190954773,0.9423076923076923,-0.0030406338719442334
azure-quickstart-templates,1350,0.38814814814814813,-0.8441926345609065,1.0,-0.01357311194675494
moby,1157,0.2212618841832325,-0.8057553956834532,0.98989898989899,-0.003224656227714416
etcd,888,0.2927927927927928,-0.41333333333333333,0.9875,-0.004924403086773162
homebrew-cask,9042,0.3356558283565583,-0.3813084112149533,0.9726516052318668,0.015159982625232623
html5-boilerplate,75,0.16,-0.8181818181818182,0.9888888888888889,-0.0012122794194424189
youtube-dl,519,0.1599229287090559,-0.9938650306748467,1.0,-0.0269776950824742
java-design-patterns,437,0.2151029748283753,-0.7631578947368421,0.8421052631578947,-0.0004459849454047852
symfony,2901,0.26542571527059633,0.2852852852852853,0.9021479713603818,-0.001295136711952739
dubbo,696,0.34339080459770116,4.5,1.0,0.004091407968772508
jenkins,563,0.27353463587921845,-0.34959349593495936,0.9578313253012049,0.0024047952235638943
node,3474,0.21704087507196315,-0.43585780525502316,0.9400630914826499,-0.005030198446937019
kubernetes,4400,0.4531818181818182,-0.24776500638569604,0.9576271186440678,-0.008847889549008125
qmk_firmware,3350,0.34686567164179105,-0.4343065693430657,1.0,-0.006025878450191637
darknet,10,0.1,-1.0,,-0.03555210099868102
HanLP,39,0.1282051282051282,-0.9,0.6666666666666666,-0.014994675746381485
electron,1132,0.21024734982332155,-0.6366666666666667,0.9774436090225563,-0.013128651464945955
openssl,1222,0.2937806873977087,1.036764705882353,0.8333333333333334,-0.0011949912002965917
vscode,2829,0.25486037469070344,0.5824561403508772,0.696969696969697,0.0011217112483341738
echarts,315,0.18412698412698414,1.3157894736842106,0.75,-0.008521376898648979
reveal.js,153,0.0718954248366013,-0.8529411764705882,0.9861111111111112,-0.0036555417673568035
AspNetCore.Docs,1945,0.17789203084832905,-0.6805111821086262,0.9404761904761905,-0.004759016704730231
django,2011,0.2207856787667827,-0.4707259953161593,0.9554973821989529,-0.0048248103334347986
shadowsocks-windows,52,0.25,-1.0,1.0,-0.02878220140515222
react,1238,0.17609046849757673,-0.7824933687002652,0.9969879518072289,0.00029611789496742155
axios,574,0.09233449477351917,1.8043478260869565,1.0,0.011281967213114752
elasticsearch,1696,0.36674528301886794,0.12460063897763578,0.9371980676328503,0.005575353303825303
protobuf,1236,0.24919093851132687,-0.024844720496894408,0.9310344827586207,0.01423028245559179
zxing,86,0.1744186046511628,-0.5294117647058824,0.9285714285714286,-0.00647829688951372
godot,3526,0.3494044242768009,1.990566037735849,0.9,0.004723510225686886
spark,2130,0.40657276995305164,-0.19495412844036697,0.9698795180722891,0.004043743237018026
laravel,460,0.17173913043478262,-0.5614035087719298,0.9805194805194806,-0.008222505699706877
gitignore,812,0.11083743842364532,-0.5094339622641509,0.9954545454545455,-0.007424634398080502
pandas,3412,0.24355216881594371,0.18566775244299674,0.9776785714285714,-0.00012956064276136567
AdminLTE,60,0.18333333333333332,1.5,1.0,0.001684440844141199
react-router,938,0.10874200426439233,-0.23717948717948717,0.9941860465116279,0.01101829762087154
ant-design,2566,0.2151208106001559,-0.13145539906103287,0.92,-0.0040887040648040045
rails,2853,0.2607781282860147,-0.24070450097847357,0.9630901287553648,-0.004523712214098661
spring-boot,1271,0.16915814319433517,0.2462686567164179,0.9375,0.0032781387619919937
