repo,entropy_all,awr_all,archetype_all,entropy_living,awr_living,n_living,entropy_static,awr_static,n_static,cluster_living_k3,archetype_living,static_share
AdminLTE,0.406998,0.114754,Sparse,0.5989087604694024,0.2459016393442623,29,0.1686130986895011,0.0327868852459016,2,1,Sparse,0.06451612903225806
AspNetCore.Docs,0.696989,0.311475,Occasional,0.696989337819305,0.3114754098360656,25,0.0,0.0163934426229508,2,2,Occasional,0.07407407407407407
Chart.js,0.656522,0.278689,Occasional,0.6081767791890642,0.2295081967213114,22,0.2672454385532547,0.0491803278688524,3,1,Sparse,0.12
DefinitelyTyped,0.844491,0.770492,Consistent,0.8444906552249595,0.7704918032786885,123,0.0,0.0163934426229508,1,0,Consistent,0.008064516129032258
FFmpeg,0.94458,0.967213,Consistent,0.943542242361896,0.9672131147540984,409,0.1686130986895011,0.0327868852459016,2,0,Consistent,0.004866180048661801
FreeRDP,0.73078,0.409836,Occasional,0.7307802444542505,0.4098360655737705,53,,0.0,0,2,Occasional,0.0
Ghost,0.797127,0.508197,Occasional,0.795734873601109,0.5081967213114754,52,0.3915074910131681,0.081967213114754,5,2,Occasional,0.08771929824561403
HanLP,0.724253,0.42623,Occasional,0.7242534624510166,0.4262295081967213,44,,0.0,0,2,Occasional,0.0
Marlin,0.76244,0.42623,Occasional,0.766589225908845,0.4262295081967213,40,0.0,0.0163934426229508,3,2,Occasional,0.06976744186046512
PHPMailer,0.803538,0.57377,Occasional,0.8035379139988229,0.5737704918032787,115,,0.0,0,2,Occasional,0.0
Python,0.460954,0.229508,Sparse,0.4609540432160616,0.2295081967213114,42,,0.0,0,1,Sparse,0.0
Rocket.Chat,0.870657,0.721311,Consistent,0.8709404992912355,0.7213114754098361,388,0.2672454385532547,0.0491803278688524,3,0,Consistent,0.0076726342710997444
TypeScript,0.776136,0.442623,Occasional,0.775027259490933,0.4426229508196721,38,0.3372261973790022,0.0655737704918032,4,2,Occasional,0.09523809523809523
Vue-core,0.89306,0.885246,Consistent,0.8934466807628222,0.8852459016393442,319,0.1686130986895011,0.0327868852459016,2,0,Consistent,0.006230529595015576
WordPress,0.761861,0.409836,Occasional,0.7049432050759928,0.3278688524590163,26,0.4733568125293554,0.1147540983606557,7,2,Occasional,0.21212121212121213
airflow,0.951771,1.0,Consistent,0.9502626434464538,1.0,552,0.6398282806271903,0.2459016393442623,18,0,Consistent,0.031578947368421054
angular,0.989491,1.0,Consistent,0.9895235404042124,1.0,691,0.5344908771065096,0.1475409836065573,9,0,Consistent,0.012857142857142857
animate.css,0.49424,0.147541,Sparse,0.4920629034725897,0.1475409836065573,12,0.1686130986895011,0.0327868852459016,2,1,Sparse,0.14285714285714285
ansible,0.627512,0.229508,Occasional,0.6094300320796212,0.2131147540983606,18,0.0,0.0163934426229508,1,1,Sparse,0.05263157894736842
ant-design,0.972748,1.0,Consistent,0.9722234109858864,1.0,548,0.6906047295434626,0.2950819672131147,22,0,Consistent,0.03859649122807018
ardupilot,0.705141,0.327869,Occasional,0.7051409591642314,0.3278688524590163,28,0.0,0.0163934426229508,1,2,Occasional,0.034482758620689655
aspnetcore,0.714899,0.360656,Occasional,0.71489890178309,0.360655737704918,37,0.1096022947317824,0.0327868852459016,6,2,Occasional,0.13953488372093023
axios,0.867356,0.770492,Consistent,0.8673562867563058,0.7704918032786885,226,0.1686130986895011,0.0327868852459016,2,0,Consistent,0.008771929824561403
azure-quickstart-templates,0.391507,0.081967,Sparse,0.3915074910131681,0.081967213114754,5,,0.0,0,1,Sparse,0.0
bitcoin,0.873494,0.672131,Consistent,0.8603448885717196,0.639344262295082,60,0.463686021396128,0.1147540983606557,8,0,Consistent,0.11764705882352941
bootstrap,0.863095,0.688525,Consistent,0.8630946823160978,0.6885245901639344,89,0.4733568125293554,0.1147540983606557,7,0,Consistent,0.07291666666666667
core,0.744437,0.377049,Occasional,0.7444371181707646,0.3770491803278688,30,0.1548367060935873,0.0327868852459016,3,2,Occasional,0.09090909090909091
d3,0.546121,0.163934,Sparse,0.4926753502268687,0.1311475409836065,10,0.3372261973790022,0.0655737704918032,4,1,Sparse,0.2857142857142857
darknet,0.474801,0.147541,Sparse,0.4748013448513826,0.1475409836065573,15,,0.0,0,1,Sparse,0.0
data,0.136792,0.032787,Sparse,0.1367921184640611,0.0327868852459016,4,0.0,0.0163934426229508,2,1,Sparse,0.3333333333333333
django,0.923148,0.852459,Consistent,0.5980021306680121,0.1967213114754098,13,0.918209465158092,0.8524590163934426,161,1,Sparse,0.9252873563218391
dotfiles,0.256617,0.04918,Sparse,0.1686130986895011,0.0327868852459016,4,0.0,0.0163934426229508,1,1,Sparse,0.2
dubbo,0.775503,0.47541,Occasional,0.737664630628714,0.3934426229508196,39,0.4942402237821651,0.1475409836065573,13,2,Occasional,0.25
echarts,0.638465,0.278689,Occasional,0.599168139228017,0.2295081967213114,24,0.4358585372427558,0.0983606557377049,6,1,Sparse,0.2
elasticsearch,0.89155,0.721311,Consistent,0.8867544374584594,0.7049180327868853,87,0.3372261973790022,0.0655737704918032,4,0,Consistent,0.04395604395604396
electron,0.83044,0.540984,Occasional,0.8227519654610502,0.5245901639344263,43,0.0,0.0163934426229508,1,2,Occasional,0.022727272727272728
erpnext,0.589591,0.278689,Occasional,0.589591190282785,0.2786885245901639,42,0.0,0.0163934426229508,1,1,Sparse,0.023255813953488372
etcd,0.865654,0.688525,Consistent,0.8607638948112326,0.6721311475409836,104,0.0,0.0163934426229508,1,0,Consistent,0.009523809523809525
flask,0.624344,0.245902,Occasional,0.6243438750292691,0.2459016393442623,32,0.1367921184640611,0.0327868852459016,4,1,Sparse,0.1111111111111111
flink,0.76532,0.409836,Occasional,0.6495261051615294,0.2459016393442623,17,0.5913076900906226,0.1967213114754098,15,1,Sparse,0.46875
flutter,0.92044,0.868852,Consistent,0.8791307228506695,0.7049180327868853,89,0.8374306850019645,0.6229508196721312,78,0,Consistent,0.46706586826347307
framework,0.903461,0.819672,Consistent,0.903460751929737,0.819672131147541,402,0.2529196480342516,0.0491803278688524,4,0,Consistent,0.009852216748768473
gitignore,0.497021,0.131148,Sparse,0.4970212996199538,0.1311475409836065,9,,0.0,0,1,Sparse,0.0
go,0.710539,0.377049,Occasional,0.568825943598689,0.180327868852459,15,0.6581320061042567,0.2950819672131147,34,1,Sparse,0.6938775510204082
go-ethereum,0.828941,0.540984,Occasional,0.8116565616643828,0.5081967213114754,48,0.3240622515373677,0.0655737704918032,5,2,Occasional,0.09433962264150944
godot,0.874294,0.721311,Consistent,0.7617616775393596,0.4590163934426229,46,0.8359592009100377,0.5245901639344263,35,2,Occasional,0.43209876543209874
grafana,0.969365,1.0,Consistent,0.9691903300676452,1.0,500,0.2672454385532547,0.0491803278688524,3,0,Consistent,0.005964214711729622
grpc,0.839844,0.688525,Consistent,0.8388900952049368,0.6885245901639344,158,0.2872265441284322,0.0983606557377049,25,0,Consistent,0.1366120218579235
guava,0.763849,0.442623,Occasional,0.7549435724510363,0.4262295081967213,47,0.1686130986895011,0.0327868852459016,2,2,Occasional,0.04081632653061224
homebrew-cask,0.707154,0.360656,Occasional,0.7071536757083369,0.360655737704918,40,,0.0,0,2,Occasional,0.0
html5-boilerplate,0.737572,0.393443,Occasional,0.7375716815373302,0.3934426229508196,42,0.0,0.0163934426229508,4,2,Occasional,0.08695652173913043
imgui,0.53633,0.163934,Sparse,0.4215327467237527,0.0983606557377049,8,0.3915074910131681,0.081967213114754,5,1,Sparse,0.38461538461538464
ionic-framework,0.945797,0.967213,Consistent,0.9459966960174272,0.9672131147540984,338,0.2529196480342516,0.0491803278688524,4,0,Consistent,0.011695906432748537
java-design-patterns,0.768605,0.803279,Consistent,0.7669354882014408,0.8032786885245902,459,0.3915074910131681,0.081967213114754,5,0,Consistent,0.010775862068965518
jekyll,0.889046,0.885246,Consistent,0.889046367043461,0.8852459016393442,388,,0.0,0,0,Consistent,0.0
jenkins,0.808232,0.52459,Occasional,0.8082319631819973,0.5245901639344263,59,,0.0,0,2,Occasional,0.0
jquery,0.683898,0.311475,Occasional,0.6694235970153091,0.2950819672131147,24,0.2672454385532547,0.0491803278688524,3,2,Occasional,0.1111111111111111
juice-shop,0.89028,0.819672,Consistent,0.8902799552794232,0.819672131147541,140,0.4394460216854536,0.1311475409836065,15,0,Consistent,0.0967741935483871
kafka,0.782189,0.491803,Occasional,0.7584313072484842,0.4426229508196721,59,0.4589527304889685,0.1147540983606557,10,2,Occasional,0.14492753623188406
kubernetes,0.670308,0.278689,Occasional,0.6703075505865258,0.2786885245901639,21,,0.0,0,2,Occasional,0.0
lantern,0.343717,0.081967,Sparse,0.3437169798450883,0.081967213114754,32,,0.0,0,1,Sparse,0.0
laravel,0.950281,0.967213,Consistent,0.950281470791576,0.9672131147540984,184,,0.0,0,0,Consistent,0.0
markdown-here,0.310648,0.065574,Sparse,0.3106478820952459,0.0655737704918032,7,0.1686130986895011,0.0327868852459016,2,1,Sparse,0.2222222222222222
material-ui,0.978237,1.0,Consistent,0.978237065111389,1.0,586,0.1548367060935873,0.0327868852459016,3,0,Consistent,0.0050933786078098476
metasploit-framework,0.66881,0.409836,Occasional,0.5747298743312732,0.3114754098360656,55,0.5264126876725755,0.2622950819672131,53,1,Sparse,0.49074074074074076
minimal-mistakes,0.710538,0.47541,Occasional,0.7105378481524905,0.4754098360655737,204,0.0,0.0163934426229508,1,2,Occasional,0.004878048780487805
moby,0.827508,0.557377,Occasional,0.7795350860554209,0.4590163934426229,47,0.6717855627402319,0.2786885245901639,20,2,Occasional,0.29850746268656714
mybatis-3,0.547993,0.180328,Sparse,0.5215319835834986,0.1639344262295081,14,0.2672454385532547,0.0491803278688524,3,1,Sparse,0.17647058823529413
netty,0.641841,0.295082,Occasional,0.6227463220012817,0.2786885245901639,30,0.3915074910131681,0.0983606557377049,10,1,Sparse,0.25
nixpkgs,0.829613,0.704918,Consistent,0.8192601422976038,0.6885245901639344,160,0.3915074910131681,0.081967213114754,5,0,Consistent,0.030303030303030304
node,0.969046,1.0,Consistent,0.979028753638692,1.0,770,0.819420469525775,0.7868852459016393,229,0,Consistent,0.22922922922922923
numpy,0.678329,0.377049,Occasional,0.6462076249601427,0.3278688524590163,50,0.3915074910131681,0.081967213114754,5,2,Occasional,0.09090909090909091
odoo,0.613789,0.213115,Occasional,0.6137894365825559,0.2131147540983606,15,,0.0,0,1,Sparse,0.0
ohmyzsh,0.770242,0.459016,Occasional,0.7598747433151173,0.4426229508196721,53,0.1686130986895011,0.0327868852459016,2,2,Occasional,0.03636363636363636
opencv,0.570179,0.196721,Sparse,0.5606154460018018,0.180327868852459,14,0.3372261973790022,0.0655737704918032,4,1,Sparse,0.2222222222222222
