repo,entropy_all,awr_all,archetype_all,entropy_living,awr_living,n_living,entropy_static,awr_static,n_static,cluster_living_k3,archetype_living,static_share
openssl,0.783651,0.459016,Occasional,0.7748067836962476,0.4426229508196721,48,0.2566170120615672,0.0491803278688524,5,2,Occasional,0.09433962264150944
pandas,0.805104,0.491803,Occasional,0.772953421953933,0.4262295081967213,40,0.4358585372427558,0.0983606557377049,6,2,Occasional,0.13043478260869565
pdf.js,0.726091,0.360656,Occasional,0.7143073015244675,0.3442622950819672,27,0.1686130986895011,0.0327868852459016,2,2,Occasional,0.06896551724137931
protobuf,0.721779,0.360656,Occasional,0.6954037370404101,0.3278688524590163,33,0.2566170120615672,0.0491803278688524,5,2,Occasional,0.13157894736842105
qmk_firmware,0.760012,0.393443,Occasional,0.7600122078091428,0.3934426229508196,43,0.0,0.0163934426229508,1,2,Occasional,0.022727272727272728
rails,0.717454,0.377049,Occasional,0.7174539421003595,0.3770491803278688,52,,0.0,0,2,Occasional,0.0
react,0.767743,0.47541,Occasional,0.7566717916133789,0.4590163934426229,63,0.3915074910131681,0.081967213114754,5,2,Occasional,0.07352941176470588
react-native,0.905185,0.885246,Consistent,0.90376001850848,0.8852459016393442,220,0.2672454385532547,0.0491803278688524,3,0,Consistent,0.013452914798206279
react-router,0.895802,0.836066,Consistent,0.7673301865653424,0.4918032786885246,196,0.871042588369931,0.7704918032786885,571,2,Occasional,0.7444589308996089
redis,0.6868,0.459016,Occasional,0.6921699950258775,0.4590163934426229,66,0.4251816414752122,0.0983606557377049,7,2,Occasional,0.0958904109589041
reveal.js,0.593865,0.229508,Occasional,0.5903815370911248,0.2295081967213114,23,0.4926753502268687,0.1311475409836065,10,1,Sparse,0.30303030303030304
rust,0.975515,1.0,Consistent,0.9755147388948324,1.0,1772,,0.0,0,0,Consistent,0.0
scrapy,0.710725,0.409836,Occasional,0.7107246215028619,0.4098360655737705,51,0.4824345421959164,0.180327868852459,22,2,Occasional,0.3013698630136986
shadowsocks-android,0.459552,0.114754,Sparse,0.459551722133398,0.1147540983606557,9,0.0,0.0163934426229508,1,1,Sparse,0.1
shadowsocks-windows,0.25292,0.04918,Sparse,0.2529196480342516,0.0491803278688524,4,0.0,0.0163934426229508,1,1,Sparse,0.2
socket.io,0.832094,0.721311,Consistent,0.8321001529460046,0.7213114754098361,348,0.314907537574186,0.081967213114754,11,0,Consistent,0.03064066852367688
spark,0.714899,0.377049,Occasional,0.6581149941748579,0.2950819672131147,24,0.4487176053835096,0.1147540983606557,13,2,Occasional,0.35135135135135137
spring-boot,0.730729,0.409836,Occasional,0.7307287652409399,0.4098360655737705,59,0.0,0.0163934426229508,4,2,Occasional,0.06349206349206349
spring-framework,0.70343,0.327869,Occasional,0.7034303892605933,0.3278688524590163,35,0.0,0.0163934426229508,2,2,Occasional,0.05405405405405406
symfony,0.922871,0.983607,Consistent,0.785893375062821,0.6229508196721312,96,0.8969156881378159,0.9508196721311476,108,2,Occasional,0.5294117647058824
terraform,0.918735,0.918033,Consistent,0.9187570575662436,0.918032786885246,555,0.4696531944043484,0.1475409836065573,22,0,Consistent,0.038128249566724434
three.js,0.781526,0.47541,Occasional,0.768547042624304,0.4426229508196721,54,0.3643668441960851,0.0983606557377049,10,2,Occasional,0.15625
todomvc,0.154837,0.032787,Sparse,0.1548367060935873,0.0327868852459016,3,0.0,0.0163934426229508,1,1,Sparse,0.25
youtube-dl,0.563159,0.278689,Occasional,0.5627217415908393,0.2786885245901639,103,0.1686130986895011,0.0327868852459016,2,1,Sparse,0.01904761904761905
zxing,0.595287,0.213115,Occasional,0.5952873742016478,0.2131147540983606,18,,0.0,0,1,Sparse,0.0
