repo,year,bus50,doc_only_rate,touch_commits
vscode,7,2.0,0.666667,3
vscode,8,2.0,0.75,4
vscode,9,,,0
vscode,10,4.0,0.875,8
echarts,1,1.0,1.0,26
echarts,2,2.0,0.92,25
echarts,3,1.0,0.958333,24
echarts,4,2.0,0.882353,34
echarts,5,1.0,0.4,10
echarts,6,2.0,1.0,13
echarts,7,1.0,0.75,4
echarts,8,0.0,1.0,1
echarts,9,1.0,1.0,2
echarts,10,1.0,1.0,3
reveal.js,1,1.0,0.866667,45
reveal.js,2,2.0,0.8,15
reveal.js,3,1.0,0.833333,42
reveal.js,4,1.0,0.857143,56
reveal.js,5,1.0,1.0,1
reveal.js,6,1.0,0.818182,11
reveal.js,7,1.0,1.0,3
reveal.js,8,1.0,1.0,1
reveal.js,9,1.0,0.333333,3
reveal.js,10,1.0,0.5,2
AspNetCore.Docs,1,2.0,0.896552,29
AspNetCore.Docs,2,2.0,0.8,10
AspNetCore.Docs,3,2.0,0.933333,15
AspNetCore.Docs,4,2.0,0.714286,7
AspNetCore.Docs,5,2.0,0.666667,3
AspNetCore.Docs,6,2.0,1.0,3
AspNetCore.Docs,7,2.0,0.833333,6
AspNetCore.Docs,8,1.0,1.0,4
AspNetCore.Docs,9,3.0,1.0,7
AspNetCore.Docs,10,1.0,1.0,1
django,1,25.0,1.0,49
django,2,24.0,1.0,49
django,3,26.0,0.964286,56
django,4,19.0,0.974359,39
django,5,17.0,1.0,34
django,6,17.0,0.973684,38
django,7,13.0,0.962963,27
django,8,19.0,1.0,39
django,9,16.0,1.0,34
django,10,14.0,0.966667,30
shadowsocks-windows,1,1.0,0.916667,12
shadowsocks-windows,2,1.0,1.0,6
shadowsocks-windows,3,1.0,1.0,5
shadowsocks-windows,4,1.0,0.75,12
shadowsocks-windows,5,1.0,0.333333,3
shadowsocks-windows,6,,,0
shadowsocks-windows,7,,,0
shadowsocks-windows,8,,,0
shadowsocks-windows,9,,,0
shadowsocks-windows,10,,,0
react,1,3.0,0.980392,51
react,2,1.0,0.97561,82
react,3,1.0,0.980392,51
react,4,2.0,0.925926,27
react,5,2.0,0.933333,15
react,6,2.0,0.933333,15
react,7,5.0,1.0,12
react,8,3.0,0.888889,9
react,9,3.0,1.0,16
react,10,2.0,1.0,7
axios,1,2.0,0.962264,53
axios,2,5.0,0.923077,26
axios,3,9.0,0.944444,18
axios,4,14.0,0.947368,38
axios,5,5.0,0.888889,18
axios,6,1.0,0.578947,57
axios,7,7.0,0.603774,53
axios,8,2.0,0.485714,35
axios,9,4.0,0.745763,59
axios,10,3.0,0.666667,93
elasticsearch,1,4.0,0.793103,29
elasticsearch,2,5.0,0.914286,35
elasticsearch,3,3.0,0.833333,18
elasticsearch,4,4.0,0.677419,31
elasticsearch,5,6.0,0.807692,26
elasticsearch,6,3.0,0.652174,23
elasticsearch,7,6.0,0.833333,18
elasticsearch,8,4.0,1.0,9
elasticsearch,9,4.0,0.769231,13
elasticsearch,10,2.0,0.6875,16
protobuf,1,2.0,0.75,8
protobuf,2,1.0,0.8,10
protobuf,3,2.0,0.714286,14
protobuf,4,3.0,0.8,5
protobuf,5,1.0,0.444444,9
protobuf,6,2.0,0.454545,11
protobuf,7,3.0,0.8,10
protobuf,8,1.0,1.0,5
protobuf,9,1.0,0.0,2
protobuf,10,2.0,0.75,4
zxing,1,2.0,0.8,10
zxing,2,2.0,1.0,6
zxing,3,1.0,0.833333,6
zxing,4,1.0,1.0,4
zxing,5,1.0,1.0,1
zxing,6,2.0,0.75,4
zxing,7,2.0,0.833333,6
zxing,8,1.0,1.0,6
zxing,9,1.0,1.0,1
zxing,10,1.0,1.0,2
godot,1,1.0,0.952381,21
godot,2,1.0,0.6,25
godot,3,1.0,0.521739,23
godot,4,1.0,0.48,25
godot,5,2.0,0.48,25
godot,6,1.0,0.375,16
godot,7,1.0,0.666667,24
godot,8,1.0,0.454545,11
godot,9,1.0,0.571429,7
godot,10,2.0,0.75,12
spark,1,2.0,0.461538,13
spark,2,2.0,0.0,4
spark,3,3.0,0.166667,12
spark,4,2.0,0.75,8
spark,5,1.0,0.4,5
spark,6,1.0,0.75,8
spark,7,2.0,0.666667,3
spark,8,2.0,0.181818,11
spark,9,2.0,0.9,10
spark,10,2.0,0.888889,27
laravel,1,2.0,1.0,22
laravel,2,2.0,1.0,26
laravel,3,2.0,1.0,33
laravel,4,1.0,1.0,24
laravel,5,1.0,1.0,43
laravel,6,1.0,1.0,39
laravel,7,1.0,0.97619,42
laravel,8,1.0,0.928571,28
laravel,9,1.0,1.0,28
laravel,10,1.0,1.0,35
gitignore,1,1.0,1.0,1
gitignore,2,1.0,1.0,2
gitignore,3,1.0,0.888889,9
gitignore,4,1.0,1.0,2
gitignore,5,,,0
gitignore,6,2.0,1.0,4
gitignore,7,1.0,1.0,1
gitignore,8,,,0
gitignore,9,1.0,0.75,4
gitignore,10,1.0,1.0,5
pandas,1,3.0,0.888889,18
pandas,2,4.0,1.0,18
pandas,3,5.0,0.769231,13
pandas,4,3.0,0.789474,19
pandas,5,4.0,0.923077,13
pandas,6,3.0,0.8,10
pandas,7,6.0,0.75,12
pandas,8,3.0,1.0,7
pandas,9,2.0,0.666667,3
pandas,10,6.0,0.846154,13
AdminLTE,1,,,0
AdminLTE,2,1.0,0.5,4
AdminLTE,3,,,0
AdminLTE,4,1.0,0.7,10
AdminLTE,5,2.0,0.777778,18
AdminLTE,6,2.0,1.0,3
AdminLTE,7,1.0,1.0,2
AdminLTE,8,1.0,0.4,5
AdminLTE,9,,,0
AdminLTE,10,1.0,0.444444,18
react-router,1,3.0,0.854839,62
react-router,2,2.0,0.818182,11
react-router,3,1.0,0.666667,6
react-router,4,1.0,0.642857,14
react-router,5,1.0,1.0,2
react-router,6,27.0,0.946429,112
react-router,7,67.0,0.921296,216
react-router,8,4.0,0.784483,116
react-router,9,21.0,0.809524,273
react-router,10,4.0,0.715415,253
ant-design,1,1.0,0.687243,243
ant-design,2,2.0,0.702381,168
ant-design,3,2.0,0.760417,288
ant-design,4,2.0,0.655914,186
ant-design,5,3.0,0.489209,139
ant-design,6,3.0,0.314607,89
ant-design,7,3.0,0.367521,117
ant-design,8,4.0,0.38843,121
ant-design,9,4.0,0.367925,106
ant-design,10,3.0,0.289157,83
rails,1,2.0,0.846154,13
rails,2,1.0,0.857143,56
rails,3,2.0,0.774194,31
rails,4,3.0,0.4,5
rails,5,3.0,0.6,5
rails,6,6.0,0.909091,11
rails,7,2.0,0.857143,7
rails,8,2.0,1.0,3
rails,9,1.0,1.0,1
rails,10,2.0,0.0,3
spring-boot,1,1.0,1.0,6
spring-boot,2,2.0,0.83871,31
spring-boot,3,3.0,0.846154,26
spring-boot,4,3.0,0.631579,19
spring-boot,5,5.0,0.807692,26
spring-boot,6,2.0,0.571429,7
spring-boot,7,1.0,0.666667,3
spring-boot,8,2.0,0.6,5
spring-boot,9,2.0,0.833333,12
spring-boot,10,2.0,0.625,8
