repo,n_doc_newcomers,n_doc_newcomers_retained,doc_newcomer_retention_rate
AdminLTE,12,5,0.4166666666666667
AspNetCore.Docs,33,8,0.24242424242424243
Chart.js,24,9,0.375
DefinitelyTyped,104,21,0.20192307692307693
FFmpeg,193,82,0.42487046632124353
FreeRDP,9,4,0.4444444444444444
Ghost,31,9,0.2903225806451613
HanLP,3,2,0.6666666666666666
Marlin,37,8,0.21621621621621623
PHPMailer,26,2,0.07692307692307693
Python,69,18,0.2608695652173913
Rocket.Chat,103,23,0.22330097087378642
TypeScript,68,14,0.20588235294117646
WordPress,14,8,0.5714285714285714
airflow,506,73,0.1442687747035573
angular,183,64,0.34972677595628415
animate.css,34,5,0.14705882352941177
ansible,107,33,0.308411214953271
ant-design,114,45,0.39473684210526316
ardupilot,48,10,0.20833333333333334
aspnetcore,128,40,0.3125
axios,196,15,0.07653061224489796
azure-quickstart-templates,19,2,0.10526315789473684
bitcoin,62,14,0.22580645161290322
bootstrap,62,13,0.20967741935483872
core,55,9,0.16363636363636364
d3,6,2,0.3333333333333333
darknet,3,2,0.6666666666666666
django,371,13,0.03504043126684636
dotfiles,4,1,0.25
dubbo,64,14,0.21875
echarts,33,7,0.21212121212121213
elasticsearch,97,23,0.23711340206185566
electron,73,15,0.2054794520547945
erpnext,40,11,0.275
etcd,70,15,0.21428571428571427
express,89,16,0.1797752808988764
flask,36,4,0.1111111111111111
flink,45,12,0.26666666666666666
flutter,213,39,0.18309859154929578
framework,47,14,0.2978723404255319
gitignore,15,1,0.06666666666666667
go,72,10,0.1388888888888889
go-ethereum,81,12,0.14814814814814814
godot,41,9,0.21951219512195122
grafana,134,49,0.3656716417910448
grpc,71,22,0.30985915492957744
guava,19,6,0.3157894736842105
homebrew-cask,40,8,0.2
html5-boilerplate,25,5,0.2
imgui,8,3,0.375
ionic-framework,60,23,0.38333333333333336
java-design-patterns,34,5,0.14705882352941177
jekyll,37,13,0.35135135135135137
jenkins,36,11,0.3055555555555556
jquery,12,3,0.25
juice-shop,23,5,0.21739130434782608
kafka,63,14,0.2222222222222222
kubernetes,125,34,0.272
laravel,48,10,0.20833333333333334
material-ui,142,35,0.24647887323943662
metasploit-framework,41,14,0.34146341463414637
minimal-mistakes,24,4,0.16666666666666666
moby,79,19,0.24050632911392406
mybatis-3,7,3,0.42857142857142855
netty,22,5,0.22727272727272727
nixpkgs,166,46,0.27710843373493976
node,355,123,0.3464788732394366
numpy,54,7,0.12962962962962962
nvm,54,3,0.05555555555555555
ohmyzsh,49,9,0.1836734693877551
opencv,18,5,0.2777777777777778
openssl,44,12,0.2727272727272727
pandas,80,13,0.1625
pdf.js,25,7,0.28
protobuf,30,8,0.26666666666666666
qmk_firmware,47,16,0.3404255319148936
rails,67,9,0.13432835820895522
react,101,16,0.15841584158415842
react-native,121,37,0.30578512396694213
react-router,511,23,0.04500978473581213
redis,47,8,0.1702127659574468
reveal.js,43,4,0.09302325581395349
rust,770,213,0.2766233766233766
scikit-learn,95,25,0.2631578947368421
scrapy,25,6,0.24
shadowsocks-android,8,3,0.375
shadowsocks-windows,9,5,0.5555555555555556
socket.io,70,2,0.02857142857142857
spark,37,11,0.2972972972972973
spring-boot,39,13,0.3333333333333333
spring-framework,34,11,0.3235294117647059
symfony,42,15,0.35714285714285715
terraform,142,60,0.4225352112676056
three.js,45,15,0.3333333333333333
todomvc,6,1,0.16666666666666666
vscode,84,13,0.15476190476190477
youtube-dl,41,5,0.12195121951219512
zxing,21,5,0.23809523809523808
