repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
core,2016-05-30,2026-05-29,0.500,no,no,103939,91,55,0.109890,0.252747,0.362637,0.505495,10,37,79,50,0.113924,0.265823,0.367089,0.493671,11,35,4,3,0.500000,1.000000,1.000000,1.000000,1,3,8,7,0.250000,0.500000,0.750000,1.000000,3,6,True,91,91
bootstrap,2016-05-30,2026-05-29,0.500,no,no,8223,229,64,0.366812,0.558952,0.641921,0.742358,3,19,137,57,0.313869,0.452555,0.525547,0.642336,5,30,21,13,0.238095,0.476190,0.619048,0.857143,4,9,71,10,0.507042,0.802817,0.915493,1.000000,1,3,True,229,229
dotfiles,2016-05-30,2026-05-29,0.500,no,no,87,7,4,0.571429,0.857143,1.000000,1.000000,1,3,5,4,0.400000,0.800000,1.000000,1.000000,2,3,0,0,,,,,,,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,7,7
Chart.js,2016-05-30,2026-05-29,0.500,no,no,2657,58,24,0.189655,0.396552,0.568966,0.758621,4,13,47,24,0.127660,0.361702,0.489362,0.702128,6,15,3,2,0.666667,1.000000,1.000000,1.000000,1,2,8,3,0.500000,1.000000,1.000000,1.000000,1,2,True,58,58
WordPress,2016-05-30,2026-05-29,0.500,no,no,18261,55,14,0.327273,0.600000,0.763636,0.927273,3,6,55,14,0.327273,0.600000,0.763636,0.927273,3,6,0,0,,,,,,,0,0,,,,,,,True,55,55
react-native,2016-05-30,2026-05-29,0.500,no,no,34240,409,121,0.102426,0.221024,0.315364,0.493261,11,47,370,108,0.108434,0.222892,0.316265,0.506024,10,42,22,15,0.272727,0.454545,0.545455,0.772727,4,11,17,14,0.176471,0.352941,0.470588,0.764706,6,11,True,409,409
pdf.js,2016-05-30,2026-05-29,0.500,no,no,7896,68,25,0.426471,0.573529,0.661765,0.779412,2,12,58,23,0.396552,0.568966,0.655172,0.775862,2,12,3,2,0.666667,1.000000,1.000000,1.000000,1,2,7,4,0.571429,0.857143,1.000000,1.000000,1,3,True,68,68
DefinitelyTyped,2016-05-30,2026-05-29,0.500,no,no,59983,291,104,0.193103,0.406897,0.489655,0.589655,6,46,254,97,0.169291,0.389764,0.464567,0.574803,7,47,20,9,0.315789,0.684211,0.789474,1.000000,2,6,17,10,0.411765,0.588235,0.705882,1.000000,2,7,True,291,291
Python,2016-05-30,2026-05-29,0.500,no,no,35458,206,69,0.106796,0.310680,0.456311,0.640777,6,28,159,62,0.113208,0.295597,0.433962,0.616352,7,31,32,11,0.312500,0.625000,0.781250,0.968750,2,6,15,11,0.200000,0.466667,0.600000,0.933333,4,8,True,206,206
grpc,2016-05-30,2026-05-29,0.500,no,no,30967,275,71,0.130909,0.301818,0.436364,0.632727,7,22,256,64,0.132812,0.312500,0.445312,0.644531,7,21,7,7,0.142857,0.428571,0.714286,1.000000,4,6,12,9,0.166667,0.500000,0.666667,1.000000,3,7,True,275,275
framework,2016-05-30,2026-05-29,0.500,no,no,23475,546,47,0.347985,0.743590,0.829670,0.917582,2,5,537,46,0.353818,0.756052,0.837989,0.918063,2,4,6,4,0.333333,0.833333,1.000000,1.000000,2,3,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,546,546
guava,2016-05-30,2026-05-29,0.500,no,no,3913,116,19,0.556522,0.817391,0.860870,0.921739,1,3,76,18,0.421053,0.763158,0.815789,0.894737,2,5,29,2,0.965517,1.000000,1.000000,1.000000,1,1,11,3,0.400000,1.000000,1.000000,1.000000,2,2,True,116,116
flink,2016-05-30,2026-05-29,0.500,no,no,29039,77,45,0.129870,0.246753,0.337662,0.493506,11,30,48,32,0.083333,0.229167,0.354167,0.541667,9,23,14,10,0.285714,0.500000,0.642857,1.000000,3,8,15,12,0.133333,0.400000,0.533333,0.866667,5,9,True,77,77
minimal-mistakes,2016-05-30,2026-05-29,0.500,no,no,1894,775,24,0.789677,0.967742,0.974194,0.981935,1,2,586,14,0.843003,0.981229,0.984642,0.993174,1,1,102,14,0.607843,0.882353,0.911765,0.960784,1,2,87,5,0.643678,0.977011,1.000000,1.000000,1,2,True,775,775
redis,2016-05-30,2026-05-29,0.500,no,no,6394,97,47,0.268041,0.412371,0.494845,0.618557,6,28,77,38,0.324675,0.480519,0.545455,0.636364,4,23,11,10,0.181818,0.363636,0.545455,1.000000,5,8,9,7,0.222222,0.555556,0.777778,1.000000,3,6,True,97,97
ardupilot,2016-05-30,2026-05-29,0.500,no,no,49677,79,48,0.164557,0.291139,0.367089,0.493671,11,33,76,47,0.157895,0.289474,0.368421,0.500000,10,32,2,2,0.500000,1.000000,1.000000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,79,79
material-ui,2016-05-30,2026-05-29,0.500,no,no,23146,1317,142,0.452816,0.589041,0.673516,0.785388,2,11,861,132,0.511034,0.671312,0.723577,0.792102,1,11,317,24,0.379747,0.604430,0.724684,0.914557,3,7,139,21,0.255474,0.569343,0.700730,0.883212,3,8,True,1317,1317
mybatis-3,2016-05-30,2026-05-29,0.500,no,no,2562,26,7,0.423077,0.846154,0.923077,1.000000,2,3,24,7,0.375000,0.833333,0.916667,1.000000,2,3,2,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,26,26
ionic-framework,2016-05-30,2026-05-29,0.500,no,no,9216,664,60,0.286174,0.540193,0.696141,0.866559,3,7,196,55,0.193878,0.418367,0.540816,0.693878,5,19,60,10,0.416667,0.833333,0.916667,1.000000,2,3,408,15,0.486339,0.846995,0.950820,0.986339,2,3,True,664,664
imgui,2016-05-30,2026-05-29,0.500,no,no,7278,292,8,0.787671,0.982877,0.989726,1.000000,1,2,275,8,0.774545,0.981818,0.989091,1.000000,1,2,16,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,292,292
TypeScript,2016-05-30,2026-05-29,0.500,no,no,20014,152,68,0.138158,0.335526,0.427632,0.552632,8,38,117,61,0.179487,0.299145,0.384615,0.512821,10,38,22,6,0.727273,0.863636,0.954545,1.000000,1,2,13,8,0.230769,0.615385,0.769231,1.000000,3,6,True,152,152
scikit-learn,2016-05-30,2026-05-29,0.500,no,no,12768,204,95,0.073529,0.191176,0.289216,0.446078,13,55,168,88,0.059524,0.154762,0.238095,0.416667,15,55,23,17,0.173913,0.347826,0.478261,0.695652,6,13,13,9,0.230769,0.538462,0.692308,1.000000,3,7,True,204,204
rust,2016-05-30,2026-05-29,0.500,no,no,182715,3312,770,0.064106,0.145147,0.199274,0.293620,28,201,2737,735,0.068448,0.124451,0.170205,0.258419,36,234,154,64,0.136364,0.311688,0.435065,0.571429,7,34,421,62,0.204276,0.410926,0.570071,0.769596,5,12,True,3312,3312
animate.css,2016-05-30,2026-05-29,0.500,no,no,296,73,34,0.246575,0.410959,0.506849,0.657534,5,20,63,30,0.269841,0.460317,0.555556,0.682540,4,18,2,2,0.500000,1.000000,1.000000,1.000000,1,2,8,6,0.250000,0.625000,0.875000,1.000000,2,5,True,73,73
jquery,2016-05-30,2026-05-29,0.500,no,no,722,67,12,0.388060,0.865672,0.895522,0.970149,2,3,45,10,0.355556,0.844444,0.888889,1.000000,2,3,11,4,0.636364,0.909091,1.000000,1.000000,1,2,11,3,0.636364,1.000000,1.000000,1.000000,1,2,True,67,67
express,2016-05-30,2026-05-29,0.500,no,no,844,387,89,0.488372,0.640827,0.692506,0.764858,2,16,162,76,0.191358,0.351852,0.450617,0.567901,7,44,223,22,0.704036,0.856502,0.883408,0.941704,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,387,387
nvm,2016-05-30,2026-05-29,0.500,no,no,308,85,54,0.317647,0.376471,0.423529,0.482353,12,37,62,50,0.145161,0.225806,0.274194,0.354839,19,38,10,6,0.500000,0.700000,0.900000,1.000000,1,4,13,1,1.000000,1.000000,1.000000,1.000000,1,1,True,85,85
three.js,2016-05-30,2026-05-29,0.500,no,no,25475,167,45,0.455090,0.586826,0.640719,0.730539,2,16,131,43,0.358779,0.526718,0.587786,0.679389,3,18,30,2,0.966667,1.000000,1.000000,1.000000,1,1,6,5,0.333333,0.666667,1.000000,1.000000,2,4,True,167,167
angular,2016-05-30,2026-05-29,0.500,no,no,33022,1387,183,0.107246,0.275362,0.378986,0.557971,9,26,1051,174,0.107280,0.269157,0.357280,0.534483,9,31,307,39,0.136808,0.342020,0.485342,0.690554,6,14,29,20,0.241379,0.413793,0.482759,0.655172,6,15,True,1387,1387
grafana,2016-05-30,2026-05-29,0.500,no,no,59268,1631,134,0.197213,0.518467,0.701742,0.819512,3,9,1549,122,0.203102,0.534712,0.722304,0.836780,3,7,44,26,0.136364,0.363636,0.477273,0.636364,6,18,38,20,0.189189,0.378378,0.513514,0.729730,5,13,True,1631,1631
netty,2016-05-30,2026-05-29,0.500,no,no,6768,50,22,0.420000,0.560000,0.640000,0.760000,2,12,30,14,0.466667,0.633333,0.700000,0.866667,2,8,6,6,0.166667,0.500000,0.833333,1.000000,3,5,14,8,0.428571,0.642857,0.785714,1.000000,2,6,True,50,50
scrapy,2016-05-30,2026-05-29,0.500,no,no,4164,57,25,0.210526,0.456140,0.561404,0.736842,4,14,35,19,0.257143,0.400000,0.514286,0.742857,5,12,7,5,0.285714,0.714286,1.000000,1.000000,2,4,15,7,0.466667,0.733333,0.866667,1.000000,2,4,True,57,57
numpy,2016-05-30,2026-05-29,0.500,no,no,18441,98,54,0.091837,0.244898,0.346939,0.520408,10,35,90,48,0.088889,0.244444,0.355556,0.544444,9,30,4,4,0.250000,0.750000,1.000000,1.000000,2,4,4,4,0.250000,0.750000,1.000000,1.000000,2,4,True,98,98
Ghost,2016-05-30,2026-05-29,0.500,no,no,40666,138,31,0.239130,0.485507,0.688406,0.847826,4,8,119,31,0.277311,0.504202,0.689076,0.823529,3,9,13,6,0.384615,0.692308,0.923077,1.000000,2,4,6,3,0.666667,1.000000,1.000000,1.000000,1,2,True,138,138
ansible,2016-05-30,2026-05-29,0.500,no,no,35670,504,107,0.128968,0.279762,0.406746,0.605159,7,25,483,103,0.134576,0.285714,0.409938,0.606625,7,25,16,11,0.187500,0.437500,0.625000,0.937500,4,8,5,4,0.400000,0.800000,1.000000,1.000000,2,3,True,504,504
bitcoin,2016-05-30,2026-05-29,0.500,no,no,25637,155,62,0.187097,0.406452,0.509677,0.619355,5,31,100,52,0.250000,0.400000,0.480000,0.580000,6,32,16,11,0.187500,0.500000,0.625000,0.937500,3,8,39,11,0.333333,0.692308,0.820513,0.974359,2,5,True,155,155
airflow,2016-05-30,2026-05-29,0.500,no,no,35254,1199,506,0.111018,0.273790,0.324708,0.407346,22,267,757,459,0.091149,0.173052,0.214003,0.286658,81,308,148,52,0.155405,0.364865,0.486486,0.648649,6,23,294,63,0.276451,0.511945,0.627986,0.737201,3,15,True,1199,1199
FreeRDP,2016-05-30,2026-05-29,0.500,no,no,11309,88,9,0.454545,0.909091,0.954545,1.000000,2,2,79,9,0.481013,0.911392,0.949367,1.000000,2,2,5,2,0.600000,1.000000,1.000000,1.000000,1,2,4,3,0.500000,1.000000,1.000000,1.000000,1,3,True,88,88
todomvc,2016-05-30,2026-05-29,0.500,no,no,174,12,6,0.416667,0.750000,0.916667,1.000000,2,4,8,5,0.500000,0.750000,1.000000,1.000000,1,4,2,2,0.500000,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,12,12
nixpkgs,2016-05-30,2026-05-29,0.500,no,no,586478,334,166,0.104790,0.188623,0.242515,0.329341,28,100,309,160,0.097087,0.174757,0.233010,0.323625,28,99,16,13,0.125000,0.375000,0.500000,0.812500,5,10,9,6,0.333333,0.666667,0.888889,1.000000,2,5,True,334,334
markdown-here,2016-05-30,2026-05-29,0.500,no,no,75,17,2,0.941176,1.000000,1.000000,1.000000,1,1,15,2,0.933333,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,17,17
flutter,2016-05-30,2026-05-29,0.500,no,no,81764,376,213,0.111702,0.159574,0.207447,0.297872,37,138,353,204,0.113314,0.164306,0.215297,0.303116,35,134,16,15,0.125000,0.250000,0.375000,0.687500,7,12,7,6,0.285714,0.571429,0.857143,1.000000,3,5,True,376,376
go-ethereum,2016-05-30,2026-05-29,0.500,no,no,8603,122,81,0.065574,0.172131,0.254098,0.393443,20,57,106,76,0.066038,0.160377,0.245283,0.358491,23,55,12,6,0.583333,0.750000,0.916667,1.000000,1,4,4,2,0.750000,1.000000,1.000000,1.000000,1,2,True,122,122
opencv,2016-05-30,2026-05-29,0.500,no,no,10053,36,18,0.222222,0.500000,0.611111,0.777778,3,11,32,17,0.218750,0.531250,0.625000,0.781250,3,11,4,4,0.250000,0.750000,1.000000,1.000000,2,4,0,0,,,,,,,True,36,36
socket.io,2016-05-30,2026-05-29,0.500,no,no,1982,527,70,0.850095,0.869070,0.876660,0.886148,1,1,205,64,0.682927,0.702439,0.712195,0.736585,1,23,150,4,0.933333,0.993333,1.000000,1.000000,1,1,172,5,0.976744,0.988372,1.000000,1.000000,1,1,True,527,527
shadowsocks-android,2016-05-30,2026-05-29,0.500,no,no,2436,97,8,0.381443,0.927835,0.969072,1.000000,2,3,68,7,0.382353,0.926471,0.970588,1.000000,2,3,11,5,0.363636,0.818182,1.000000,1.000000,2,3,18,3,0.444444,1.000000,1.000000,1.000000,2,2,True,97,97
spring-framework,2016-05-30,2026-05-29,0.500,no,no,19488,100,34,0.200000,0.440000,0.540000,0.730000,4,14,87,32,0.229885,0.482759,0.574713,0.712644,4,15,6,5,0.333333,0.666667,1.000000,1.000000,2,4,7,4,0.428571,0.857143,1.000000,1.000000,2,3,True,100,100
erpnext,2016-05-30,2026-05-29,0.500,no,no,30455,90,40,0.155556,0.388889,0.477778,0.622222,6,22,85,39,0.164706,0.364706,0.458824,0.611765,7,22,3,2,0.666667,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,90,90
ohmyzsh,2016-05-30,2026-05-29,0.500,no,no,3645,117,49,0.188034,0.401709,0.538462,0.649573,5,26,97,43,0.195876,0.422680,0.556701,0.659794,5,24,11,8,0.272727,0.545455,0.727273,1.000000,3,6,9,7,0.222222,0.555556,0.777778,1.000000,3,6,True,117,117
kafka,2016-05-30,2026-05-29,0.500,no,no,15161,123,63,0.243902,0.333333,0.414634,0.512195,10,39,62,46,0.129032,0.209677,0.274194,0.419355,15,34,26,18,0.192308,0.346154,0.500000,0.692308,5,13,35,13,0.485714,0.628571,0.742857,0.914286,2,6,True,123,123
d3,2016-05-30,2026-05-29,0.500,no,no,787,52,6,0.884615,0.942308,0.980769,1.000000,1,1,32,5,0.875000,0.937500,1.000000,1.000000,1,1,6,3,0.666667,1.000000,1.000000,1.000000,1,2,14,1,1.000000,1.000000,1.000000,1.000000,1,1,True,52,52
Rocket.Chat,2016-05-30,2026-05-29,0.500,no,no,19522,910,103,0.453846,0.690110,0.741758,0.831868,2,8,203,95,0.128079,0.285714,0.394089,0.507389,10,55,33,9,0.393939,0.818182,0.878788,1.000000,2,3,674,14,0.587537,0.830861,0.897626,0.988131,1,3,True,910,910
azure-quickstart-templates,2016-05-30,2026-05-29,0.500,no,no,26071,57,19,0.410714,0.607143,0.696429,0.839286,2,8,30,16,0.344828,0.517241,0.620690,0.793103,3,11,14,4,0.500000,0.928571,1.000000,1.000000,1,3,13,4,0.461538,0.923077,1.000000,1.000000,2,3,True,57,57
moby,2016-05-30,2026-05-29,0.500,no,no,18787,224,79,0.366071,0.473214,0.531250,0.625000,4,35,171,62,0.327485,0.467836,0.526316,0.637427,4,28,48,21,0.520833,0.625000,0.666667,0.770833,1,12,5,5,0.200000,0.600000,1.000000,1.000000,3,4,True,224,224
etcd,2016-05-30,2026-05-29,0.500,no,no,10171,229,71,0.253275,0.445415,0.550218,0.668122,4,26,194,63,0.262887,0.427835,0.530928,0.659794,5,25,23,12,0.260870,0.608696,0.695652,0.913043,3,8,12,9,0.250000,0.500000,0.666667,1.000000,3,7,True,229,229
homebrew-cask,2016-05-30,2026-05-29,0.500,no,no,261669,167,40,0.463855,0.602410,0.686747,0.801205,2,10,149,36,0.503356,0.644295,0.718121,0.812081,1,10,16,9,0.200000,0.466667,0.733333,1.000000,4,6,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,167,167
html5-boilerplate,2016-05-30,2026-05-29,0.500,no,no,785,96,25,0.281250,0.635417,0.781250,0.843750,3,6,69,20,0.275362,0.666667,0.768116,0.855072,2,7,16,7,0.312500,0.687500,0.875000,1.000000,2,4,11,6,0.272727,0.727273,0.909091,1.000000,2,4,True,96,96
youtube-dl,2016-05-30,2026-05-29,0.500,no,no,6497,1043,41,0.741131,0.955896,0.965484,0.970278,1,2,1035,41,0.742995,0.955556,0.965217,0.970048,1,2,6,2,0.500000,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,1043,1043
java-design-patterns,2016-05-30,2026-05-29,0.500,no,no,2755,481,34,0.267857,0.392857,0.482143,0.571429,6,23,80,28,0.282609,0.413043,0.500000,0.608696,5,19,397,6,0.166667,0.500000,0.833333,1.000000,3,5,4,4,0.250000,0.750000,1.000000,1.000000,2,4,True,481,481
symfony,2016-05-30,2026-05-29,0.500,no,no,25198,294,42,0.496599,0.772109,0.819728,0.874150,2,5,287,42,0.505226,0.777003,0.818815,0.871080,1,4,4,3,0.500000,1.000000,1.000000,1.000000,1,3,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,294,294
dubbo,2016-05-30,2026-05-29,0.500,no,no,6602,186,64,0.236559,0.478495,0.575269,0.677419,4,27,152,55,0.217105,0.506579,0.578947,0.671053,3,25,12,7,0.333333,0.666667,0.833333,1.000000,2,5,22,13,0.318182,0.545455,0.636364,0.863636,3,9,True,186,186
jenkins,2016-05-30,2026-05-29,0.500,no,no,11888,238,36,0.239496,0.605042,0.726891,0.865546,3,7,219,34,0.260274,0.643836,0.757991,0.876712,3,6,7,6,0.285714,0.571429,0.857143,1.000000,3,5,12,8,0.166667,0.500000,0.750000,1.000000,3,6,True,238,238
node,2016-05-30,2026-05-29,0.500,no,no,32895,1965,356,0.176405,0.298831,0.375626,0.478575,12,76,1666,329,0.146038,0.273739,0.360838,0.474787,12,77,248,71,0.429224,0.543379,0.589041,0.671233,2,28,51,36,0.117647,0.274510,0.352941,0.490196,11,26,True,1965,1965
kubernetes,2016-05-30,2026-05-29,0.500,no,no,64348,316,126,0.091772,0.218354,0.303797,0.430380,15,63,291,118,0.092784,0.230241,0.316151,0.429553,15,60,20,11,0.350000,0.600000,0.700000,0.950000,2,7,5,5,0.200000,0.600000,1.000000,1.000000,3,4,True,316,316
qmk_firmware,2016-05-30,2026-05-29,0.500,no,no,20366,160,47,0.187500,0.437500,0.531250,0.668750,5,18,144,45,0.201389,0.430556,0.527778,0.673611,5,18,7,6,0.285714,0.571429,0.857143,1.000000,3,5,9,5,0.555556,0.777778,1.000000,1.000000,1,4,True,160,160
darknet,2016-05-30,2026-05-29,0.500,no,no,174,21,3,0.809524,1.000000,1.000000,1.000000,1,1,20,3,0.850000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,21,21
HanLP,2016-05-30,2026-05-29,0.500,no,no,1247,120,3,0.966667,1.000000,1.000000,1.000000,1,1,92,3,0.956522,1.000000,1.000000,1.000000,1,1,27,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,120,120
electron,2016-05-30,2026-05-29,0.500,no,no,18046,158,80,0.094937,0.196203,0.278481,0.424051,14,49,142,74,0.084507,0.183099,0.274648,0.429577,15,46,9,7,0.333333,0.555556,0.777778,1.000000,3,6,7,6,0.285714,0.571429,0.857143,1.000000,3,5,True,158,158
openssl,2016-05-30,2026-05-29,0.500,no,no,23025,124,44,0.241935,0.500000,0.588710,0.693548,3,20,87,32,0.287356,0.505747,0.620690,0.747126,3,15,10,8,0.200000,0.500000,0.700000,1.000000,3,6,27,14,0.185185,0.481481,0.629630,0.851852,4,9,True,124,124
vscode,2016-05-30,2026-05-29,0.500,no,no,135802,123,84,0.081301,0.186992,0.235772,0.341463,23,60,112,80,0.089286,0.196429,0.250000,0.357143,24,58,5,5,0.200000,0.600000,1.000000,1.000000,3,4,6,5,0.333333,0.666667,1.000000,1.000000,2,4,True,123,123
echarts,2016-05-30,2026-05-29,0.500,no,no,5663,142,33,0.294964,0.690647,0.762590,0.834532,2,7,128,33,0.304000,0.656000,0.736000,0.816000,2,8,8,3,0.500000,1.000000,1.000000,1.000000,1,2,6,3,0.333333,1.000000,1.000000,1.000000,2,3,True,142,142
reveal.js,2016-05-30,2026-05-29,0.500,no,no,1276,179,43,0.659218,0.743017,0.765363,0.815642,1,9,150,42,0.613333,0.700000,0.726667,0.786667,1,12,15,3,0.800000,1.000000,1.000000,1.000000,1,1,14,1,1.000000,1.000000,1.000000,1.000000,1,1,True,179,179
AspNetCore.Docs,2016-05-30,2026-05-29,0.500,no,no,15811,85,33,0.176471,0.435294,0.611765,0.729412,4,16,75,30,0.186667,0.466667,0.626667,0.733333,4,15,4,3,0.500000,1.000000,1.000000,1.000000,1,3,6,6,0.166667,0.500000,0.833333,1.000000,3,5,True,85,85
django,2016-05-30,2026-05-29,0.500,no,no,11981,395,371,0.017722,0.037975,0.048101,0.073418,174,292,389,368,0.017995,0.035990,0.046272,0.071979,174,291,6,6,0.166667,0.500000,0.833333,1.000000,3,5,0,0,,,,,,,True,395,395
shadowsocks-windows,2016-05-30,2026-05-29,0.500,no,no,630,38,9,0.394737,0.763158,0.868421,1.000000,2,4,32,8,0.375000,0.812500,0.906250,1.000000,2,3,4,3,0.500000,1.000000,1.000000,1.000000,1,3,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,38,38
react,2016-05-30,2026-05-29,0.500,no,no,14376,285,101,0.347368,0.459649,0.540351,0.638596,4,44,276,99,0.355072,0.456522,0.539855,0.634058,4,44,6,4,0.500000,0.833333,1.000000,1.000000,1,3,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,285,285
axios,2016-05-30,2026-05-29,0.500,no,no,1500,450,196,0.239669,0.366391,0.410468,0.460055,17,124,332,184,0.169492,0.288136,0.338983,0.389831,37,125,35,14,0.457143,0.628571,0.742857,0.885714,2,7,83,8,0.636364,0.848485,0.909091,1.000000,1,2,True,450,450
elasticsearch,2016-05-30,2026-05-29,0.500,no,no,72374,219,97,0.095890,0.264840,0.369863,0.515982,10,54,173,88,0.104046,0.248555,0.335260,0.450867,13,54,26,13,0.192308,0.461538,0.653846,0.884615,4,8,20,7,0.250000,0.700000,0.900000,1.000000,2,4,True,219,219
