repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
metasploit-framework,2016-05-30,2026-05-29,0.500,no,no,33141,111,41,0.090090,0.270270,0.405405,0.621622,7,19,105,39,0.095238,0.285714,0.419048,0.628571,7,18,2,2,0.500000,1.000000,1.000000,1.000000,1,2,4,4,0.250000,0.750000,1.000000,1.000000,2,4,True,111,111
juice-shop,2016-05-30,2026-05-29,0.500,no,no,19859,510,23,0.509804,0.927451,0.954902,0.974510,1,2,363,20,0.457300,0.917355,0.950413,0.972452,2,2,78,5,0.576923,0.974359,1.000000,1.000000,1,2,69,4,0.710145,0.971014,1.000000,1.000000,1,2,True,510,510
flask,2016-05-30,2026-05-29,0.500,no,no,1866,87,36,0.459770,0.574713,0.632184,0.701149,2,19,64,31,0.375000,0.500000,0.578125,0.671875,3,19,12,5,0.666667,0.833333,1.000000,1.000000,1,3,11,4,0.727273,0.909091,1.000000,1.000000,1,2,True,87,87
terraform,2016-05-30,2026-05-29,0.500,no,no,20174,2985,142,0.269884,0.464310,0.560503,0.706662,4,15,2856,139,0.282261,0.481692,0.581230,0.732314,4,13,115,16,0.252174,0.547826,0.721739,0.930435,3,7,14,7,0.285714,0.642857,0.857143,1.000000,2,5,True,2985,2985
FFmpeg,2016-05-30,2026-05-29,0.500,no,no,42686,974,193,0.279261,0.413758,0.477413,0.564682,6,51,387,116,0.183463,0.338501,0.410853,0.509044,10,43,399,90,0.593985,0.664160,0.699248,0.746867,1,20,188,85,0.138298,0.250000,0.324468,0.446809,14,48,True,974,974
aspnetcore,2016-05-30,2026-05-29,0.500,no,no,38766,584,128,0.192440,0.384880,0.512027,0.625430,5,31,436,121,0.257471,0.406897,0.471264,0.583908,7,37,25,17,0.160000,0.360000,0.520000,0.720000,5,12,123,17,0.483607,0.836066,0.893443,0.942623,2,2,True,584,584
Marlin,2016-05-30,2026-05-29,0.500,no,no,15484,85,37,0.226190,0.523810,0.571429,0.678571,3,21,66,29,0.215385,0.538462,0.600000,0.707692,3,16,10,5,0.400000,0.800000,1.000000,1.000000,2,3,9,9,0.111111,0.333333,0.555556,1.000000,5,8,True,85,85
jekyll,2016-05-30,2026-05-29,0.500,no,no,4049,1747,37,0.888380,0.936463,0.961649,0.981110,1,1,1732,34,0.896074,0.943418,0.968822,0.984411,1,1,11,7,0.272727,0.636364,0.818182,1.000000,3,5,4,2,0.750000,1.000000,1.000000,1.000000,1,2,True,1747,1747
PHPMailer,2016-05-30,2026-05-29,0.500,no,no,1427,277,26,0.880866,0.913357,0.924188,0.942238,1,1,213,24,0.859155,0.896714,0.910798,0.934272,1,1,58,2,0.982759,1.000000,1.000000,1.000000,1,1,6,3,0.666667,1.000000,1.000000,1.000000,1,2,True,277,277
go,2016-05-30,2026-05-29,0.500,no,no,37856,116,72,0.120690,0.250000,0.336207,0.448276,14,49,115,72,0.121739,0.252174,0.330435,0.443478,15,49,1,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,116,116
