repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts,unique_contributors_for_metrics,top3_share,top5_share,top10_share,participation_rate
framework,2016-05-30,2026-05-29,0.5,no,no,23475,546,47,0.347985,0.74359,0.82967,0.917582,2,5,537,46,0.353818,0.756052,0.837989,0.918063,2,4,6,4,0.333333,0.833333,1.0,1.0,2.0,3.0,3,3,0.333333,1.0,1.0,1.0,2.0,3.0,True,546,546,3762,0.2433896835717381,0.2852188990030342,0.3670567837017772,0.012493354598617756
guava,2016-05-30,2026-05-29,0.5,no,no,3913,116,19,0.556522,0.817391,0.86087,0.921739,1,3,76,18,0.421053,0.763158,0.815789,0.894737,2,5,29,2,0.965517,1.0,1.0,1.0,1.0,1.0,11,3,0.4,1.0,1.0,1.0,2.0,2.0,True,116,116,394,0.5252525252525253,0.6054994388327721,0.7051066217732884,0.048223350253807105
flink,2016-05-30,2026-05-29,0.5,no,no,29039,77,45,0.12987,0.246753,0.337662,0.493506,11,30,48,32,0.083333,0.229167,0.354167,0.541667,9,23,14,10,0.285714,0.5,0.642857,1.0,3.0,8.0,15,12,0.133333,0.4,0.533333,0.866667,5.0,9.0,True,77,77,1786,0.1744298215393095,0.2333080686281265,0.3188520636670571,0.025195968645016796
minimal-mistakes,2016-05-30,2026-05-29,0.5,no,no,1894,775,24,0.789677,0.967742,0.974194,0.981935,1,2,586,14,0.843003,0.981229,0.984642,0.993174,1,1,102,14,0.607843,0.882353,0.911765,0.960784,1.0,2.0,87,5,0.643678,0.977011,1.0,1.0,1.0,2.0,True,775,775,260,0.7457716701902748,0.7880549682875264,0.8155391120507399,0.09230769230769231
redis,2016-05-30,2026-05-29,0.5,no,no,6394,97,47,0.268041,0.412371,0.494845,0.618557,6,28,77,38,0.324675,0.480519,0.545455,0.636364,4,23,11,10,0.181818,0.363636,0.545455,1.0,5.0,8.0,9,7,0.222222,0.555556,0.777778,1.0,3.0,6.0,True,97,97,716,0.4174894217207334,0.4776680771039022,0.5812568562921172,0.06564245810055866
ardupilot,2016-05-30,2026-05-29,0.5,no,no,49677,79,48,0.164557,0.291139,0.367089,0.493671,11,33,76,47,0.157895,0.289474,0.368421,0.5,10,32,2,2,0.5,1.0,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,True,79,79,1057,0.556669686902245,0.6331621866505588,0.7322057787174067,0.04541154210028382
material-ui,2016-05-30,2026-05-29,0.5,no,no,23146,1317,142,0.452816,0.589041,0.673516,0.785388,2,11,861,132,0.511034,0.671312,0.723577,0.792102,1,11,317,24,0.379747,0.60443,0.724684,0.914557,3.0,7.0,139,21,0.255474,0.569343,0.70073,0.883212,3.0,8.0,True,1317,1317,3031,0.3520008942544154,0.4347753185781355,0.5306841046277666,0.04684922467832398
mybatis-3,2016-05-30,2026-05-29,0.5,no,no,2562,26,7,0.423077,0.846154,0.923077,1.0,2,3,24,7,0.375,0.833333,0.916667,1.0,2,3,2,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,,,,,,,True,26,26,223,0.69377990430622,0.7272727272727273,0.7687400318979266,0.03139013452914798
ionic-framework,2016-05-30,2026-05-29,0.5,no,no,9216,664,60,0.286174,0.540193,0.696141,0.866559,3,7,196,55,0.193878,0.418367,0.540816,0.693878,5,19,60,10,0.416667,0.833333,0.916667,1.0,2.0,3.0,408,15,0.486339,0.846995,0.95082,0.986339,2.0,3.0,True,664,664,482,0.3653223103563847,0.4848620265892079,0.7124343648754329,0.12448132780082988
imgui,2016-05-30,2026-05-29,0.5,no,no,7278,292,8,0.787671,0.982877,0.989726,1.0,1,2,275,8,0.774545,0.981818,0.989091,1.0,1,2,16,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,True,292,292,514,0.8690574333608134,0.889667491068975,0.898461115691124,0.01556420233463035
TypeScript,2016-05-30,2026-05-29,0.5,no,no,20014,152,68,0.138158,0.335526,0.427632,0.552632,8,38,117,61,0.179487,0.299145,0.384615,0.512821,10,38,22,6,0.727273,0.863636,0.954545,1.0,1.0,2.0,13,8,0.230769,0.615385,0.769231,1.0,3.0,6.0,True,152,152,832,0.2927899355111534,0.3746696268104451,0.5302357543080664,0.08173076923076923
scikit-learn,2016-05-30,2026-05-29,0.5,no,no,12768,204,95,0.073529,0.191176,0.289216,0.446078,13,55,168,88,0.059524,0.154762,0.238095,0.416667,15,55,23,17,0.173913,0.347826,0.478261,0.695652,6.0,13.0,13,9,0.230769,0.538462,0.692308,1.0,3.0,7.0,True,204,204,2847,0.1684972744284436,0.2265885607354975,0.3395167195508909,0.033368458025992274
rust,2016-05-30,2026-05-29,0.5,no,no,182715,3312,770,0.064106,0.145147,0.199274,0.29362,28,201,2737,735,0.068448,0.124451,0.170205,0.258419,36,234,154,64,0.136364,0.311688,0.435065,0.571429,7.0,34.0,421,62,0.204276,0.410926,0.570071,0.769596,5.0,12.0,True,3312,3312,7142,0.0980181668042939,0.1344233415909716,0.212001101018442,0.1078129375525063
animate.css,2016-05-30,2026-05-29,0.5,no,no,296,73,34,0.246575,0.410959,0.506849,0.657534,5,20,63,30,0.269841,0.460317,0.555556,0.68254,4,18,2,2,0.5,1.0,1.0,1.0,1.0,2.0,8,6,0.25,0.625,0.875,1.0,2.0,5.0,True,73,73,64,0.3801169590643274,0.4736842105263157,0.631578947368421,0.53125
jquery,2016-05-30,2026-05-29,0.5,no,no,722,67,12,0.38806,0.865672,0.895522,0.970149,2,3,45,10,0.355556,0.844444,0.888889,1.0,2,3,11,4,0.636364,0.909091,1.0,1.0,1.0,2.0,11,3,0.636364,1.0,1.0,1.0,1.0,2.0,True,67,67,75,0.7292899408284024,0.8328402366863905,0.8846153846153846,0.16
express,2016-05-30,2026-05-29,0.5,no,no,844,387,89,0.488372,0.640827,0.692506,0.764858,2,16,162,76,0.191358,0.351852,0.450617,0.567901,7,44,223,22,0.704036,0.856502,0.883408,0.941704,1.0,2.0,2,2,0.5,1.0,1.0,1.0,1.0,2.0,True,387,387,170,0.5985037406483791,0.6496259351620948,0.7119700748129676,0.5235294117647059
nvm,2016-05-30,2026-05-29,0.5,no,no,308,85,54,0.317647,0.376471,0.423529,0.482353,12,37,62,50,0.145161,0.225806,0.274194,0.354839,19,38,10,6,0.5,0.7,0.9,1.0,1.0,4.0,13,1,1.0,1.0,1.0,1.0,1.0,1.0,True,85,85,98,0.6327868852459017,0.6524590163934426,0.6950819672131148,0.5510204081632653
three.js,2016-05-30,2026-05-29,0.5,no,no,25475,167,45,0.45509,0.586826,0.640719,0.730539,2,16,131,43,0.358779,0.526718,0.587786,0.679389,3,18,30,2,0.966667,1.0,1.0,1.0,1.0,1.0,6,5,0.333333,0.666667,1.0,1.0,2.0,4.0,True,167,167,1805,0.4462243474795776,0.5087467623032477,0.6104403267583184,0.024930747922437674
angular,2016-05-30,2026-05-29,0.5,no,no,33022,1387,183,0.107246,0.275362,0.378986,0.557971,9,26,1051,174,0.10728,0.269157,0.35728,0.534483,9,31,307,39,0.136808,0.34202,0.485342,0.690554,6.0,14.0,29,20,0.241379,0.413793,0.482759,0.655172,6.0,15.0,True,1387,1387,2341,0.1554786691792036,0.2423465447468413,0.4046214204071545,0.07817172148654421
grafana,2016-05-30,2026-05-29,0.5,no,no,59268,1631,134,0.197213,0.518467,0.701742,0.819512,3,9,1549,122,0.203102,0.534712,0.722304,0.83678,3,7,44,26,0.136364,0.363636,0.477273,0.636364,6.0,18.0,38,20,0.189189,0.378378,0.513514,0.72973,5.0,13.0,True,1631,1631,2702,0.1208282494796526,0.1701535921912007,0.2457475059211943,0.049592894152479645
netty,2016-05-30,2026-05-29,0.5,no,no,6768,50,22,0.42,0.56,0.64,0.76,2,12,30,14,0.466667,0.633333,0.7,0.866667,2,8,6,6,0.166667,0.5,0.833333,1.0,3.0,5.0,14,8,0.428571,0.642857,0.785714,1.0,2.0,6.0,True,50,50,657,0.6543385490753911,0.6867393709498972,0.7352615773668405,0.0334855403348554
scrapy,2016-05-30,2026-05-29,0.5,no,no,4164,57,25,0.210526,0.45614,0.561404,0.736842,4,14,35,19,0.257143,0.4,0.514286,0.742857,5,12,7,5,0.285714,0.714286,1.0,1.0,2.0,4.0,15,7,0.466667,0.733333,0.866667,1.0,2.0,4.0,True,57,57,516,0.4343021859236128,0.5212587076627432,0.5923612779245736,0.04844961240310078
numpy,2016-05-30,2026-05-29,0.5,no,no,18441,98,54,0.091837,0.244898,0.346939,0.520408,10,35,90,48,0.088889,0.244444,0.355556,0.544444,9,30,4,4,0.25,0.75,1.0,1.0,2.0,4.0,4,4,0.25,0.75,1.0,1.0,2.0,4.0,True,98,98,1808,0.1790361311219076,0.2759256156810186,0.4308371028089574,0.029867256637168143
Ghost,2016-05-30,2026-05-29,0.5,no,no,40666,138,31,0.23913,0.485507,0.688406,0.847826,4,8,119,31,0.277311,0.504202,0.689076,0.823529,3,9,13,6,0.384615,0.692308,0.923077,1.0,2.0,4.0,6,3,0.666667,1.0,1.0,1.0,1.0,2.0,True,138,138,570,0.3039005053408781,0.4394347444548673,0.6235059158168669,0.054385964912280704
ansible,2016-05-30,2026-05-29,0.5,no,no,35670,504,107,0.128968,0.279762,0.406746,0.605159,7,25,483,103,0.134576,0.285714,0.409938,0.606625,7,25,16,11,0.1875,0.4375,0.625,0.9375,4.0,8.0,5,4,0.4,0.8,1.0,1.0,2.0,3.0,True,504,504,5438,0.1353617498597868,0.1880257992148065,0.2975322490185081,0.019676351599852888
bitcoin,2016-05-30,2026-05-29,0.5,no,no,25637,155,62,0.187097,0.406452,0.509677,0.619355,5,31,100,52,0.25,0.4,0.48,0.58,6,32,16,11,0.1875,0.5,0.625,0.9375,3.0,8.0,39,11,0.333333,0.692308,0.820513,0.974359,2.0,5.0,True,155,155,933,0.2204712123576221,0.3019581838040256,0.4358714308004369,0.06645230439442658
airflow,2016-05-30,2026-05-29,0.5,no,no,35254,1199,506,0.111018,0.27379,0.324708,0.407346,22,267,757,459,0.091149,0.173052,0.214003,0.286658,81,308,148,52,0.155405,0.364865,0.486486,0.648649,6.0,23.0,294,63,0.276451,0.511945,0.627986,0.737201,3.0,15.0,True,1199,1199,4199,0.1978705035971223,0.2456690647482014,0.3449208633093525,0.12050488211478924
FreeRDP,2016-05-30,2026-05-29,0.5,no,no,11309,88,9,0.454545,0.909091,0.954545,1.0,2,2,79,9,0.481013,0.911392,0.949367,1.0,2,2,5,2,0.6,1.0,1.0,1.0,1.0,2.0,4,3,0.5,1.0,1.0,1.0,1.0,3.0,True,88,88,400,0.7678839862056769,0.8101512070032717,0.8607303917234062,0.0225
todomvc,2016-05-30,2026-05-29,0.5,no,no,174,12,6,0.416667,0.75,0.916667,1.0,2,4,8,5,0.5,0.75,1.0,1.0,1,4,2,2,0.5,1.0,1.0,1.0,1.0,2.0,2,2,0.5,1.0,1.0,1.0,1.0,2.0,True,12,12,67,0.425287356321839,0.5057471264367817,0.6206896551724138,0.08955223880597014
nixpkgs,2016-05-30,2026-05-29,0.5,no,no,586478,334,166,0.10479,0.188623,0.242515,0.329341,28,100,309,160,0.097087,0.174757,0.23301,0.323625,28,99,16,13,0.125,0.375,0.5,0.8125,5.0,10.0,9,6,0.333333,0.666667,0.888889,1.0,2.0,5.0,True,334,334,13678,0.1415069263182664,0.1670704658651688,0.2192586072413687,0.012136277233513671
markdown-here,2016-05-30,2026-05-29,0.5,no,no,75,17,2,0.941176,1.0,1.0,1.0,1,1,15,2,0.933333,1.0,1.0,1.0,1,1,0,0,,,,,,,2,1,1.0,1.0,1.0,1.0,1.0,1.0,True,17,17,4,0.9866666666666668,1.0,1.0,0.5
flutter,2016-05-30,2026-05-29,0.5,no,no,81764,376,213,0.111702,0.159574,0.207447,0.297872,37,138,353,204,0.113314,0.164306,0.215297,0.303116,35,134,16,15,0.125,0.25,0.375,0.6875,7.0,12.0,7,6,0.285714,0.571429,0.857143,1.0,3.0,5.0,True,376,376,2268,0.4281300610439766,0.4686184128566089,0.5443254017690295,0.09391534391534391
go-ethereum,2016-05-30,2026-05-29,0.5,no,no,8603,122,81,0.065574,0.172131,0.254098,0.393443,20,57,106,76,0.066038,0.160377,0.245283,0.358491,23,55,12,6,0.583333,0.75,0.916667,1.0,1.0,4.0,4,2,0.75,1.0,1.0,1.0,1.0,2.0,True,122,122,1237,0.3314717859220477,0.4413030831878999,0.533216986620128,0.06548100242522231
opencv,2016-05-30,2026-05-29,0.5,no,no,10053,36,18,0.222222,0.5,0.611111,0.777778,3,11,32,17,0.21875,0.53125,0.625,0.78125,3,11,4,4,0.25,0.75,1.0,1.0,2.0,4.0,0,0,,,,,,,True,36,36,1681,0.2672636815920398,0.3264676616915423,0.4033830845771144,0.010707911957168352
socket.io,2016-05-30,2026-05-29,0.5,no,no,1982,527,70,0.850095,0.86907,0.87666,0.886148,1,1,205,64,0.682927,0.702439,0.712195,0.736585,1,23,150,4,0.933333,0.993333,1.0,1.0,1.0,1.0,172,5,0.976744,0.988372,1.0,1.0,1.0,1.0,True,527,527,288,0.8108389786347056,0.8165711307972903,0.8275143303804064,0.24305555555555555
shadowsocks-android,2016-05-30,2026-05-29,0.5,no,no,2436,97,8,0.381443,0.927835,0.969072,1.0,2,3,68,7,0.382353,0.926471,0.970588,1.0,2,3,11,5,0.363636,0.818182,1.0,1.0,2.0,3.0,18,3,0.444444,1.0,1.0,1.0,2.0,2.0,True,97,97,43,0.9051724137931034,0.9560755336617406,0.9741379310344828,0.18604651162790697
spring-framework,2016-05-30,2026-05-29,0.5,no,no,19488,100,34,0.2,0.44,0.54,0.73,4,14,87,32,0.229885,0.482759,0.574713,0.712644,4,15,6,5,0.333333,0.666667,1.0,1.0,2.0,4.0,7,4,0.428571,0.857143,1.0,1.0,2.0,3.0,True,100,100,1133,0.2800225907480618,0.4024233711557221,0.6121579298659958,0.03000882612533098
erpnext,2016-05-30,2026-05-29,0.5,no,no,30455,90,40,0.155556,0.388889,0.477778,0.622222,6,22,85,39,0.164706,0.364706,0.458824,0.611765,7,22,3,2,0.666667,1.0,1.0,1.0,1.0,2.0,2,2,0.5,1.0,1.0,1.0,1.0,2.0,True,90,90,871,0.2222858297413793,0.3050915948275862,0.4242995689655172,0.045924225028702644
ohmyzsh,2016-05-30,2026-05-29,0.5,no,no,3645,117,49,0.188034,0.401709,0.538462,0.649573,5,26,97,43,0.195876,0.42268,0.556701,0.659794,5,24,11,8,0.272727,0.545455,0.727273,1.0,3.0,6.0,9,7,0.222222,0.555556,0.777778,1.0,3.0,6.0,True,117,117,1719,0.3256278538812785,0.3621575342465753,0.3832762557077626,0.028504944735311226
kafka,2016-05-30,2026-05-29,0.5,no,no,15161,123,63,0.243902,0.333333,0.414634,0.512195,10,39,62,46,0.129032,0.209677,0.274194,0.419355,15,34,26,18,0.192308,0.346154,0.5,0.692308,5.0,13.0,35,13,0.485714,0.628571,0.742857,0.914286,2.0,6.0,True,123,123,1518,0.1130096318775564,0.1605752737828209,0.2476580023749835,0.041501976284584984
d3,2016-05-30,2026-05-29,0.5,no,no,787,52,6,0.884615,0.942308,0.980769,1.0,1,1,32,5,0.875,0.9375,1.0,1.0,1,1,6,3,0.666667,1.0,1.0,1.0,1.0,2.0,14,1,1.0,1.0,1.0,1.0,1.0,1.0,True,52,52,40,0.940279542566709,0.9479034307496824,0.960609911054638,0.15
