repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts,unique_contributors_for_metrics,top3_share,top5_share,top10_share,participation_rate
qmk_firmware,2016-05-30,2026-05-29,0.5,no,no,20366,160,47,0.1875,0.4375,0.53125,0.66875,5,18,144,45,0.201389,0.430556,0.527778,0.673611,5,18,7,6,0.285714,0.571429,0.857143,1.0,3.0,5.0,9,5,0.555556,0.777778,1.0,1.0,1.0,4.0,True,160,160,3403,0.2040298507462686,0.275273631840796,0.3615422885572139,0.013811342932706435
darknet,2016-05-30,2026-05-29,0.5,no,no,174,21,3,0.809524,1.0,1.0,1.0,1,1,20,3,0.85,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,,,,,,,True,21,21,12,0.9252873563218392,0.9597701149425288,0.9885057471264368,0.25
HanLP,2016-05-30,2026-05-29,0.5,no,no,1247,120,3,0.966667,1.0,1.0,1.0,1,1,92,3,0.956522,1.0,1.0,1.0,1,1,27,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,True,120,120,40,0.9494787489975942,0.958299919807538,0.9703287890938253,0.075
electron,2016-05-30,2026-05-29,0.5,no,no,18046,158,80,0.094937,0.196203,0.278481,0.424051,14,49,142,74,0.084507,0.183099,0.274648,0.429577,15,46,9,7,0.333333,0.555556,0.777778,1.0,3.0,6.0,7,6,0.285714,0.571429,0.857143,1.0,3.0,5.0,True,158,158,1181,0.3005067342312308,0.3950526736898253,0.5740098679823976,0.06773920406435224
openssl,2016-05-30,2026-05-29,0.5,no,no,23025,124,44,0.241935,0.5,0.58871,0.693548,3,20,87,32,0.287356,0.505747,0.62069,0.747126,3,15,10,8,0.2,0.5,0.7,1.0,3.0,6.0,27,14,0.185185,0.481481,0.62963,0.851852,4.0,9.0,True,124,124,1285,0.3385251250815749,0.424929301718512,0.5839895584076572,0.034241245136186774
vscode,2016-05-30,2026-05-29,0.5,no,no,135802,123,84,0.081301,0.186992,0.235772,0.341463,23,60,112,80,0.089286,0.196429,0.25,0.357143,24,58,5,5,0.2,0.6,1.0,1.0,3.0,4.0,6,5,0.333333,0.666667,1.0,1.0,2.0,4.0,True,123,123,2876,0.205074591452383,0.3102440905181362,0.4947578372927603,0.02920723226703755
echarts,2016-05-30,2026-05-29,0.5,no,no,5663,142,33,0.294964,0.690647,0.76259,0.834532,2,7,128,33,0.304,0.656,0.736,0.816,2,8,8,3,0.5,1.0,1.0,1.0,1.0,2.0,6,3,0.333333,1.0,1.0,1.0,2.0,3.0,True,142,142,321,0.7025586353944563,0.8120113717128643,0.8631840796019901,0.102803738317757
reveal.js,2016-05-30,2026-05-29,0.5,no,no,1276,179,43,0.659218,0.743017,0.765363,0.815642,1,9,150,42,0.613333,0.7,0.726667,0.786667,1,12,15,3,0.8,1.0,1.0,1.0,1.0,1.0,14,1,1.0,1.0,1.0,1.0,1.0,1.0,True,179,179,161,0.7844827586206896,0.8009404388714734,0.829153605015674,0.2670807453416149
AspNetCore.Docs,2016-05-30,2026-05-29,0.5,no,no,15811,85,33,0.176471,0.435294,0.611765,0.729412,4,16,75,30,0.186667,0.466667,0.626667,0.733333,4,15,4,3,0.5,1.0,1.0,1.0,1.0,3.0,6,6,0.166667,0.5,0.833333,1.0,3.0,5.0,True,85,85,1998,0.4464728706825265,0.5329813625087463,0.6420711150690159,0.016516516516516516
django,2016-05-30,2026-05-29,0.5,no,no,11981,395,371,0.017722,0.037975,0.048101,0.073418,174,292,389,368,0.017995,0.03599,0.046272,0.071979,174,291,6,6,0.166667,0.5,0.833333,1.0,3.0,5.0,0,0,,,,,,,True,395,395,2217,0.2792018034566252,0.3429907322367871,0.4648910411622276,0.16734325665313488
shadowsocks-windows,2016-05-30,2026-05-29,0.5,no,no,630,38,9,0.394737,0.763158,0.868421,1.0,2,4,32,8,0.375,0.8125,0.90625,1.0,2,3,4,3,0.5,1.0,1.0,1.0,1.0,3.0,2,2,0.5,1.0,1.0,1.0,1.0,2.0,True,38,38,55,0.5761904761904761,0.8095238095238095,0.8825396825396825,0.16363636363636364
react,2016-05-30,2026-05-29,0.5,no,no,14376,285,101,0.347368,0.459649,0.540351,0.638596,4,44,276,99,0.355072,0.456522,0.539855,0.634058,4,44,6,4,0.5,0.833333,1.0,1.0,1.0,3.0,3,3,0.333333,1.0,1.0,1.0,2.0,3.0,True,285,285,1311,0.2628887643597646,0.3961894087979826,0.563953488372093,0.07704042715484363
axios,2016-05-30,2026-05-29,0.5,no,no,1500,450,196,0.239669,0.366391,0.410468,0.460055,17,124,332,184,0.169492,0.288136,0.338983,0.389831,37,125,35,14,0.457143,0.628571,0.742857,0.885714,2.0,7.0,83,8,0.636364,0.848485,0.909091,1.0,1.0,2.0,True,450,450,577,0.3962546816479401,0.4247191011235955,0.4711610486891385,0.3396880415944541
elasticsearch,2016-05-30,2026-05-29,0.5,no,no,72374,219,97,0.09589,0.26484,0.369863,0.515982,10,54,173,88,0.104046,0.248555,0.33526,0.450867,13,54,26,13,0.192308,0.461538,0.653846,0.884615,4.0,8.0,20,7,0.25,0.7,0.9,1.0,2.0,4.0,True,219,219,1816,0.1293593592208834,0.1884156210660284,0.2901074882067315,0.05341409691629956
protobuf,2016-05-30,2026-05-29,0.5,no,no,16526,78,30,0.236111,0.513889,0.583333,0.722222,3,16,53,25,0.212766,0.446809,0.553191,0.680851,4,16,4,3,0.5,1.0,1.0,1.0,1.0,3.0,21,11,0.380952,0.619048,0.714286,0.952381,2.0,7.0,True,78,78,1269,0.2691700298297947,0.349973679592911,0.4998245306194069,0.02364066193853428
zxing,2016-05-30,2026-05-29,0.5,no,no,654,46,21,0.413043,0.543478,0.652174,0.76087,3,12,41,21,0.365854,0.512195,0.609756,0.731707,3,13,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,True,46,46,89,0.7197802197802198,0.7765567765567766,0.8186813186813187,0.23595505617977527
godot,2016-05-30,2026-05-29,0.5,no,no,42598,189,41,0.645503,0.756614,0.78836,0.835979,1,7,112,37,0.455357,0.633929,0.6875,0.758929,2,15,42,7,0.857143,0.904762,0.952381,1.0,1.0,1.0,35,1,1.0,1.0,1.0,1.0,1.0,1.0,True,189,189,3588,0.1666705796727161,0.2493602235109055,0.3500105651163336,0.011426978818283166
spark,2016-05-30,2026-05-29,0.5,no,no,31924,101,37,0.207921,0.455446,0.564356,0.722772,4,17,59,19,0.237288,0.59322,0.711864,0.847458,3,8,12,10,0.25,0.416667,0.583333,1.0,4.0,8.0,30,18,0.2,0.433333,0.566667,0.733333,4.0,12.0,True,101,101,2319,0.1474126049367247,0.2174539531387044,0.3165330159127928,0.015955153083225527
laravel,2016-05-30,2026-05-29,0.5,no,no,1811,320,48,0.221875,0.590625,0.778125,0.871875,3,6,317,48,0.223975,0.589905,0.77918,0.873817,3,6,3,2,0.666667,1.0,1.0,1.0,1.0,2.0,0,0,,,,,,,True,320,320,485,0.3991155334438916,0.4792703150912106,0.5688225538971807,0.09896907216494845
gitignore,2016-05-30,2026-05-29,0.5,no,no,1225,28,18,0.25,0.464286,0.535714,0.714286,4,13,26,16,0.269231,0.5,0.576923,0.769231,3,11,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,True,28,28,832,0.0551378446115288,0.0701754385964912,0.0969089390142021,0.021634615384615384
pandas,2016-05-30,2026-05-29,0.5,no,no,24259,126,80,0.056,0.16,0.24,0.376,18,55,108,75,0.065421,0.168224,0.242991,0.364486,22,54,10,9,0.2,0.4,0.6,1.0,4.0,7.0,8,7,0.25,0.5,0.75,1.0,3.0,6.0,True,126,126,3507,0.3153485671629411,0.3785924604984862,0.498154522456766,0.02281151981750784
AdminLTE,2016-05-30,2026-05-29,0.5,no,no,1963,60,12,0.283333,0.75,0.883333,0.966667,2,4,38,11,0.342105,0.710526,0.842105,0.973684,2,5,13,4,0.538462,0.923077,1.0,1.0,1.0,3.0,9,4,0.333333,0.888889,1.0,1.0,2.0,3.0,True,60,60,61,0.8070422535211268,0.9014084507042254,0.952112676056338,0.19672131147540983
react-router,2016-05-30,2026-05-29,0.5,no,no,7492,1065,511,0.254673,0.316589,0.34229,0.383178,83,340,875,423,0.255043,0.309798,0.334294,0.377522,76,285,126,80,0.243697,0.336134,0.369748,0.411765,21.0,57.0,64,23,0.27907,0.488372,0.581395,0.697674,4.0,15.0,True,1065,1065,956,0.3994825749505402,0.516511946431289,0.6988281844468117,0.5345188284518828
ant-design,2016-05-30,2026-05-29,0.5,no,no,23769,1540,114,0.336582,0.51527,0.630929,0.764782,3,13,875,91,0.357714,0.564571,0.665143,0.781714,3,12,626,49,0.304,0.5696,0.68,0.8272,3.0,9.0,39,16,0.384615,0.589744,0.692308,0.846154,2.0,9.0,True,1540,1540,2592,0.4315674255691769,0.4958406304728546,0.5935201401050788,0.04398148148148148
rails,2016-05-30,2026-05-29,0.5,no,no,23874,135,68,0.362963,0.42963,0.474074,0.562963,7,41,108,54,0.388889,0.453704,0.509259,0.592593,5,33,10,10,0.1,0.3,0.5,1.0,5.0,8.0,17,11,0.352941,0.529412,0.647059,0.941176,3.0,8.0,True,135,135,3272,0.1650370869858395,0.2249662845583277,0.3317599460552933,0.02078239608801956
spring-boot,2016-05-30,2026-05-29,0.5,no,no,34307,143,39,0.146853,0.370629,0.517483,0.741259,5,14,111,38,0.171171,0.423423,0.531532,0.720721,5,16,20,12,0.2,0.45,0.65,0.9,4.0,8.0,12,8,0.333333,0.583333,0.75,1.0,2.0,6.0,True,143,143,1341,0.3602982020172489,0.5612045022657506,0.7932466013740681,0.029082774049217
