repo,onb_n_commits,onb_entropy,onb_awr,onb_bus50,onb_n_contributors,n_newcomers,onb_newcomer_retention_rate,unique_contributors_for_metrics,log_contributors,log_onb_commits,log_onb_bus50,onb_participation_rate,log_newcomers
AdminLTE,26,0.6190470719701753,0.2459016393442623,2,8,8,0.25,21,3.091042453358316,3.295836866004329,1.0986122886681098,0.38095238095238093,2.1972245773362196
AspNetCore.Docs,24,0.697525780130226,0.3114754098360656,3,14,14,0.21428571428571427,521,6.257667587882639,3.2188758248682006,1.3862943611198906,0.026871401151631478,2.70805020110221
Chart.js,22,0.6081767791890642,0.22950819672131148,3,10,10,0.4,119,4.787491742782046,3.1354942159291497,1.3862943611198906,0.08403361344537816,2.3978952727983707
DefinitelyTyped,122,0.8398318522083275,0.7540983606557377,4,49,49,0.22448979591836735,5230,8.562357743370612,4.812184355372417,1.6094379124341003,0.009369024856596558,3.912023005428146
FFmpeg,1,0.0,0.01639344262295082,1,1,1,,601,6.400257445308821,0.6931471805599453,0.6931471805599453,0.0016638935108153079,0.6931471805599453
FreeRDP,15,0.49840566643447004,0.14754098360655737,1,4,4,0.5,179,5.19295685089021,2.772588722239781,0.6931471805599453,0.0223463687150838,1.6094379124341003
Ghost,51,0.7943797586353706,0.5081967213114754,2,17,17,0.29411764705882354,235,5.4638318050256105,3.9512437185814275,1.0986122886681098,0.07234042553191489,2.8903717578961645
HanLP,44,0.7242534624510166,0.4262295081967213,1,2,2,,9,2.302585092994046,3.8066624897703196,0.6931471805599453,0.2222222222222222,1.0986122886681098
Marlin,40,0.766589225908845,0.4262295081967213,2,18,18,0.16666666666666666,311,5.7430031878094825,3.713572066704308,1.0986122886681098,0.05787781350482315,2.9444389791664403
PHPMailer,36,0.7018643767591697,0.32786885245901637,1,8,8,0.125,65,4.189654742026425,3.6109179126442243,0.6931471805599453,0.12307692307692308,2.1972245773362196
Rocket.Chat,46,0.7366355658131408,0.4098360655737705,12,35,35,0.11428571428571428,169,5.135798437050262,3.8501476017100584,2.5649493574615367,0.20710059171597633,3.58351893845611
TypeScript,33,0.7610849410265642,0.4098360655737705,5,21,21,0.19047619047619047,260,5.564520407322694,3.5263605246161616,1.791759469228055,0.08076923076923077,3.091042453358316
Vue-core,70,0.8072560800026701,0.5737704918032787,1,31,31,0.0967741935483871,308,5.733341276897746,4.2626798770413155,0.6931471805599453,0.10064935064935066,3.4657359027997265
WordPress,26,0.7049432050759928,0.32786885245901637,2,6,6,0.8333333333333334,61,4.127134385045092,3.295836866004329,1.0986122886681098,0.09836065573770492,1.9459101490553132
airflow,496,0.9512286555756249,1.0,7,124,124,0.27419354838709675,1389,7.237059026124737,6.208590026096629,2.0794415416798357,0.0892728581713463,4.8283137373023015
angular,74,0.8424980034940635,0.639344262295082,12,49,49,0.16326530612244897,1023,6.931471805599453,4.31748811353631,2.5649493574615367,0.047898338220918865,3.912023005428146
animate.css,10,0.42523011075106826,0.11475409836065574,2,7,7,0.0,17,2.8903717578961645,2.3978952727983707,1.0986122886681098,0.4117647058823529,2.0794415416798357
ansible,18,0.6094300320796212,0.21311475409836064,5,14,14,0.07142857142857142,498,6.212606095751519,2.9444389791664403,1.791759469228055,0.028112449799196786,2.70805020110221
ant-design,76,0.8319592583297224,0.6229508196721312,2,31,31,0.12903225806451613,824,6.715383386334681,4.343805421853684,1.0986122886681098,0.03762135922330097,3.4657359027997265
