repo,onb_n_commits,onb_entropy,onb_awr,onb_bus50,onb_n_contributors,n_newcomers,onb_newcomer_retention_rate,unique_contributors_for_metrics,log_contributors,log_onb_commits,log_onb_bus50,onb_participation_rate,log_newcomers
ardupilot,27,0.6923890037769667,0.3114754098360656,9,22,22,0.09090909090909091,492,6.20050917404269,3.332204510175204,2.302585092994046,0.044715447154471545,3.1354942159291497
aspnetcore,36,0.7205991655024475,0.36065573770491804,6,23,23,0.21739130434782608,454,6.12029741895095,3.6109179126442243,1.9459101490553132,0.05066079295154185,3.1780538303479458
axios,110,0.7835733202212877,0.6229508196721312,15,70,70,0.04285714285714286,172,5.153291594497779,4.709530201312334,2.772588722239781,0.4069767441860465,4.2626798770413155
azure-quickstart-templates,4,0.3372261973790022,0.06557377049180328,1,3,3,0.3333333333333333,351,5.863631175598097,1.6094379124341003,0.6931471805599453,0.008547008547008548,1.3862943611198906
bitcoin,49,0.8012773860732966,0.5081967213114754,3,17,17,0.29411764705882354,377,5.934894195619588,3.912023005428146,1.3862943611198906,0.04509283819628647,2.8903717578961645
bootstrap,85,0.8520711162823117,0.6557377049180327,1,25,25,0.24,257,5.552959584921617,4.454347296253507,0.6931471805599453,0.09727626459143969,3.258096538021482
core,26,0.7098387404952914,0.32786885245901637,7,20,20,0.1,1826,7.510430556378006,3.295836866004329,2.0794415416798357,0.01095290251916758,3.044522437723423
d3,10,0.4926753502268687,0.13114754098360656,1,3,3,0.6666666666666666,10,2.3978952727983707,2.3978952727983707,0.6931471805599453,0.3,1.3862943611198906
darknet,15,0.4748013448513826,0.14754098360655737,1,1,1,,1,0.6931471805599453,2.772588722239781,0.6931471805599453,1.0,0.6931471805599453
django,12,0.5763694528173403,0.18032786885245902,3,9,9,0.1111111111111111,870,6.769641976852503,2.5649493574615367,1.3862943611198906,0.010344827586206896,2.302585092994046
dubbo,38,0.7273058145489125,0.3770491803278688,3,19,19,0.21052631578947367,208,5.342334251964811,3.6635616461296463,1.3862943611198906,0.09134615384615384,2.995732273553991
echarts,24,0.599168139228017,0.22950819672131148,2,9,9,0.3333333333333333,154,5.043425116919247,3.2188758248682006,1.0986122886681098,0.05844155844155844,2.302585092994046
elasticsearch,85,0.8858325170500773,0.7049180327868853,8,44,44,0.25,595,6.39024066706535,4.454347296253507,2.1972245773362196,0.07394957983193277,3.8066624897703196
electron,39,0.8306602669259839,0.5245901639344263,4,19,19,0.3157894736842105,307,5.730099782973574,3.6888794541139363,1.6094379124341003,0.06188925081433225,2.995732273553991
erpnext,42,0.589591190282785,0.2786885245901639,2,18,18,0.3333333333333333,280,5.638354669333745,3.7612001156935624,1.0986122886681098,0.06428571428571428,2.9444389791664403
etcd,80,0.8198518781905929,0.5573770491803278,7,40,40,0.175,444,6.09807428216624,4.394449154672439,2.0794415416798357,0.09009009009009009,3.713572066704308
flask,30,0.630540866866888,0.2459016393442623,1,9,9,0.2222222222222222,138,4.9344739331306915,3.4339872044851463,0.6931471805599453,0.06521739130434782,2.302585092994046
flink,17,0.6495261051615294,0.2459016393442623,4,12,12,0.16666666666666666,882,6.78332520060396,2.8903717578961645,1.6094379124341003,0.013605442176870748,2.5649493574615367
flutter,59,0.8310947562246416,0.5737704918032787,7,35,35,0.2,978,6.88653164253051,4.0943445622221,2.0794415416798357,0.03578732106339468,3.58351893845611
framework,8,0.463686021396128,0.11475409836065574,3,7,7,0.14285714285714285,1317,7.183870715062453,2.1972245773362196,1.3862943611198906,0.005315110098709187,2.0794415416798357
gitignore,7,0.42518164147521226,0.09836065573770492,4,7,7,0.0,213,5.365976015021851,2.0794415416798357,1.6094379124341003,0.03286384976525822,2.0794415416798357
go,11,0.5526485578884165,0.16393442622950818,5,10,10,0.1,1079,6.984716320118266,2.4849066497880004,1.791759469228055,0.009267840593141797,2.3978952727983707
go-ethereum,42,0.7877149086766038,0.45901639344262296,10,31,31,0.1935483870967742,416,6.0330862217988015,3.7612001156935624,2.3978952727983707,0.07451923076923077,3.4657359027997265
godot,27,0.7001646436464942,0.32786885245901637,3,14,14,0.2857142857142857,1796,7.493873886783559,3.332204510175204,1.3862943611198906,0.0077951002227171495,2.70805020110221
grafana,31,0.7333320785938832,0.36065573770491804,12,27,27,0.1111111111111111,980,6.8885724595653635,3.4657359027997265,2.5649493574615367,0.027551020408163266,3.332204510175204
grpc,125,0.8003531088644571,0.5245901639344263,4,25,25,0.44,387,5.961005339623274,4.836281906951478,1.6094379124341003,0.06459948320413436,3.258096538021482
guava,46,0.7530944951682165,0.4262295081967213,1,8,8,0.375,114,4.74493212836325,3.8501476017100584,0.6931471805599453,0.07017543859649122,2.1972245773362196
homebrew-cask,38,0.7150818640678399,0.36065573770491804,5,21,21,0.19047619047619047,3456,8.148156439921625,3.6635616461296463,1.791759469228055,0.006076388888888889,3.091042453358316
html5-boilerplate,31,0.700697285299141,0.32786885245901637,2,13,13,0.15384615384615385,18,2.9444389791664403,3.4657359027997265,1.0986122886681098,0.7222222222222222,2.6390573296152584
imgui,8,0.42153274672375274,0.09836065573770492,1,2,2,,230,5.442417710521793,2.1972245773362196,0.6931471805599453,0.008695652173913044,1.0986122886681098
ionic-framework,34,0.654388361371852,0.29508196721311475,2,10,10,0.5,97,4.584967478670572,3.5553480614894135,1.0986122886681098,0.10309278350515463,2.3978952727983707
java-design-patterns,38,0.6817595894904576,0.3442622950819672,6,25,25,0.12,122,4.812184355372417,3.6635616461296463,1.9459101490553132,0.20491803278688525,3.258096538021482
jekyll,10,0.526397969964769,0.14754098360655737,3,8,8,0.125,126,4.844187086458591,2.3978952727983707,1.3862943611198906,0.06349206349206349,2.1972245773362196
jenkins,58,0.8009070883172469,0.5081967213114754,3,19,19,0.3684210526315789,173,5.159055299214529,4.07753744390572,1.3862943611198906,0.10982658959537572,2.995732273553991
jquery,23,0.6545636549353756,0.2786885245901639,1,4,4,0.75,20,3.044522437723423,3.1780538303479458,0.6931471805599453,0.2,1.6094379124341003
juice-shop,104,0.8458847016828189,0.639344262295082,1,11,11,0.36363636363636365,58,4.07753744390572,4.653960350157523,0.6931471805599453,0.1896551724137931,2.4849066497880004
kafka,59,0.7584313072484842,0.4426229508196721,4,27,27,0.2222222222222222,561,6.331501849893691,4.0943445622221,1.6094379124341003,0.0481283422459893,3.332204510175204
kubernetes,18,0.6585630693704683,0.26229508196721313,7,16,16,0.125,2019,7.61085279039525,2.9444389791664403,2.0794415416798357,0.0079247152055473,2.833213344056216
lantern,32,0.3437169798450883,0.08196721311475409,1,4,4,0.75,4,1.6094379124341003,3.4965075614664802,0.6931471805599453,1.0,1.6094379124341003
laravel,22,0.6599478025090079,0.2786885245901639,3,13,13,0.23076923076923078,142,4.962844630259907,3.1354942159291497,1.3862943611198906,0.09154929577464789,2.6390573296152584
markdown-here,7,0.31064788209524596,0.06557377049180328,1,2,2,,2,1.0986122886681098,2.0794415416798357,0.6931471805599453,1.0,1.0986122886681098
material-ui,201,0.9316409574106306,0.9180327868852459,3,50,50,0.24,790,6.673297967767654,5.308267697401205,1.3862943611198906,0.06329113924050633,3.9318256327243257
metasploit-framework,46,0.5425150274046222,0.26229508196721313,5,23,23,0.17391304347826086,318,5.765191102784844,3.8501476017100584,1.791759469228055,0.07232704402515723,3.1780538303479458
minimal-mistakes,36,0.6702265291747594,0.3114754098360656,2,10,10,0.3,55,4.02535169073515,3.6109179126442243,1.0986122886681098,0.18181818181818182,2.3978952727983707
moby,12,0.5763694528173403,0.18032786885245902,3,9,9,0.2222222222222222,303,5.717027701406222,2.5649493574615367,1.3862943611198906,0.0297029702970297,2.302585092994046
mybatis-3,14,0.5215319835834986,0.16393442622950818,1,5,5,0.4,88,4.48863636973214,2.70805020110221,0.6931471805599453,0.056818181818181816,1.791759469228055
netty,25,0.604916573996566,0.26229508196721313,2,11,11,0.2727272727272727,220,5.3981627015177525,3.258096538021482,1.0986122886681098,0.05,2.4849066497880004
nixpkgs,160,0.8192601422976038,0.6885245901639344,13,76,76,0.3026315789473684,8008,8.988321188323683,5.081404364984463,2.6390573296152584,0.00949050949050949,4.343805421853684
node,389,0.9594673099397558,1.0,19,160,160,0.3375,991,6.899723107284872,5.966146739123692,2.995732273553991,0.16145307769929365,5.081404364984463
numpy,48,0.6372518120738837,0.3114754098360656,7,31,31,0.0967741935483871,773,6.651571873589727,3.8918202981106265,2.0794415416798357,0.040103492884864166,3.4657359027997265
odoo,11,0.5833054849228712,0.18032786885245902,4,9,9,0.2222222222222222,1496,7.311218384419629,2.4849066497880004,1.6094379124341003,0.006016042780748663,2.302585092994046
ohmyzsh,51,0.7597830173617255,0.4426229508196721,5,26,26,0.2692307692307692,597,6.393590753950631,3.9512437185814275,1.791759469228055,0.04355108877721943,3.295836866004329
opencv,13,0.5363301063864917,0.16393442622950818,4,10,10,0.2,578,6.361302477572996,2.6390573296152584,1.6094379124341003,0.01730103806228374,2.3978952727983707
openssl,46,0.7690926818302076,0.4262295081967213,6,26,26,0.19230769230769232,689,6.536691597591305,3.8501476017100584,1.9459101490553132,0.03773584905660377,3.295836866004329
pandas,38,0.775027259490933,0.4262295081967213,12,31,31,0.0967741935483871,834,6.727431724850855,3.6635616461296463,2.5649493574615367,0.03717026378896882,3.4657359027997265
pdf.js,25,0.7290587904456955,0.3442622950819672,1,9,9,0.3333333333333333,98,4.59511985013459,3.258096538021482,0.6931471805599453,0.09183673469387756,2.302585092994046
protobuf,24,0.6606760021620908,0.26229508196721313,4,15,15,0.2,551,6.313548046277095,3.2188758248682006,1.6094379124341003,0.02722323049001815,2.772588722239781
qmk_firmware,42,0.7586286975191217,0.39344262295081966,1,8,8,0.375,1109,7.01211529430638,3.7612001156935624,0.6931471805599453,0.007213706041478809,2.1972245773362196
rails,29,0.6692603401466893,0.29508196721311475,10,24,24,0.125,1480,7.300472814267799,3.4011973816621555,2.3978952727983707,0.016216216216216217,3.2188758248682006
react,24,0.6553725054578506,0.2786885245901639,7,19,19,0.05263157894736842,323,5.780743515792329,3.2188758248682006,2.0794415416798357,0.058823529411764705,2.995732273553991
react-native,28,0.7292285446913029,0.36065573770491804,12,26,26,0.07692307692307693,1233,7.1180162044653335,3.367295829986474,2.5649493574615367,0.021086780210867802,3.295836866004329
react-router,32,0.5531587179643462,0.21311475409836064,5,20,20,0.1,380,5.942799375126701,3.4965075614664802,1.791759469228055,0.05263157894736842,3.044522437723423
redis,61,0.6593464020399391,0.4098360655737705,4,28,28,0.2857142857142857,335,5.817111159963204,4.127134385045092,1.6094379124341003,0.08358208955223881,3.367295829986474
reveal.js,22,0.5870626829035748,0.22950819672131148,1,5,5,0.2,50,3.9318256327243257,3.1354942159291497,0.6931471805599453,0.1,1.791759469228055
rust,641,0.9293889073340169,0.9836065573770492,9,194,194,0.2422680412371134,3638,8.19946419761216,6.464588303689961,2.302585092994046,0.05332600329851567,5.272999558563747
scrapy,31,0.6593074446440496,0.29508196721311475,3,14,14,0.2857142857142857,165,5.111987788356544,3.4657359027997265,1.3862943611198906,0.08484848484848485,2.70805020110221
shadowsocks-android,7,0.3770064704210691,0.08196721311475409,1,2,2,,8,2.1972245773362196,2.0794415416798357,0.6931471805599453,0.25,1.0986122886681098
shadowsocks-windows,4,0.25291964803425165,0.04918032786885246,1,3,3,0.3333333333333333,10,2.3978952727983707,1.6094379124341003,0.6931471805599453,0.3,1.3862943611198906
socket.io,109,0.7433913921105494,0.5409836065573771,1,26,26,0.038461538461538464,104,4.653960350157523,4.700480365792417,0.6931471805599453,0.25,3.295836866004329
spark,24,0.6581149941748579,0.29508196721311475,2,11,11,0.2727272727272727,1033,6.9411900550683745,3.2188758248682006,1.0986122886681098,0.010648596321393998,2.4849066497880004
spring-boot,55,0.7261257757950312,0.39344262295081966,5,27,27,0.25925925925925924,575,6.3561076606958915,4.02535169073515,1.791759469228055,0.04695652173913043,3.332204510175204
spring-framework,30,0.7107144984328645,0.32786885245901637,5,18,18,0.2777777777777778,556,6.322565239927284,3.4339872044851463,1.791759469228055,0.03237410071942446,2.9444389791664403
symfony,74,0.8143247416566634,0.6065573770491803,4,37,37,0.21621621621621623,1599,7.3777589082278725,4.31748811353631,1.6094379124341003,0.023139462163852407,3.6375861597263857
terraform,51,0.735744264300376,0.4098360655737705,5,25,25,0.32,377,5.934894195619588,3.9512437185814275,1.791759469228055,0.06631299734748011,3.258096538021482
three.js,49,0.7380835091732025,0.39344262295081966,2,16,16,0.3125,599,6.396929655216146,3.912023005428146,1.0986122886681098,0.02671118530884808,2.833213344056216
todomvc,2,0.1686130986895011,0.03278688524590164,1,2,2,,8,2.1972245773362196,1.0986122886681098,0.6931471805599453,0.25,1.0986122886681098
vscode,31,0.6857130879352455,0.3114754098360656,7,22,22,0.13636363636363635,1325,7.189922170745808,3.4657359027997265,2.0794415416798357,0.01660377358490566,3.1354942159291497
youtube-dl,18,0.5203482192285361,0.18032786885245902,2,9,9,0.2222222222222222,100,4.61512051684126,2.9444389791664403,1.0986122886681098,0.09,2.302585092994046
zxing,18,0.5952873742016478,0.21311475409836064,2,8,8,0.375,25,3.258096538021482,2.9444389791664403,1.0986122886681098,0.32,2.1972245773362196
