repo,category,n_commits,entropy_norm,awr,n_contributors
dubbo,governance_policy,3,0.15483670609358735,0.03278688524590164,2
dubbo,change_tracking,0,,,0
dubbo,legal_attribution,13,0.4942402237821651,0.14754098360655737,8
echarts,onboarding_process,24,0.599168139228017,0.22950819672131148,9
echarts,governance_policy,0,,,0
echarts,change_tracking,0,,,0
echarts,legal_attribution,4,0.3372261973790022,0.06557377049180328,3
elasticsearch,onboarding_process,85,0.8858325170500773,0.7049180327868853,44
elasticsearch,governance_policy,0,,,0
elasticsearch,change_tracking,2,0.1686130986895011,0.03278688524590164,2
elasticsearch,legal_attribution,4,0.3372261973790022,0.06557377049180328,3
electron,onboarding_process,39,0.8306602669259839,0.5245901639344263,19
electron,governance_policy,7,0.3770064704210691,0.08196721311475409,5
electron,change_tracking,0,,,0
electron,legal_attribution,1,0.0,0.01639344262295082,1
erpnext,onboarding_process,42,0.589591190282785,0.2786885245901639,18
erpnext,governance_policy,0,,,0
erpnext,change_tracking,0,,,0
erpnext,legal_attribution,1,0.0,0.01639344262295082,1
etcd,onboarding_process,80,0.8198518781905929,0.5573770491803278,40
etcd,governance_policy,28,0.6976430207186155,0.3114754098360656,13
etcd,change_tracking,1,0.0,0.01639344262295082,1
etcd,legal_attribution,1,0.0,0.01639344262295082,1
flask,onboarding_process,31,0.627215832845027,0.2459016393442623,9
flask,governance_policy,7,0.31064788209524596,0.06557377049180328,2
flask,change_tracking,0,,,0
flask,legal_attribution,4,0.1367921184640611,0.03278688524590164,2
flink,onboarding_process,17,0.6495261051615294,0.2459016393442623,12
flink,governance_policy,0,,,0
flink,change_tracking,0,,,0
flink,legal_attribution,15,0.5913076900906226,0.19672131147540983,14
flutter,onboarding_process,59,0.8310947562246416,0.5737704918032787,35
flutter,governance_policy,10,0.4926753502268687,0.13114754098360656,5
flutter,change_tracking,23,0.590381537091125,0.19672131147540983,11
flutter,legal_attribution,78,0.8374306850019645,0.6229508196721312,72
framework,onboarding_process,9,0.4970212996199538,0.13114754098360656,7
framework,governance_policy,7,0.42518164147521226,0.09836065573770492,4
framework,change_tracking,390,0.8870492526850909,0.7213114754098361,16
framework,legal_attribution,4,0.25291964803425165,0.04918032786885246,2
gitignore,onboarding_process,7,0.42518164147521226,0.09836065573770492,7
gitignore,governance_policy,0,,,0
gitignore,change_tracking,0,,,0
gitignore,legal_attribution,0,,,0
go,onboarding_process,12,0.5482672697024235,0.16393442622950818,10
go,governance_policy,7,0.42518164147521226,0.09836065573770492,6
go,change_tracking,0,,,0
go,legal_attribution,34,0.6581320061042567,0.29508196721311475,27
go-ethereum,onboarding_process,42,0.7877149086766038,0.45901639344262296,31
go-ethereum,governance_policy,6,0.4358585372427558,0.09836065573770492,4
go-ethereum,change_tracking,0,,,0
go-ethereum,legal_attribution,5,0.3240622515373677,0.06557377049180328,3
godot,onboarding_process,27,0.7001646436464942,0.32786885245901637,14
godot,governance_policy,1,0.0,0.01639344262295082,1
godot,change_tracking,18,0.6210934918839125,0.22950819672131148,10
godot,legal_attribution,35,0.8359592009100377,0.5245901639344263,2
grafana,onboarding_process,31,0.7333320785938832,0.36065573770491804,27
grafana,governance_policy,23,0.6783535885812993,0.29508196721311475,19
grafana,change_tracking,271,0.8869263661416268,0.8032786885245902,45
grafana,legal_attribution,3,0.2672454385532547,0.04918032786885246,1
grpc,onboarding_process,141,0.788978161526654,0.5409836065573771,25
grpc,governance_policy,39,0.5506981582841938,0.2786885245901639,21
grpc,change_tracking,0,,,0
grpc,legal_attribution,25,0.2872265441284322,0.09836065573770492,7
guava,onboarding_process,46,0.7530944951682165,0.4262295081967213,8
guava,governance_policy,0,,,0
guava,change_tracking,0,,,0
guava,legal_attribution,2,0.1686130986895011,0.03278688524590164,2
homebrew-cask,onboarding_process,38,0.7150818640678399,0.36065573770491804,21
homebrew-cask,governance_policy,1,0.0,0.01639344262295082,1
homebrew-cask,change_tracking,0,,,0
homebrew-cask,legal_attribution,0,,,0
html5-boilerplate,onboarding_process,32,0.7126280469021996,0.3442622950819672,13
html5-boilerplate,governance_policy,5,0.3240622515373677,0.06557377049180328,3
html5-boilerplate,change_tracking,11,0.47976343828298335,0.13114754098360656,4
html5-boilerplate,legal_attribution,1,0.0,0.01639344262295082,0
imgui,onboarding_process,8,0.42153274672375274,0.09836065573770492,2
imgui,governance_policy,0,,,0
imgui,change_tracking,0,,,0
imgui,legal_attribution,5,0.3915074910131681,0.08196721311475409,2
ionic-framework,onboarding_process,34,0.654388361371852,0.29508196721311475,10
ionic-framework,governance_policy,3,0.2672454385532547,0.04918032786885246,3
ionic-framework,change_tracking,263,0.9081999497197044,0.8524590163934426,7
ionic-framework,legal_attribution,4,0.25291964803425165,0.04918032786885246,2
java-design-patterns,onboarding_process,39,0.6813757416414817,0.3442622950819672,25
java-design-patterns,governance_policy,0,,,0
java-design-patterns,change_tracking,0,,,0
java-design-patterns,legal_attribution,5,0.3915074910131681,0.08196721311475409,4
jekyll,onboarding_process,10,0.526397969964769,0.14754098360655737,8
jekyll,governance_policy,2,0.0,0.01639344262295082,2
jekyll,change_tracking,377,0.8894022877391081,0.8852459016393442,8
jekyll,legal_attribution,0,,,0
jenkins,onboarding_process,58,0.8009070883172469,0.5081967213114754,19
jenkins,governance_policy,1,0.0,0.01639344262295082,1
jenkins,change_tracking,2,0.1686130986895011,0.03278688524590164,2
jenkins,legal_attribution,0,,,0
jquery,onboarding_process,23,0.6545636549353756,0.2786885245901639,4
jquery,governance_policy,1,0.0,0.01639344262295082,1
jquery,change_tracking,1,0.0,0.01639344262295082,1
jquery,legal_attribution,3,0.2672454385532547,0.04918032786885246,2
juice-shop,onboarding_process,107,0.8420208104520869,0.639344262295082,11
juice-shop,governance_policy,57,0.8159854616449106,0.5737704918032787,5
juice-shop,change_tracking,0,,,0
juice-shop,legal_attribution,15,0.4394460216854536,0.13114754098360656,4
kafka,onboarding_process,59,0.7584313072484842,0.4426229508196721,27
kafka,governance_policy,0,,,0
kafka,change_tracking,0,,,0
kafka,legal_attribution,10,0.45895273048896856,0.11475409836065574,9
