project_name,repo,active_window_rate,entropy_norm,cluster_id,archetype
flutter,flutter,0.8688524590163934,0.92044,2,Consistent
go-ethereum,go-ethereum,0.5409836065573771,0.828941,1,Occasional
opencv,opencv,0.1967213114754098,0.570179,0,Sparse
socket.io,socket.io,0.7213114754098361,0.832094,2,Consistent
shadowsocks-android,shadowsocks-android,0.1147540983606557,0.459552,0,Sparse
spring-framework,spring-framework,0.3278688524590163,0.70343,1,Occasional
erpnext,erpnext,0.2786885245901639,0.589591,0,Sparse
ohmyzsh,ohmyzsh,0.4590163934426229,0.770242,1,Occasional
kafka,kafka,0.4918032786885246,0.782189,1,Occasional
d3,d3,0.1639344262295081,0.546121,0,Sparse
Rocket.Chat,Rocket.Chat,0.7213114754098361,0.870657,2,Consistent
azure-quickstart-templates,azure-quickstart-templates,0.081967213114754,0.391507,0,Sparse
moby,moby,0.5573770491803278,0.827508,1,Occasional
etcd,etcd,0.6885245901639344,0.865654,2,Consistent
homebrew-cask,homebrew-cask,0.360655737704918,0.707154,1,Occasional
html5-boilerplate,html5-boilerplate,0.3934426229508196,0.737572,1,Occasional
youtube-dl,youtube-dl,0.2786885245901639,0.563159,0,Sparse
java-design-patterns,java-design-patterns,0.8032786885245902,0.768605,2,Consistent
symfony,symfony,0.9836065573770492,0.922871,2,Consistent
dubbo,dubbo,0.4754098360655737,0.775503,1,Occasional
jenkins,jenkins,0.5245901639344263,0.808232,1,Occasional
node,node,1.0,0.969046,2,Consistent
kubernetes,kubernetes,0.2786885245901639,0.670308,1,Occasional
qmk_firmware,qmk_firmware,0.3934426229508196,0.760012,1,Occasional
darknet,darknet,0.1475409836065573,0.474801,0,Sparse
HanLP,HanLP,0.4262295081967213,0.724253,1,Occasional
electron,electron,0.5409836065573771,0.83044,1,Occasional
openssl,openssl,0.4590163934426229,0.783651,1,Occasional
vscode,vscode,0.3442622950819672,0.711468,1,Occasional
echarts,echarts,0.2786885245901639,0.638465,1,Occasional
reveal.js,reveal.js,0.2295081967213114,0.593865,0,Sparse
AspNetCore.Docs,AspNetCore.Docs,0.3114754098360656,0.696989,1,Occasional
django,django,0.8524590163934426,0.923148,2,Consistent
shadowsocks-windows,shadowsocks-windows,0.0491803278688524,0.25292,0,Sparse
react,react,0.4754098360655737,0.767743,1,Occasional
axios,axios,0.7704918032786885,0.867356,2,Consistent
elasticsearch,elasticsearch,0.7213114754098361,0.89155,2,Consistent
protobuf,protobuf,0.360655737704918,0.721779,1,Occasional
zxing,zxing,0.2131147540983606,0.595287,0,Sparse
godot,godot,0.7213114754098361,0.874294,2,Consistent
spark,spark,0.3770491803278688,0.714899,1,Occasional
laravel,laravel,0.9672131147540984,0.950281,2,Consistent
gitignore,gitignore,0.1311475409836065,0.497021,0,Sparse
pandas,pandas,0.4918032786885246,0.805104,1,Occasional
AdminLTE,AdminLTE,0.2622950819672131,0.614496,1,Occasional
react-router,react-router,0.8360655737704918,0.895802,2,Consistent
ant-design,ant-design,1.0,0.972748,2,Consistent
rails,rails,0.3770491803278688,0.717454,1,Occasional
spring-boot,spring-boot,0.4098360655737705,0.730729,1,Occasional
