repo,entropy_all,awr_all,archetype_all,entropy_living,awr_living,n_living,entropy_static,awr_static,n_static
d3,0.546121,0.163934,Sparse,0.4926753502268687,0.13114754098360656,10,0.3372261973790022,0.06557377049180328,4
darknet,0.474801,0.147541,Sparse,0.4748013448513826,0.14754098360655737,15,,0.0,0
data,0.136792,0.032787,Sparse,0.1367921184640611,0.03278688524590164,4,0.0,0.01639344262295082,2
django,0.923148,0.852459,Consistent,0.5980021306680121,0.19672131147540983,13,0.9182094651580919,0.8524590163934426,161
dotfiles,0.256617,0.04918,Sparse,0.1686130986895011,0.03278688524590164,4,0.0,0.01639344262295082,1
dubbo,0.775503,0.47541,Occasional,0.737664630628714,0.39344262295081966,39,0.4942402237821651,0.14754098360655737,13
echarts,0.638465,0.278689,Occasional,0.599168139228017,0.22950819672131148,24,0.4358585372427558,0.09836065573770492,6
elasticsearch,0.89155,0.721311,Consistent,0.8867544374584594,0.7049180327868853,87,0.3372261973790022,0.06557377049180328,4
electron,0.83044,0.540984,Occasional,0.8227519654610502,0.5245901639344263,43,0.0,0.01639344262295082,1
erpnext,0.589591,0.278689,Occasional,0.589591190282785,0.2786885245901639,42,0.0,0.01639344262295082,1
etcd,0.865654,0.688525,Consistent,0.8607638948112326,0.6721311475409836,104,0.0,0.01639344262295082,1
flask,0.624344,0.245902,Occasional,0.6243438750292691,0.2459016393442623,32,0.1367921184640611,0.03278688524590164,4
flink,0.76532,0.409836,Occasional,0.6495261051615294,0.2459016393442623,17,0.5913076900906226,0.19672131147540983,15
flutter,0.92044,0.868852,Consistent,0.8791307228506695,0.7049180327868853,89,0.8374306850019645,0.6229508196721312,78
framework,0.903461,0.819672,Consistent,0.903460751929737,0.819672131147541,402,0.25291964803425165,0.04918032786885246,4
gitignore,0.497021,0.131148,Sparse,0.4970212996199538,0.13114754098360656,9,,0.0,0
go,0.710539,0.377049,Occasional,0.568825943598689,0.18032786885245902,15,0.6581320061042567,0.29508196721311475,34
go-ethereum,0.828941,0.540984,Occasional,0.8116565616643828,0.5081967213114754,48,0.3240622515373677,0.06557377049180328,5
godot,0.874294,0.721311,Consistent,0.7617616775393596,0.45901639344262296,46,0.8359592009100377,0.5245901639344263,35
grafana,0.969365,1.0,Consistent,0.9691903300676452,1.0,500,0.2672454385532547,0.04918032786885246,3
grpc,0.839844,0.688525,Consistent,0.8388900952049368,0.6885245901639344,158,0.2872265441284322,0.09836065573770492,25
guava,0.763849,0.442623,Occasional,0.7549435724510363,0.4262295081967213,47,0.1686130986895011,0.03278688524590164,2
homebrew-cask,0.707154,0.360656,Occasional,0.7071536757083369,0.36065573770491804,40,,0.0,0
html5-boilerplate,0.737572,0.393443,Occasional,0.7375716815373302,0.39344262295081966,42,0.0,0.01639344262295082,4
imgui,0.53633,0.163934,Sparse,0.42153274672375274,0.09836065573770492,8,0.3915074910131681,0.08196721311475409,5
ionic-framework,0.945797,0.967213,Consistent,0.9459966960174272,0.9672131147540983,338,0.25291964803425165,0.04918032786885246,4
java-design-patterns,0.768605,0.803279,Consistent,0.7669354882014408,0.8032786885245902,459,0.3915074910131681,0.08196721311475409,5
jekyll,0.889046,0.885246,Consistent,0.889046367043461,0.8852459016393442,388,,0.0,0
jenkins,0.808232,0.52459,Occasional,0.8082319631819973,0.5245901639344263,59,,0.0,0
jquery,0.683898,0.311475,Occasional,0.6694235970153091,0.29508196721311475,24,0.2672454385532547,0.04918032786885246,3
juice-shop,0.89028,0.819672,Consistent,0.8902799552794232,0.819672131147541,140,0.4394460216854536,0.13114754098360656,15
kafka,0.782189,0.491803,Occasional,0.7584313072484842,0.4426229508196721,59,0.45895273048896856,0.11475409836065574,10
kubernetes,0.670308,0.278689,Occasional,0.6703075505865258,0.2786885245901639,21,,0.0,0
lantern,0.343717,0.081967,Sparse,0.3437169798450883,0.08196721311475409,32,,0.0,0
laravel,0.950281,0.967213,Consistent,0.9502814707915759,0.9672131147540983,184,,0.0,0
markdown-here,0.310648,0.065574,Sparse,0.31064788209524596,0.06557377049180328,7,0.1686130986895011,0.03278688524590164,2
material-ui,0.978237,1.0,Consistent,0.978237065111389,1.0,586,0.15483670609358735,0.03278688524590164,3
metasploit-framework,0.66881,0.409836,Occasional,0.5747298743312732,0.3114754098360656,55,0.5264126876725755,0.26229508196721313,53
minimal-mistakes,0.710538,0.47541,Occasional,0.7105378481524905,0.47540983606557374,204,0.0,0.01639344262295082,1
moby,0.827508,0.557377,Occasional,0.7795350860554209,0.45901639344262296,47,0.6717855627402319,0.2786885245901639,20
mybatis-3,0.547993,0.180328,Sparse,0.5215319835834986,0.16393442622950818,14,0.2672454385532547,0.04918032786885246,3
netty,0.641841,0.295082,Occasional,0.6227463220012817,0.2786885245901639,30,0.3915074910131681,0.09836065573770492,10
nixpkgs,0.829613,0.704918,Consistent,0.8192601422976038,0.6885245901639344,160,0.3915074910131681,0.08196721311475409,5
node,0.969046,1.0,Consistent,0.9790287536386921,1.0,770,0.819420469525775,0.7868852459016393,229
numpy,0.678329,0.377049,Occasional,0.6462076249601427,0.32786885245901637,50,0.3915074910131681,0.08196721311475409,5
odoo,0.613789,0.213115,Occasional,0.6137894365825559,0.21311475409836064,15,,0.0,0
ohmyzsh,0.770242,0.459016,Occasional,0.7598747433151173,0.4426229508196721,53,0.1686130986895011,0.03278688524590164,2
opencv,0.570179,0.196721,Sparse,0.5606154460018018,0.18032786885245902,14,0.3372261973790022,0.06557377049180328,4
openssl,0.783651,0.459016,Occasional,0.7748067836962476,0.4426229508196721,48,0.25661701206156723,0.04918032786885246,5
pandas,0.805104,0.491803,Occasional,0.772953421953933,0.4262295081967213,40,0.4358585372427558,0.09836065573770492,6
pdf.js,0.726091,0.360656,Occasional,0.7143073015244675,0.3442622950819672,27,0.1686130986895011,0.03278688524590164,2
protobuf,0.721779,0.360656,Occasional,0.6954037370404101,0.32786885245901637,33,0.25661701206156723,0.04918032786885246,5
qmk_firmware,0.760012,0.393443,Occasional,0.7600122078091428,0.39344262295081966,43,0.0,0.01639344262295082,1
rails,0.717454,0.377049,Occasional,0.7174539421003595,0.3770491803278688,52,,0.0,0
react,0.767743,0.47541,Occasional,0.7566717916133789,0.45901639344262296,63,0.3915074910131681,0.08196721311475409,5
react-native,0.905185,0.885246,Consistent,0.90376001850848,0.8852459016393442,220,0.2672454385532547,0.04918032786885246,3
react-router,0.895802,0.836066,Consistent,0.7673301865653424,0.4918032786885246,196,0.871042588369931,0.7704918032786885,571
redis,0.6868,0.459016,Occasional,0.6921699950258775,0.45901639344262296,66,0.42518164147521226,0.09836065573770492,7
reveal.js,0.593865,0.229508,Occasional,0.5903815370911248,0.22950819672131148,23,0.4926753502268687,0.13114754098360656,10
rust,0.975515,1.0,Consistent,0.9755147388948325,1.0,1772,,0.0,0
scrapy,0.710725,0.409836,Occasional,0.7107246215028619,0.4098360655737705,51,0.48243454219591647,0.18032786885245902,22
shadowsocks-android,0.459552,0.114754,Sparse,0.459551722133398,0.11475409836065574,9,0.0,0.01639344262295082,1
shadowsocks-windows,0.25292,0.04918,Sparse,0.25291964803425165,0.04918032786885246,4,0.0,0.01639344262295082,1
socket.io,0.832094,0.721311,Consistent,0.8321001529460046,0.7213114754098361,348,0.314907537574186,0.08196721311475409,11
spark,0.714899,0.377049,Occasional,0.6581149941748579,0.29508196721311475,24,0.4487176053835096,0.11475409836065574,13
spring-boot,0.730729,0.409836,Occasional,0.7307287652409399,0.4098360655737705,59,0.0,0.01639344262295082,4
spring-framework,0.70343,0.327869,Occasional,0.7034303892605933,0.32786885245901637,35,0.0,0.01639344262295082,2
symfony,0.922871,0.983607,Consistent,0.785893375062821,0.6229508196721312,96,0.8969156881378159,0.9508196721311475,108
terraform,0.918735,0.918033,Consistent,0.9187570575662436,0.9180327868852459,555,0.46965319440434844,0.14754098360655737,22
three.js,0.781526,0.47541,Occasional,0.768547042624304,0.4426229508196721,54,0.3643668441960851,0.09836065573770492,10
todomvc,0.154837,0.032787,Sparse,0.15483670609358735,0.03278688524590164,3,0.0,0.01639344262295082,1
youtube-dl,0.563159,0.278689,Occasional,0.5627217415908393,0.2786885245901639,103,0.1686130986895011,0.03278688524590164,2
zxing,0.595287,0.213115,Occasional,0.5952873742016478,0.21311475409836064,18,,0.0,0
