repo,entropy_all,awr_all,archetype_all,entropy_living,awr_living,n_living,entropy_static,awr_static,n_static
AdminLTE,0.406998,0.114754,Sparse,0.5989087604694024,0.2459016393442623,29,0.1686130986895011,0.03278688524590164,2
AspNetCore.Docs,0.696989,0.311475,Occasional,0.696989337819305,0.3114754098360656,25,0.0,0.01639344262295082,2
Chart.js,0.656522,0.278689,Occasional,0.6081767791890642,0.22950819672131148,22,0.2672454385532547,0.04918032786885246,3
DefinitelyTyped,0.844491,0.770492,Consistent,0.8444906552249595,0.7704918032786885,123,0.0,0.01639344262295082,1
FFmpeg,0.94458,0.967213,Consistent,0.9435422423618961,0.9672131147540983,409,0.1686130986895011,0.03278688524590164,2
FreeRDP,0.73078,0.409836,Occasional,0.7307802444542505,0.4098360655737705,53,,0.0,0
Ghost,0.797127,0.508197,Occasional,0.795734873601109,0.5081967213114754,52,0.3915074910131681,0.08196721311475409,5
HanLP,0.724253,0.42623,Occasional,0.7242534624510166,0.4262295081967213,44,,0.0,0
Marlin,0.76244,0.42623,Occasional,0.766589225908845,0.4262295081967213,40,0.0,0.01639344262295082,3
PHPMailer,0.803538,0.57377,Occasional,0.8035379139988229,0.5737704918032787,115,,0.0,0
Python,0.460954,0.229508,Sparse,0.46095404321606165,0.22950819672131148,42,,0.0,0
Rocket.Chat,0.870657,0.721311,Consistent,0.8709404992912355,0.7213114754098361,388,0.2672454385532547,0.04918032786885246,3
TypeScript,0.776136,0.442623,Occasional,0.775027259490933,0.4426229508196721,38,0.3372261973790022,0.06557377049180328,4
Vue-core,0.89306,0.885246,Consistent,0.8934466807628222,0.8852459016393442,319,0.1686130986895011,0.03278688524590164,2
WordPress,0.761861,0.409836,Occasional,0.7049432050759928,0.32786885245901637,26,0.4733568125293554,0.11475409836065574,7
airflow,0.951771,1.0,Consistent,0.9502626434464538,1.0,552,0.6398282806271903,0.2459016393442623,18
angular,0.989491,1.0,Consistent,0.9895235404042123,1.0,691,0.5344908771065096,0.14754098360655737,9
animate.css,0.49424,0.147541,Sparse,0.49206290347258974,0.14754098360655737,12,0.1686130986895011,0.03278688524590164,2
ansible,0.627512,0.229508,Occasional,0.6094300320796212,0.21311475409836064,18,0.0,0.01639344262295082,1
ant-design,0.972748,1.0,Consistent,0.9722234109858865,1.0,548,0.6906047295434626,0.29508196721311475,22
ardupilot,0.705141,0.327869,Occasional,0.7051409591642314,0.32786885245901637,28,0.0,0.01639344262295082,1
aspnetcore,0.714899,0.360656,Occasional,0.71489890178309,0.36065573770491804,37,0.10960229473178244,0.03278688524590164,6
axios,0.867356,0.770492,Consistent,0.8673562867563058,0.7704918032786885,226,0.1686130986895011,0.03278688524590164,2
azure-quickstart-templates,0.391507,0.081967,Sparse,0.3915074910131681,0.08196721311475409,5,,0.0,0
bitcoin,0.873494,0.672131,Consistent,0.8603448885717196,0.639344262295082,60,0.463686021396128,0.11475409836065574,8
bootstrap,0.863095,0.688525,Consistent,0.8630946823160978,0.6885245901639344,89,0.4733568125293554,0.11475409836065574,7
core,0.744437,0.377049,Occasional,0.7444371181707646,0.3770491803278688,30,0.15483670609358735,0.03278688524590164,3
