repo,since,until,total_commits_all,bot_commits_classified,unique_bot_contributor_ids,commits_counted_for_metrics,unique_contributors_for_metrics,gini,top3_share,top5_share,top10_share
metasploit-framework,2016-05-30,2026-05-29,33141,663,3,32478,1127,0.8590914016029305,0.1929921793213868,0.26895129010407043,0.3814890079438389
juice-shop,2016-05-30,2026-05-29,19859,159,6,19700,191,0.9649113668376432,0.8749238578680203,0.8981725888324873,0.9308629441624365
flask,2016-05-30,2026-05-29,1866,150,3,1716,509,0.6837164145612082,0.5326340326340326,0.5658508158508159,0.5984848484848485
terraform,2016-05-30,2026-05-29,20174,116,11,20058,1803,0.87542903173697,0.3533253564662479,0.4267623890716921,0.5494565759298036
FFmpeg,2016-05-30,2026-05-29,42686,9,1,42677,1287,0.926823611829587,0.3364341448555428,0.476743913583429,0.6187407737188649
aspnetcore,2016-05-30,2026-05-29,38766,5072,12,33694,1418,0.9270306147847007,0.2982430106250371,0.3705704279693714,0.5019291268475099
Marlin,2016-05-30,2026-05-29,15484,258,3,15226,1018,0.8949049771910678,0.5860370419020097,0.6331932221200578,0.7009063444108762
jekyll,2016-05-30,2026-05-29,4049,33,6,4016,605,0.829818741562675,0.5814243027888446,0.6982071713147411,0.7527390438247012
PHPMailer,2016-05-30,2026-05-29,1427,53,1,1374,212,0.8223682403669221,0.7270742358078602,0.7627365356622998,0.7983988355167394
go,2016-05-30,2026-05-29,37856,1,1,37855,2262,0.8968647642284342,0.1500198124422137,0.22992999603751155,0.3752212389380531
core,2016-05-30,2026-05-29,103939,682,12,103257,5238,0.9027602653954738,0.19853375558073544,0.28368052529126353,0.3834316317537794
bootstrap,2016-05-30,2026-05-29,8223,1128,4,7095,817,0.8637237422185189,0.4739957716701903,0.5749119097956307,0.7066948555320648
dotfiles,2016-05-30,2026-05-29,87,0,0,87,29,0.6246531906460562,0.6781609195402298,0.7241379310344828,0.7816091954022989
Chart.js,2016-05-30,2026-05-29,2657,40,2,2617,407,0.8192662040579504,0.5024837600305694,0.6064195643867023,0.7432174245319068
WordPress,2016-05-30,2026-05-29,18261,0,0,18261,90,0.771003778544439,0.4498658342916598,0.5421389847215377,0.668145227534089
react-native,2016-05-30,2026-05-29,34240,58,6,34182,3410,0.8514734907895996,0.09200748932186531,0.14016148850272073,0.2441050845474226
pdf.js,2016-05-30,2026-05-29,7896,96,3,7800,270,0.9529335232668565,0.8896153846153846,0.916025641025641,0.945
DefinitelyTyped,2016-05-30,2026-05-29,59983,1147,31,58836,18991,0.597601753375891,0.05112516146576926,0.07415527908083486,0.11197226188048134
Python,2016-05-30,2026-05-29,35458,75,4,35383,3673,0.8523400949043789,0.1651923239973999,0.20755730152898286,0.2914959161179097
grpc,2016-05-30,2026-05-29,30967,108,5,30859,1032,0.9192453811547445,0.27894617453579185,0.3745098674616805,0.5151171457273405
framework,2016-05-30,2026-05-29,23475,405,2,23070,3762,0.7781900173454481,0.24338968357173818,0.28521889900303427,0.3670567837017772
guava,2016-05-30,2026-05-29,3913,349,2,3564,394,0.8527676653734182,0.5252525252525253,0.6054994388327721,0.7051066217732884
flink,2016-05-30,2026-05-29,29039,13,1,29026,1786,0.870985228596457,0.17442982153930958,0.2333080686281265,0.3188520636670571
minimal-mistakes,2016-05-30,2026-05-29,1894,2,1,1892,260,0.8442836233533908,0.7457716701902748,0.7880549682875264,0.8155391120507399
redis,2016-05-30,2026-05-29,6394,13,2,6381,716,0.8411150333698418,0.41748942172073344,0.4776680771039022,0.5812568562921172
ardupilot,2016-05-30,2026-05-29,49677,12,4,49665,1057,0.9485783700652461,0.556669686902245,0.6331621866505588,0.7322057787174067
material-ui,2016-05-30,2026-05-29,23146,5254,6,17892,3031,0.8076218961925812,0.3520008942544154,0.4347753185781355,0.5306841046277666
mybatis-3,2016-05-30,2026-05-29,2562,681,3,1881,223,0.836006989889454,0.69377990430622,0.7272727272727273,0.7687400318979266
ionic-framework,2016-05-30,2026-05-29,9216,265,3,8951,482,0.9095789385362725,0.36532231035638474,0.4848620265892079,0.7124343648754329
imgui,2016-05-30,2026-05-29,7278,0,0,7278,514,0.920460146938217,0.8690574333608134,0.889667491068975,0.898461115691124
TypeScript,2016-05-30,2026-05-29,20014,1096,6,18918,832,0.9139348615888816,0.2927899355111534,0.3746696268104451,0.5302357543080664
scikit-learn,2016-05-30,2026-05-29,12768,477,3,12291,2847,0.7242562451352044,0.1684972744284436,0.22658856073549752,0.3395167195508909
rust,2016-05-30,2026-05-29,182715,1065,19,181650,7142,0.8865331955441589,0.09801816680429397,0.13442334159097166,0.21200110101844205
animate.css,2016-05-30,2026-05-29,296,125,2,171,64,0.5558296783625731,0.38011695906432746,0.47368421052631576,0.631578947368421
jquery,2016-05-30,2026-05-29,722,46,1,676,75,0.8457988165680472,0.7292899408284024,0.8328402366863905,0.8846153846153846
express,2016-05-30,2026-05-29,844,42,1,802,170,0.7553029191726566,0.5985037406483791,0.6496259351620948,0.7119700748129676
nvm,2016-05-30,2026-05-29,308,3,2,305,98,0.6621947139511544,0.6327868852459017,0.6524590163934426,0.6950819672131148
three.js,2016-05-30,2026-05-29,25475,380,5,25095,1805,0.8888274860240228,0.4462243474795776,0.5087467623032477,0.6104403267583184
angular,2016-05-30,2026-05-29,33022,651,5,32371,2341,0.897394080649575,0.1554786691792036,0.2423465447468413,0.40462142040715454
grafana,2016-05-30,2026-05-29,59268,3536,11,55732,2702,0.895256313616348,0.12082824947965262,0.17015359219120074,0.2457475059211943
netty,2016-05-30,2026-05-29,6768,441,4,6327,657,0.8672349350071051,0.6543385490753911,0.6867393709498972,0.7352615773668405
scrapy,2016-05-30,2026-05-29,4164,1,1,4163,516,0.8110611756950767,0.4343021859236128,0.5212587076627432,0.5923612779245736
numpy,2016-05-30,2026-05-29,18441,534,4,17907,1808,0.8444317580359884,0.17903613112190764,0.2759256156810186,0.4308371028089574
Ghost,2016-05-30,2026-05-29,40666,7619,7,33047,570,0.9434500782776682,0.30390050534087815,0.4394347444548673,0.6235059158168669
ansible,2016-05-30,2026-05-29,35670,10,8,35660,5438,0.807431574035933,0.13536174985978688,0.1880257992148065,0.2975322490185081
bitcoin,2016-05-30,2026-05-29,25637,1,1,25636,933,0.9057994209308753,0.2204712123576221,0.3019581838040256,0.4358714308004369
airflow,2016-05-30,2026-05-29,35254,504,9,34750,4199,0.8376381221291127,0.1978705035971223,0.24566906474820144,0.3449208633093525
FreeRDP,2016-05-30,2026-05-29,11309,0,0,11309,400,0.9332635511539482,0.7678839862056769,0.8101512070032717,0.8607303917234062
todomvc,2016-05-30,2026-05-29,174,0,0,174,67,0.5518956939440727,0.42528735632183906,0.5057471264367817,0.6206896551724138
nixpkgs,2016-05-30,2026-05-29,586478,127504,25,458974,13678,0.9021731263225632,0.1415069263182664,0.16707046586516883,0.21925860724136878
markdown-here,2016-05-30,2026-05-29,75,0,0,75,4,0.6966666666666668,0.9866666666666667,1.0,1.0
flutter,2016-05-30,2026-05-29,81764,1494,6,80270,2268,0.9375091429740323,0.4281300610439766,0.46861841285660893,0.5443254017690295
go-ethereum,2016-05-30,2026-05-29,8603,8,2,8595,1237,0.8117960706413601,0.3314717859220477,0.44130308318789996,0.533216986620128
opencv,2016-05-30,2026-05-29,10053,3,2,10050,1681,0.7827014836584478,0.2672636815920398,0.3264676616915423,0.4033830845771144
socket.io,2016-05-30,2026-05-29,1982,63,3,1919,288,0.8409345868797404,0.8108389786347056,0.8165711307972903,0.8275143303804064
shadowsocks-android,2016-05-30,2026-05-29,2436,0,0,2436,43,0.9048573719784625,0.9051724137931034,0.9560755336617406,0.9741379310344828
