repo,since,until,total_commits_all,bot_commits_classified,unique_bot_contributor_ids,commits_counted_for_metrics,unique_contributors_for_metrics,gini,top3_share,top5_share,top10_share
spring-framework,2016-05-30,2026-05-29,19488,11,4,19477,1133,0.9222378797795356,0.2800225907480618,0.40242337115572213,0.6121579298659958
erpnext,2016-05-30,2026-05-29,30455,759,9,29696,871,0.8848359897709726,0.2222858297413793,0.3050915948275862,0.42429956896551724
ohmyzsh,2016-05-30,2026-05-29,3645,141,5,3504,1719,0.49376728266673053,0.3256278538812785,0.3621575342465753,0.3832762557077626
kafka,2016-05-30,2026-05-29,15161,3,1,15158,1518,0.8146305555135447,0.1130096318775564,0.16057527378282097,0.2476580023749835
d3,2016-05-30,2026-05-29,787,0,0,787,40,0.9169313850063534,0.940279542566709,0.9479034307496823,0.9606099110546379
Rocket.Chat,2016-05-30,2026-05-29,19522,426,6,19096,929,0.8957793222437829,0.2687997486384583,0.34687892752408883,0.49418726434855464
azure-quickstart-templates,2016-05-30,2026-05-29,26071,102,11,25969,1513,0.7816447578442516,0.1707035311332743,0.20593784897377643,0.26654857714967845
moby,2016-05-30,2026-05-29,18787,99,2,18688,1331,0.8954741323857849,0.4436536815068493,0.4939533390410959,0.590378852739726
etcd,2016-05-30,2026-05-29,10171,280,2,9891,925,0.8553381042553017,0.36366393691234455,0.4368617935496916,0.5626326963906582
homebrew-cask,2016-05-30,2026-05-29,261669,1177,28,260492,9694,0.94275182911481,0.41624310919337254,0.49926677210816456,0.6069706555287686
html5-boilerplate,2016-05-30,2026-05-29,785,364,1,421,84,0.743552765524262,0.5534441805225653,0.6935866983372921,0.7814726840855107
youtube-dl,2016-05-30,2026-05-29,6497,1,1,6496,562,0.902325329137668,0.7821736453201971,0.8489839901477833,0.865301724137931
java-design-patterns,2016-05-30,2026-05-29,2755,580,6,2175,447,0.7276484352901849,0.42528735632183906,0.46022988505747126,0.5255172413793103
symfony,2016-05-30,2026-05-29,25198,3,3,25195,3179,0.8395008396601507,0.3275253026394126,0.393768604881921,0.49462194879936494
dubbo,2016-05-30,2026-05-29,6602,1072,1,5530,697,0.8101468188386809,0.3981916817359855,0.45732368896925857,0.5399638336347197
jenkins,2016-05-30,2026-05-29,11888,3424,8,8464,629,0.8673420167637893,0.2818998109640832,0.3955576559546314,0.5496219281663516
node,2016-05-30,2026-05-29,32895,1366,11,31529,3653,0.8472880376394838,0.17948555298296806,0.25306860350788163,0.38827745884741033
kubernetes,2016-05-30,2026-05-29,64348,13,4,64335,4657,0.8200116288580255,0.062345535089764516,0.0953446801896324,0.1508665578611953
qmk_firmware,2016-05-30,2026-05-29,20366,266,4,20100,3403,0.7644640447483417,0.20402985074626867,0.275273631840796,0.36154228855721393
darknet,2016-05-30,2026-05-29,174,0,0,174,12,0.8160919540229885,0.9252873563218391,0.9597701149425287,0.9885057471264368
HanLP,2016-05-30,2026-05-29,1247,0,0,1247,40,0.9349438652766642,0.9494787489975942,0.958299919807538,0.9703287890938251
electron,2016-05-30,2026-05-29,18046,3048,33,14998,1181,0.8887201330485048,0.3005067342312308,0.39505267368982533,0.5740098679823976
openssl,2016-05-30,2026-05-29,23025,40,2,22985,1285,0.9056986412217747,0.33852512508157495,0.42492930171851206,0.5839895584076572
vscode,2016-05-30,2026-05-29,135802,934,30,134868,2876,0.9588460584321195,0.20507459145238308,0.31024409051813623,0.49475783729276035
echarts,2016-05-30,2026-05-29,5663,35,2,5628,321,0.9144586369443395,0.7025586353944563,0.8120113717128643,0.8631840796019901
reveal.js,2016-05-30,2026-05-29,1276,0,0,1276,161,0.8495687221324404,0.7844827586206896,0.8009404388714734,0.829153605015674
AspNetCore.Docs,2016-05-30,2026-05-29,15811,90,6,15721,1998,0.851821257043571,0.44647287068252656,0.5329813625087463,0.6420711150690159
django,2016-05-30,2026-05-29,11981,4,2,11977,2217,0.7779430195651271,0.2792018034566252,0.34299073223678717,0.4648910411622276
shadowsocks-windows,2016-05-30,2026-05-29,630,0,0,630,55,0.8101010101010102,0.5761904761904761,0.8095238095238095,0.8825396825396825
react,2016-05-30,2026-05-29,14376,100,4,14276,1311,0.883218681762332,0.26288876435976466,0.39618940879798265,0.563953488372093
axios,2016-05-30,2026-05-29,1500,165,2,1335,577,0.553323077522248,0.3962546816479401,0.4247191011235955,0.47116104868913855
elasticsearch,2016-05-30,2026-05-29,72374,87,5,72287,1816,0.9114450953550364,0.12935935922088343,0.18841562106602847,0.2901074882067315
protobuf,2016-05-30,2026-05-29,16526,5128,5,11398,1269,0.8493551811379128,0.2691700298297947,0.34997367959291104,0.4998245306194069
zxing,2016-05-30,2026-05-29,654,108,1,546,89,0.8041321973906244,0.7197802197802198,0.7765567765567766,0.8186813186813187
godot,2016-05-30,2026-05-29,42598,5,3,42593,3588,0.8614777994751128,0.16667057967271617,0.24936022351090556,0.35001056511633366
spark,2016-05-30,2026-05-29,31924,0,0,31924,2319,0.8569161320447403,0.14741260493672473,0.21745395313870441,0.31653301591279287
laravel,2016-05-30,2026-05-29,1811,2,1,1809,485,0.6948966507667846,0.39911553344389167,0.4792703150912106,0.5688225538971807
gitignore,2016-05-30,2026-05-29,1225,28,6,1197,832,0.2664323067283594,0.05513784461152882,0.07017543859649122,0.09690893901420217
pandas,2016-05-30,2026-05-29,24259,146,7,24113,3507,0.8227939142775997,0.31534856716294113,0.37859246049848627,0.49815452245676606
AdminLTE,2016-05-30,2026-05-29,1963,543,2,1420,61,0.901593165550681,0.8070422535211268,0.9014084507042254,0.952112676056338
react-router,2016-05-30,2026-05-29,7492,921,10,6571,956,0.8396506075573602,0.39948257495054024,0.516511946431289,0.6988281844468117
ant-design,2016-05-30,2026-05-29,23769,929,16,22840,2592,0.8601897796804392,0.4315674255691769,0.49584063047285465,0.5935201401050788
rails,2016-05-30,2026-05-29,23874,146,42,23728,3272,0.8172314192057666,0.16503708698583952,0.2249662845583277,0.3317599460552933
spring-boot,2016-05-30,2026-05-29,34307,102,2,34205,1341,0.9482796678926606,0.36029820201724894,0.5612045022657506,0.7932466013740681
