scope,predictor,outcome,n,p_size,p_vol,p_hc3,p_outlier,rho,checks_passed,note
doc-specific newcomer retention (construct-matched),entropy_norm,doc_newcomer_retention_rate,93,0.4012,0.8142,0.4719,0.0877,0.106,0/4,
doc-specific newcomer retention (construct-matched),active_window_rate,doc_newcomer_retention_rate,93,0.1624,0.1718,0.1823,0.0817,0.104,0/4,
doc-specific newcomer retention (construct-matched),participation_rate,doc_newcomer_retention_rate,93,0.1137,0.0358,0.3981,0.0119,-0.095,2/4,
doc-specific newcomer retention (construct-matched),log_bus50,doc_newcomer_retention_rate,93,0.0008,0.0006,0.0,0.0,-0.427,4/4,
"doc-specific newcomer retention, n>=10 newcomers [VALIDATED]",log_bus50,doc_newcomer_retention_rate,75,0.0002,0.0001,0.0,0.0,-0.444,4/4,
"doc contributor loss, contemporaneous",entropy_norm,doc_contributor_loss_rate_all,90,0.0078,0.0008,0.0094,0.0133,-0.234,4/4,CIRCULAR (contemporaneous full-window rhythm partly caused by same departure event) -- see H1-only version
"doc contributor loss, contemporaneous",active_window_rate,doc_contributor_loss_rate_all,90,0.0778,0.0299,0.0588,0.0388,-0.216,2/4,CIRCULAR (contemporaneous full-window rhythm partly caused by same departure event) -- see H1-only version
"doc contributor loss, contemporaneous",participation_rate,doc_contributor_loss_rate_all,90,0.0573,0.013,0.0424,0.0754,0.132,2/4,
"doc contributor loss, contemporaneous",log_bus50,doc_contributor_loss_rate_all,90,0.0062,0.0057,0.0,0.0007,0.336,4/4,
"doc contributor loss, contemporaneous",entropy_norm,doc_contributor_loss_rate_top,69,0.0,0.0001,0.0,0.0001,-0.447,4/4,CIRCULAR (contemporaneous full-window rhythm partly caused by same departure event) -- see H1-only version
"doc contributor loss, contemporaneous",active_window_rate,doc_contributor_loss_rate_top,69,0.0004,0.0008,0.0,0.0007,-0.456,4/4,CIRCULAR (contemporaneous full-window rhythm partly caused by same departure event) -- see H1-only version
"doc contributor loss, contemporaneous",participation_rate,doc_contributor_loss_rate_top,69,0.0453,0.0003,0.181,0.195,-0.013,2/4,
"doc contributor loss, contemporaneous",log_bus50,doc_contributor_loss_rate_top,69,0.0004,0.0003,0.0,0.0014,0.424,4/4,
"doc contributor loss, LAGGED (h1->h2, properly time-ordered)",h1_entropy,doc_contributor_loss_rate_all,90,0.7775,0.3753,0.7932,0.7409,-0.009,0/4,
"doc contributor loss, LAGGED (h1->h2, properly time-ordered)",h1_awr,doc_contributor_loss_rate_all,90,0.9852,0.5931,0.9848,0.7925,0.032,0/4,
"doc contributor loss, LAGGED (h1->h2, properly time-ordered)",h1_entropy,doc_contributor_loss_rate_top,69,0.0207,0.1043,0.0118,0.0186,-0.273,3/4,
"doc contributor loss, LAGGED (h1->h2, properly time-ordered)",h1_awr,doc_contributor_loss_rate_top,69,0.0295,0.1293,0.0215,0.0279,-0.265,3/4,
"doc contributor loss, LAGGED bus50 [VALIDATED]",log_h1_bus50,doc_contributor_loss_rate_all,90,0.0005,0.0006,0.0,0.0001,0.39,4/4,
"doc contributor loss, LAGGED bus50 [VALIDATED]",log_h1_bus50,doc_contributor_loss_rate_top,69,0.0008,0.0009,0.0,0.0006,0.375,4/4,
"doc dormancy gap, contemporaneous",entropy_norm,longest_dormancy_gap_months,100,0.0,0.0,0.0,0.0,-0.842,4/4,CIRCULAR (same monthly-commit-vector determines both predictor and outcome)
"doc dormancy gap, contemporaneous",active_window_rate,longest_dormancy_gap_months,100,0.0,0.0004,0.0,0.0,-0.847,4/4,CIRCULAR (same monthly-commit-vector determines both predictor and outcome)
"doc dormancy gap, contemporaneous",participation_rate,longest_dormancy_gap_months,100,0.292,0.0003,0.5363,0.4923,-0.463,1/4,
"doc dormancy gap, contemporaneous",log_bus50,longest_dormancy_gap_months,100,0.5965,0.3041,0.4357,0.3392,0.085,0/4,
"doc activity, LAGGED (h1->h2 decline, properly time-ordered)",h1_entropy,h2_decline_ratio,99,0.0238,0.0,0.0505,0.1474,-0.157,2/4,
"doc activity, LAGGED (h1->h2 decline, properly time-ordered)",h1_awr,h2_decline_ratio,100,0.1513,0.0001,0.1313,0.1395,-0.212,1/4,
"repo-wide dormancy gap, contemporaneous",entropy_norm,overall_longest_gap_months,100,0.0,0.0,0.0014,0.0001,-0.188,4/4,"SIZE-THRESHOLD ARTIFACT (disappears when restricted to >=20 contributors, p=0.99)"
repo-wide recency (days since last commit),entropy_norm,log_days_since_last,100,0.0278,0.1074,0.1255,0.4984,-0.193,1/4,
"repo-wide dormancy gap, contemporaneous",active_window_rate,overall_longest_gap_months,100,0.213,0.511,0.0761,0.2525,-0.149,0/4,
repo-wide recency (days since last commit),active_window_rate,log_days_since_last,100,0.3382,0.3796,0.144,0.5703,-0.207,0/4,
"repo-wide dormancy gap, contemporaneous",participation_rate,overall_longest_gap_months,100,0.0007,0.0,0.1977,0.0007,0.156,3/4,
repo-wide recency (days since last commit),participation_rate,log_days_since_last,100,0.6155,0.261,0.8124,0.6225,0.019,0/4,
"repo-wide dormancy gap, contemporaneous",log_bus50,overall_longest_gap_months,100,0.2117,0.184,0.0419,0.2244,0.04,1/4,
repo-wide recency (days since last commit),log_bus50,log_days_since_last,100,0.4934,0.4236,0.2472,0.6026,-0.021,0/4,
LAGGED: doc h1 rhythm -> repo-wide h2 decline,doc_h1_entropy,overall_h2_decline_ratio,99,0.0,0.0,0.0826,0.1389,-0.175,2/4,
LAGGED: doc h1 rhythm -> repo-wide h2 decline,doc_h1_awr,overall_h2_decline_ratio,100,0.3329,0.0091,0.3084,0.0773,-0.198,1/4,
"category=onboarding_process, staleness",entropy_norm,log_staleness,100,0.1064,0.2065,0.2598,0.004,-0.273,1/4,
"category=onboarding_process, staleness",awr,log_staleness,100,0.0022,0.1608,0.0024,0.0013,-0.268,3/4,
"category=onboarding_process, staleness",participation_rate,log_staleness,100,0.0046,0.0317,0.1046,0.1312,-0.229,2/4,
"category=onboarding_process, contributor loss",entropy_norm,doc_contributor_loss_rate_top,69,0.5397,0.5325,0.7847,0.0072,-0.25,1/4,
"category=onboarding_process, contributor loss",awr,doc_contributor_loss_rate_top,69,0.1917,0.006,0.2544,0.0216,-0.216,2/4,
"category=onboarding_process, contributor loss",participation_rate,doc_contributor_loss_rate_top,69,0.0446,0.0117,0.0163,0.0786,-0.003,3/4,
"category=governance_policy, staleness",entropy_norm,log_staleness,70,0.0014,0.671,0.0002,0.0,-0.372,3/4,
"category=governance_policy, staleness",awr,log_staleness,71,0.0023,0.8232,0.0,0.0089,-0.385,3/4,
"category=governance_policy, staleness",participation_rate,log_staleness,100,0.9911,0.5561,0.9903,0.4055,-0.069,0/4,
"category=governance_policy, contributor loss",entropy_norm,doc_contributor_loss_rate_top,57,0.3916,0.5398,0.4315,0.4034,-0.05,0/4,
"category=governance_policy, contributor loss",awr,doc_contributor_loss_rate_top,57,0.0847,0.0313,0.0577,0.1959,-0.071,1/4,
"category=governance_policy, contributor loss",participation_rate,doc_contributor_loss_rate_top,69,0.591,0.7547,0.7419,0.7309,-0.129,0/4,
"category=change_tracking, staleness",entropy_norm,log_staleness,40,0.0197,0.1204,0.0096,0.0289,-0.432,3/4,
"category=change_tracking, staleness",awr,log_staleness,40,0.0259,0.263,0.0311,0.0693,-0.424,2/4,
"category=change_tracking, staleness",participation_rate,log_staleness,100,0.8677,0.2694,0.8993,0.4501,-0.136,0/4,
"category=change_tracking, contributor loss",entropy_norm,doc_contributor_loss_rate_top,31,0.3056,0.3833,0.3284,0.0323,-0.345,1/4,
"category=change_tracking, contributor loss",awr,doc_contributor_loss_rate_top,31,0.0721,0.002,0.0571,0.0065,-0.312,2/4,
"category=change_tracking, contributor loss",participation_rate,doc_contributor_loss_rate_top,69,0.0972,0.7747,0.088,0.0364,-0.247,1/4,
"category=legal_attribution, staleness",entropy_norm,log_staleness,82,0.0095,0.0289,0.012,0.0024,-0.322,4/4,SPARSE-DATA ARTIFACT: dissolves when restricted to repos with >=10 legal-doc commits (p=0.03 -> p=0.64); median repo has only 4 legal-doc commits total
"category=legal_attribution, staleness",awr,log_staleness,82,0.248,0.404,0.4225,0.0044,-0.294,1/4,
"category=legal_attribution, staleness",participation_rate,log_staleness,100,0.2484,0.2381,0.078,0.3054,0.038,0/4,
"category=legal_attribution, contributor loss",entropy_norm,doc_contributor_loss_rate_top,60,0.4228,0.8609,0.4295,0.1443,0.087,0/4,
"category=legal_attribution, contributor loss",awr,doc_contributor_loss_rate_top,60,0.1986,0.3745,0.1721,0.3965,0.071,0/4,
"category=legal_attribution, contributor loss",participation_rate,doc_contributor_loss_rate_top,69,0.1135,0.1085,0.7997,0.0535,0.155,0/4,
excess ownership concentration (RQ3),entropy_norm,excess_top3,100,0.0233,,0.0441,0.3956,-0.092,2/3,FRAGILE (p=0.023 plain OLS -> p=0.396 after dropping 3 outliers)
excess ownership concentration (RQ3),active_window_rate,excess_top3,100,0.4859,,0.5263,0.7055,-0.047,0/3,
"onboarding_process, newcomer count",onb_entropy,log_newcomers,98,0.0,0.7789,0.0,0.0,0.74,3/4,
"onboarding_process, newcomer count",onb_awr,log_newcomers,98,0.0,0.3933,0.0,0.0,0.791,3/4,
"onboarding_process, newcomer count",onb_participation_rate,log_newcomers,98,0.0008,0.0925,0.017,0.0,0.755,3/4,
"onboarding_process, newcomer count",log_onb_bus50,log_newcomers,98,0.0,0.0,0.0,0.0,0.605,4/4,"MECHANICAL ARTIFACT: coef drops to exactly 0.0000 (p=0.41) once controlling for total onboarding-contributor count directly -- newcomers ARE most of that pool, not an independent effect"
general repo retention (any commit type),entropy_norm,retention_rate,99,0.3534,0.5813,0.3982,0.5875,-0.03,0/4,
general repo retention (any commit type),active_window_rate,retention_rate,99,0.4172,0.7449,0.2795,0.663,-0.029,0/4,
general repo retention (any commit type),participation_rate,retention_rate,99,0.3905,0.2378,0.7386,0.6775,0.042,0/4,
general repo retention (any commit type),log_bus50,retention_rate,99,0.8355,0.8765,0.7883,0.9573,-0.041,0/4,
general repo newcomer count/arrival,entropy_norm,log_newcomers,99,0.6351,0.004,0.7506,0.2283,-0.069,1/4,
general repo newcomer count/arrival,active_window_rate,log_newcomers,99,0.9065,0.0056,0.8985,0.252,-0.038,1/4,
general repo newcomer count/arrival,participation_rate,log_newcomers,99,0.3141,0.6024,0.1371,0.2071,0.132,0/4,
general repo newcomer count/arrival,log_bus50,log_newcomers,99,0.8866,0.8009,0.8277,0.7971,0.031,0/4,
