repo,h1_contributors,h2_contributors,contributor_growth_h2,entropy_norm,active_window_rate,unique_contributors_for_metrics,log_h1_contributors
flink,711,443,-0.3769338959212377,0.7653196402426686,0.4098360655737705,882,6.568077911411976
flutter,886,784,-0.11512415349887133,0.9204395012412848,0.8688524590163934,978,6.787844982309579
framework,1161,1043,-0.10163652024117141,0.903460751929737,0.819672131147541,1317,7.057897937411856
gitignore,155,143,-0.07741935483870968,0.4251816414752122,0.0983606557377049,213,5.049856007249537
go,683,597,-0.1259150805270864,0.7105393331015678,0.3770491803278688,1079,6.52795791762255
go-ethereum,320,391,0.221875,0.8289409144156485,0.5409836065573771,416,5.771441123130016
godot,983,1460,0.4852492370295015,0.8742944353630595,0.7213114754098361,1796,6.891625897052253
grafana,879,858,-0.023890784982935155,0.9089114652785945,0.9016393442622952,980,6.779921907472252
grpc,302,262,-0.13245033112582782,0.8398444888862241,0.6885245901639344,387,5.713732805509369
guava,77,55,-0.2857142857142857,0.7621185979271853,0.4426229508196721,114,4.356708826689592
homebrew-cask,3119,2353,-0.24559153574863737,0.7117241539072521,0.360655737704918,3456,8.045588280803528
html5-boilerplate,21,14,-0.3333333333333333,0.7409283209082461,0.3934426229508196,18,3.091042453358316
imgui,144,188,0.3055555555555556,0.5363301063864917,0.1639344262295081,230,4.976733742420574
ionic-framework,82,68,-0.17073170731707318,0.9131888088310316,0.8852459016393442,97,4.418840607796598
java-design-patterns,148,141,-0.0472972972972973,0.6872714835628879,0.3442622950819672,122,5.003946305945459
jekyll,124,66,-0.46774193548387094,0.889046367043461,0.8852459016393442,126,4.8283137373023015
jenkins,178,137,-0.2303370786516854,0.8082319631819973,0.5245901639344263,173,5.187385805840755
jquery,17,10,-0.4117647058823529,0.6838982637738295,0.3114754098360656,20,2.8903717578961645
juice-shop,47,55,0.1702127659574468,0.8902799552794232,0.819672131147541,58,3.871201010907891
kafka,437,477,0.09153318077803203,0.7821890710999863,0.4918032786885246,561,6.082218910376446
kubernetes,1449,1040,-0.28226363008971705,0.6703075505865258,0.2786885245901639,2019,7.27931883541462
laravel,132,85,-0.3560606060606061,0.950281470791576,0.9672131147540984,142,4.890349128221754
markdown-here,1,2,1.0,0.3106478820952459,0.0655737704918032,2,0.6931471805599453
material-ui,925,488,-0.47243243243243244,0.9779650964968668,1.0,790,6.8308742346461795
metasploit-framework,300,227,-0.24333333333333335,0.668810014030381,0.4098360655737705,318,5.707110264748875
minimal-mistakes,52,38,-0.2692307692307692,0.7105378481524905,0.4754098360655737,55,3.970291913552122
moby,178,157,-0.11797752808988764,0.8275082829345493,0.5573770491803278,303,5.187385805840755
mybatis-3,62,48,-0.22580645161290322,0.5479925707408786,0.180327868852459,88,4.143134726391533
netty,187,137,-0.26737967914438504,0.6418406051147727,0.2950819672131147,220,5.236441962829949
nixpkgs,4201,7137,0.6988812187574387,0.8296127940201382,0.7049180327868853,8008,8.343315881404946
node,699,709,0.01430615164520744,0.962780697231144,1.0,991,6.551080335043404
numpy,635,494,-0.2220472440944882,0.6783294223103542,0.3770491803278688,773,6.455198563340122
odoo,805,1191,0.4795031055900621,0.6137894365825559,0.2131147540983606,1496,6.692083742506628
ohmyzsh,434,418,-0.03686635944700461,0.7702421959925077,0.4590163934426229,597,6.075346031088684
opencv,435,392,-0.09885057471264368,0.5701787646017642,0.1967213114754098,578,6.077642243349034
openssl,353,474,0.34277620396600567,0.7836509650303464,0.4590163934426229,689,5.869296913133774
pandas,971,800,-0.17610710607621008,0.8051040409332259,0.4918032786885246,834,6.879355804460439
pdf.js,68,56,-0.17647058823529413,0.7260913124448205,0.360655737704918,98,4.23410650459726
protobuf,374,323,-0.13636363636363635,0.6870475799638535,0.3114754098360656,551,5.926926025970411
qmk_firmware,1505,682,-0.546843853820598,0.7600122078091428,0.3934426229508196,1109,7.317212408359839
rails,995,927,-0.06834170854271357,0.7079516285291358,0.360655737704918,1480,6.903747257584598
react,264,208,-0.21212121212121213,0.7677425728022537,0.4754098360655737,323,5.579729825986222
react-native,713,794,0.11360448807854137,0.9024702583231397,0.8852459016393442,1233,6.570882962339584
react-router,265,308,0.16226415094339622,0.894745948419439,0.8360655737704918,380,5.583496308781699
redis,324,187,-0.4228395061728395,0.6867997988061347,0.4590163934426229,335,5.783825182329737
reveal.js,33,28,-0.15151515151515152,0.593864642523777,0.2295081967213114,50,3.5263605246161616
rust,2514,2468,-0.018297533810660304,0.9753631056026502,1.0,3638,7.83002808253384
scrapy,161,111,-0.3105590062111801,0.7107246215028619,0.4098360655737705,165,5.087596335232384
shadowsocks-android,7,8,0.14285714285714285,0.459551722133398,0.1147540983606557,8,2.0794415416798357
shadowsocks-windows,9,1,-0.8888888888888888,0.2529196480342516,0.0491803278688524,10,2.302585092994046
socket.io,93,48,-0.4838709677419355,0.832709763456306,0.7213114754098361,104,4.543294782270004
spark,662,603,-0.0891238670694864,0.7148989017830899,0.3770491803278688,1033,6.4967749901858625
spring-boot,367,332,-0.09536784741144415,0.7307287652409399,0.4098360655737705,575,5.908082938168931
spring-framework,314,360,0.1464968152866242,0.7034303892605933,0.3278688524590163,556,5.752572638825633
symfony,1072,922,-0.13992537313432835,0.9228714908654256,0.9836065573770492,1599,6.9782137426306985
terraform,351,262,-0.2535612535612536,0.9190458265163766,0.918032786885246,377,5.863631175598097
three.js,513,406,-0.20857699805068225,0.7815263323291296,0.4754098360655737,599,6.2422232654551655
todomvc,3,6,1.0,0.1548367060935873,0.0327868852459016,8,1.3862943611198906
vscode,798,643,-0.19423558897243107,0.7114677386865149,0.3442622950819672,1325,6.683360945766275
youtube-dl,118,33,-0.7203389830508474,0.5631586708702783,0.2786885245901639,100,4.77912349311153
zxing,19,18,-0.05263157894736842,0.5952873742016478,0.2131147540983606,25,2.995732273553991
