repo,h1_contributors,h2_contributors,contributor_growth_h2,entropy_norm,active_window_rate,unique_contributors_for_metrics,log_h1_contributors
AdminLTE,18,12,-0.3333333333333333,0.6144959087119523,0.2622950819672131,21,2.9444389791664403
AspNetCore.Docs,536,356,-0.3358208955223881,0.696989337819305,0.3114754098360656,521,6.285998094508865
Chart.js,133,64,-0.518796992481203,0.656522194133825,0.2786885245901639,119,4.897839799950911
DefinitelyTyped,5481,2732,-0.5015508118956394,0.8444906552249595,0.7704918032786885,5230,8.60922527686273
FFmpeg,372,326,-0.12365591397849462,0.9445804520678962,0.9672131147540984,601,5.921578419643816
FreeRDP,118,119,0.00847457627118644,0.7307802444542505,0.4098360655737705,179,4.77912349311153
Ghost,152,260,0.7105263157894737,0.7971271222100823,0.5081967213114754,235,5.030437921392435
HanLP,7,5,-0.2857142857142857,0.7242534624510166,0.4262295081967213,9,2.0794415416798357
Marlin,430,190,-0.5581395348837209,0.7624395199919911,0.4262295081967213,311,6.066108090103747
PHPMailer,61,34,-0.4426229508196721,0.8035379139988229,0.5737704918032787,65,4.127134385045092
Python,1123,1383,0.2315227070347284,0.4609540432160616,0.2295081967213114,171,7.024649030453636
Rocket.Chat,211,159,-0.24644549763033174,0.8706569291712621,0.7213114754098361,169,5.356586274672012
TypeScript,256,165,-0.35546875,0.7761355199764771,0.4426229508196721,260,5.54907608489522
Vue-core,271,227,-0.16236162361623616,0.8910823611578284,0.8688524590163934,308,5.605802066295998
WordPress,43,55,0.27906976744186046,0.7618609389563106,0.4098360655737705,61,3.784189633918261
airflow,1317,1284,-0.025056947608200455,0.9517714861438265,1.0,1389,7.183870715062453
angular,663,635,-0.042232277526395176,0.9888412870279784,1.0,1023,6.498282149476434
animate.css,21,2,-0.9047619047619048,0.4942402237821651,0.1475409836065573,17,3.091042453358316
ansible,571,295,-0.48336252189141854,0.6275124848977414,0.2295081967213114,498,6.349138991379798
ant-design,757,621,-0.17965653896961692,0.9726613965447332,1.0,824,6.630683385642372
ardupilot,268,402,0.5,0.7051409591642314,0.3278688524590163,492,5.594711379601839
aspnetcore,437,351,-0.19679633867276888,0.71489890178309,0.360655737704918,454,6.082218910376446
axios,180,86,-0.5222222222222223,0.8074911673397316,0.7049180327868853,172,5.198497031265826
azure-quickstart-templates,382,216,-0.43455497382198954,0.3372261973790022,0.0655737704918032,351,5.948034989180646
bitcoin,304,204,-0.32894736842105265,0.8734936734862313,0.6721311475409836,377,5.720311776607412
bootstrap,277,106,-0.6173285198555957,0.8630245209581516,0.6885245901639344,257,5.627621113690637
core,1640,1688,0.02926829268292683,0.7444371181707646,0.3770491803278688,1826,7.403061091090091
d3,5,18,2.6,0.5461211772250886,0.1639344262295081,10,1.791759469228055
darknet,2,0,-1.0,0.4748013448513826,0.1475409836065573,1,1.0986122886681098
django,597,538,-0.09882747068676717,0.9231480685272992,0.8524590163934426,870,6.393590753950631
dotfiles,1,1,0.0,0.2566170120615672,0.0491803278688524,13,0.6931471805599453
dubbo,183,195,0.06557377049180328,0.7755033372766229,0.4754098360655737,208,5.214935757608986
echarts,116,81,-0.3017241379310345,0.6202330303063626,0.2622950819672131,154,4.762173934797756
elasticsearch,481,521,0.08316008316008316,0.8915496583597049,0.7213114754098361,595,6.1779441140506
electron,304,183,-0.3980263157894737,0.8304395001888613,0.5409836065573771,307,5.720311776607412
erpnext,228,298,0.30701754385964913,0.589591190282785,0.2786885245901639,280,5.43372200355424
etcd,277,237,-0.1444043321299639,0.8652303382562401,0.6885245901639344,444,5.627621113690637
flask,132,52,-0.6060606060606061,0.6243438750292691,0.2459016393442623,138,4.890349128221754
