repo,category,n_commits,entropy_norm,active_window_rate
openssl,living,48,0.7748067836962476,0.4426229508196721
openssl,static,5,0.25661701206156723,0.04918032786885246
pandas,living,40,0.772953421953933,0.4262295081967213
pandas,static,6,0.4358585372427558,0.09836065573770492
pdf.js,living,27,0.7143073015244675,0.3442622950819672
pdf.js,static,2,0.1686130986895011,0.03278688524590164
protobuf,living,33,0.6954037370404101,0.32786885245901637
protobuf,static,5,0.25661701206156723,0.04918032786885246
qmk_firmware,living,43,0.7600122078091428,0.39344262295081966
qmk_firmware,static,1,0.0,0.01639344262295082
rails,living,52,0.7174539421003595,0.3770491803278688
rails,static,0,,0.0
react,living,63,0.7566717916133789,0.45901639344262296
react,static,5,0.3915074910131681,0.08196721311475409
react-native,living,220,0.90376001850848,0.8852459016393442
react-native,static,3,0.2672454385532547,0.04918032786885246
react-router,living,196,0.7673301865653424,0.4918032786885246
react-router,static,571,0.871042588369931,0.7704918032786885
redis,living,66,0.6921699950258775,0.45901639344262296
redis,static,7,0.42518164147521226,0.09836065573770492
reveal.js,living,23,0.5903815370911248,0.22950819672131148
reveal.js,static,10,0.4926753502268687,0.13114754098360656
rust,living,1772,0.9755147388948325,1.0
rust,static,0,,0.0
scrapy,living,51,0.7107246215028619,0.4098360655737705
scrapy,static,22,0.48243454219591647,0.18032786885245902
shadowsocks-android,living,9,0.459551722133398,0.11475409836065574
shadowsocks-android,static,1,0.0,0.01639344262295082
shadowsocks-windows,living,4,0.25291964803425165,0.04918032786885246
shadowsocks-windows,static,1,0.0,0.01639344262295082
socket.io,living,348,0.8321001529460046,0.7213114754098361
socket.io,static,11,0.314907537574186,0.08196721311475409
spark,living,24,0.6581149941748579,0.29508196721311475
spark,static,13,0.4487176053835096,0.11475409836065574
spring-boot,living,59,0.7307287652409399,0.4098360655737705
spring-boot,static,4,0.0,0.01639344262295082
spring-framework,living,35,0.7034303892605933,0.32786885245901637
spring-framework,static,2,0.0,0.01639344262295082
symfony,living,96,0.785893375062821,0.6229508196721312
symfony,static,108,0.8969156881378159,0.9508196721311475
terraform,living,555,0.9187570575662436,0.9180327868852459
terraform,static,22,0.46965319440434844,0.14754098360655737
three.js,living,54,0.768547042624304,0.4426229508196721
three.js,static,10,0.3643668441960851,0.09836065573770492
todomvc,living,3,0.15483670609358735,0.03278688524590164
todomvc,static,1,0.0,0.01639344262295082
youtube-dl,living,103,0.5627217415908393,0.2786885245901639
youtube-dl,static,2,0.1686130986895011,0.03278688524590164
zxing,living,18,0.5952873742016478,0.21311475409836064
zxing,static,0,,0.0
