repo,category,n_commits,entropy_norm,active_window_rate
AdminLTE,living,29,0.5989087604694024,0.2459016393442623
AdminLTE,static,2,0.1686130986895011,0.03278688524590164
AspNetCore.Docs,living,25,0.696989337819305,0.3114754098360656
AspNetCore.Docs,static,2,0.0,0.01639344262295082
Chart.js,living,22,0.6081767791890642,0.22950819672131148
Chart.js,static,3,0.2672454385532547,0.04918032786885246
DefinitelyTyped,living,123,0.8444906552249595,0.7704918032786885
DefinitelyTyped,static,1,0.0,0.01639344262295082
FFmpeg,living,409,0.9435422423618961,0.9672131147540983
FFmpeg,static,2,0.1686130986895011,0.03278688524590164
FreeRDP,living,53,0.7307802444542505,0.4098360655737705
FreeRDP,static,0,,0.0
Ghost,living,52,0.795734873601109,0.5081967213114754
Ghost,static,5,0.3915074910131681,0.08196721311475409
HanLP,living,44,0.7242534624510166,0.4262295081967213
HanLP,static,0,,0.0
Marlin,living,40,0.766589225908845,0.4262295081967213
Marlin,static,3,0.0,0.01639344262295082
PHPMailer,living,115,0.8035379139988229,0.5737704918032787
PHPMailer,static,0,,0.0
Python,living,42,0.46095404321606165,0.22950819672131148
Python,static,0,,0.0
Rocket.Chat,living,388,0.8709404992912355,0.7213114754098361
Rocket.Chat,static,3,0.2672454385532547,0.04918032786885246
TypeScript,living,38,0.775027259490933,0.4426229508196721
TypeScript,static,4,0.3372261973790022,0.06557377049180328
Vue-core,living,319,0.8934466807628222,0.8852459016393442
Vue-core,static,2,0.1686130986895011,0.03278688524590164
WordPress,living,26,0.7049432050759928,0.32786885245901637
WordPress,static,7,0.4733568125293554,0.11475409836065574
airflow,living,552,0.9502626434464538,1.0
airflow,static,18,0.6398282806271903,0.2459016393442623
angular,living,691,0.9895235404042123,1.0
angular,static,9,0.5344908771065096,0.14754098360655737
animate.css,living,12,0.49206290347258974,0.14754098360655737
animate.css,static,2,0.1686130986895011,0.03278688524590164
ansible,living,18,0.6094300320796212,0.21311475409836064
ansible,static,1,0.0,0.01639344262295082
ant-design,living,548,0.9722234109858865,1.0
ant-design,static,22,0.6906047295434626,0.29508196721311475
ardupilot,living,28,0.7051409591642314,0.32786885245901637
ardupilot,static,1,0.0,0.01639344262295082
aspnetcore,living,37,0.71489890178309,0.36065573770491804
aspnetcore,static,6,0.10960229473178244,0.03278688524590164
axios,living,226,0.8673562867563058,0.7704918032786885
axios,static,2,0.1686130986895011,0.03278688524590164
azure-quickstart-templates,living,5,0.3915074910131681,0.08196721311475409
azure-quickstart-templates,static,0,,0.0
bitcoin,living,60,0.8603448885717196,0.639344262295082
bitcoin,static,8,0.463686021396128,0.11475409836065574
bootstrap,living,89,0.8630946823160978,0.6885245901639344
bootstrap,static,7,0.4733568125293554,0.11475409836065574
core,living,30,0.7444371181707646,0.3770491803278688
core,static,3,0.15483670609358735,0.03278688524590164
d3,living,10,0.4926753502268687,0.13114754098360656
d3,static,4,0.3372261973790022,0.06557377049180328
darknet,living,15,0.4748013448513826,0.14754098360655737
darknet,static,0,,0.0
data,living,4,0.1367921184640611,0.03278688524590164
data,static,2,0.0,0.01639344262295082
django,living,13,0.5980021306680121,0.19672131147540983
django,static,161,0.9182094651580919,0.8524590163934426
dotfiles,living,4,0.1686130986895011,0.03278688524590164
dotfiles,static,1,0.0,0.01639344262295082
dubbo,living,39,0.737664630628714,0.39344262295081966
dubbo,static,13,0.4942402237821651,0.14754098360655737
echarts,living,24,0.599168139228017,0.22950819672131148
echarts,static,6,0.4358585372427558,0.09836065573770492
elasticsearch,living,87,0.8867544374584594,0.7049180327868853
elasticsearch,static,4,0.3372261973790022,0.06557377049180328
electron,living,43,0.8227519654610502,0.5245901639344263
electron,static,1,0.0,0.01639344262295082
erpnext,living,42,0.589591190282785,0.2786885245901639
erpnext,static,1,0.0,0.01639344262295082
etcd,living,104,0.8607638948112326,0.6721311475409836
etcd,static,1,0.0,0.01639344262295082
flask,living,32,0.6243438750292691,0.2459016393442623
flask,static,4,0.1367921184640611,0.03278688524590164
flink,living,17,0.6495261051615294,0.2459016393442623
flink,static,15,0.5913076900906226,0.19672131147540983
flutter,living,89,0.8791307228506695,0.7049180327868853
flutter,static,78,0.8374306850019645,0.6229508196721312
framework,living,402,0.903460751929737,0.819672131147541
framework,static,4,0.25291964803425165,0.04918032786885246
gitignore,living,9,0.4970212996199538,0.13114754098360656
gitignore,static,0,,0.0
go,living,15,0.568825943598689,0.18032786885245902
go,static,34,0.6581320061042567,0.29508196721311475
go-ethereum,living,48,0.8116565616643828,0.5081967213114754
go-ethereum,static,5,0.3240622515373677,0.06557377049180328
godot,living,46,0.7617616775393596,0.45901639344262296
godot,static,35,0.8359592009100377,0.5245901639344263
grafana,living,500,0.9691903300676452,1.0
grafana,static,3,0.2672454385532547,0.04918032786885246
grpc,living,158,0.8388900952049368,0.6885245901639344
grpc,static,25,0.2872265441284322,0.09836065573770492
guava,living,47,0.7549435724510363,0.4262295081967213
guava,static,2,0.1686130986895011,0.03278688524590164
homebrew-cask,living,40,0.7071536757083369,0.36065573770491804
homebrew-cask,static,0,,0.0
html5-boilerplate,living,42,0.7375716815373302,0.39344262295081966
html5-boilerplate,static,4,0.0,0.01639344262295082
imgui,living,8,0.42153274672375274,0.09836065573770492
imgui,static,5,0.3915074910131681,0.08196721311475409
ionic-framework,living,338,0.9459966960174272,0.9672131147540983
ionic-framework,static,4,0.25291964803425165,0.04918032786885246
java-design-patterns,living,459,0.7669354882014408,0.8032786885245902
java-design-patterns,static,5,0.3915074910131681,0.08196721311475409
jekyll,living,388,0.889046367043461,0.8852459016393442
jekyll,static,0,,0.0
jenkins,living,59,0.8082319631819973,0.5245901639344263
jenkins,static,0,,0.0
jquery,living,24,0.6694235970153091,0.29508196721311475
jquery,static,3,0.2672454385532547,0.04918032786885246
juice-shop,living,140,0.8902799552794232,0.819672131147541
juice-shop,static,15,0.4394460216854536,0.13114754098360656
kafka,living,59,0.7584313072484842,0.4426229508196721
kafka,static,10,0.45895273048896856,0.11475409836065574
kubernetes,living,21,0.6703075505865258,0.2786885245901639
kubernetes,static,0,,0.0
lantern,living,32,0.3437169798450883,0.08196721311475409
lantern,static,0,,0.0
laravel,living,184,0.9502814707915759,0.9672131147540983
laravel,static,0,,0.0
markdown-here,living,7,0.31064788209524596,0.06557377049180328
markdown-here,static,2,0.1686130986895011,0.03278688524590164
material-ui,living,586,0.978237065111389,1.0
material-ui,static,3,0.15483670609358735,0.03278688524590164
metasploit-framework,living,55,0.5747298743312732,0.3114754098360656
metasploit-framework,static,53,0.5264126876725755,0.26229508196721313
minimal-mistakes,living,204,0.7105378481524905,0.47540983606557374
minimal-mistakes,static,1,0.0,0.01639344262295082
moby,living,47,0.7795350860554209,0.45901639344262296
moby,static,20,0.6717855627402319,0.2786885245901639
mybatis-3,living,14,0.5215319835834986,0.16393442622950818
mybatis-3,static,3,0.2672454385532547,0.04918032786885246
netty,living,30,0.6227463220012817,0.2786885245901639
netty,static,10,0.3915074910131681,0.09836065573770492
nixpkgs,living,160,0.8192601422976038,0.6885245901639344
nixpkgs,static,5,0.3915074910131681,0.08196721311475409
node,living,770,0.9790287536386921,1.0
node,static,229,0.819420469525775,0.7868852459016393
numpy,living,50,0.6462076249601427,0.32786885245901637
numpy,static,5,0.3915074910131681,0.08196721311475409
odoo,living,15,0.6137894365825559,0.21311475409836064
odoo,static,0,,0.0
ohmyzsh,living,53,0.7598747433151173,0.4426229508196721
ohmyzsh,static,2,0.1686130986895011,0.03278688524590164
opencv,living,14,0.5606154460018018,0.18032786885245902
opencv,static,4,0.3372261973790022,0.06557377049180328
