repo,y1_contributors,y5_contributors,contributor_growth_y1_y5,n_veterans,maintainer_turnover_rate,activity_trend,n_files_touched,median_staleness_days,mean_staleness_days,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_bus50,health_docs_touch_contributors,log_contributors,log_bus50,participation_rate,log_staleness
protobuf,154,159,0.032467532467532464,781,0.9404388714733543,0.021995252465234996,6,916.0,920.5,0.6870475799638535,0.3114754098360656,551,4,19,6.313548046277095,1.6094379124341003,0.034482758620689655,6.821107472256465
qmk_firmware,771,227,-0.7055771725032426,1726,0.949685534591195,-0.01712133061092836,4,846.5,888.0,0.7600122078091428,0.3934426229508196,1109,1,7,7.01211529430638,0.6931471805599453,0.0063119927862939585,6.742290839254605
rails,454,455,0.0022026431718061676,5166,0.911988911988912,0.0004892611327639162,6,543.0,594.6666666666666,0.7079516285291358,0.360655737704918,1480,11,24,7.300472814267799,2.4849066497880004,0.016216216216216217,6.298949246855942
react,125,110,-0.12,1621,0.9685658153241651,0.016376277021438315,9,864.0,739.7777777777778,0.7677425728022537,0.4754098360655737,323,7,40,5.780743515792329,2.0794415416798357,0.1238390092879257,6.762729506931879
react-native,247,376,0.5222672064777328,2775,0.9706717123935666,0.01990632805208448,9,1103.0,993.1111111111111,0.9024702583231397,0.8852459016393442,1233,7,54,7.1180162044653335,2.0794415416798357,0.043795620437956206,7.00669522683704
react-router,10,142,13.2,670,0.9880597014925373,0.01955636736179449,11,159.0,439.90909090909093,0.894745948419439,0.8360655737704918,380,109,395,5.942799375126701,4.700480365792417,1.0394736842105263,5.075173815233827
redis,180,78,-0.5666666666666667,449,0.953757225433526,-0.015344211565671463,11,466.0,530.4545454545455,0.6867997988061347,0.4590163934426229,335,4,30,5.817111159963204,1.6094379124341003,0.08955223880597014,6.1463292576688975
reveal.js,15,6,-0.6,312,0.979381443298969,0.008337015760789521,4,929.5,927.0,0.593864642523777,0.2295081967213114,50,1,1,3.9318256327243257,0.6931471805599453,0.02,6.835722076082305
rust,1242,1274,0.02576489533011272,4122,0.834593572778828,0.0027625109170375706,9,35.0,141.88888888888889,0.9753631056026502,1.0,3638,19,426,8.19946419761216,2.995732273553991,0.1170973062122045,3.58351893845611
scrapy,62,35,-0.43548387096774194,454,0.9508196721311475,0.00015265126734101875,6,663.0,454.5,0.7107246215028619,0.4098360655737705,165,2,13,5.111987788356544,1.0986122886681098,0.07878787878787878,6.498282149476434
shadowsocks-android,6,4,-0.3333333333333333,50,0.7692307692307693,-0.03183395450456238,5,1817.0,1335.6,0.459551722133398,0.1147540983606557,8,1,2,2.1972245773362196,0.6931471805599453,0.25,7.505492274737424
shadowsocks-windows,8,1,-0.875,80,1.0,-0.07791563275434245,4,1813.0,1776.0,0.2529196480342516,0.0491803278688524,10,1,2,2.3978952727983707,0.6931471805599453,0.2,7.503289630675082
socket.io,48,10,-0.7916666666666666,424,0.9940476190476191,-0.02265831305338374,9,356.0,507.3333333333333,0.832709763456306,0.7213114754098361,104,1,27,4.653960350157523,0.6931471805599453,0.25961538461538464,5.877735781779639
spark,359,295,-0.17827298050139276,2239,0.9168026101141925,0.0054266095740750165,3,142.0,116.33333333333333,0.7148989017830899,0.3770491803278688,1033,3,14,6.9411900550683745,1.3862943611198906,0.013552758954501452,4.962844630259907
spring-boot,178,126,-0.29213483146067415,898,0.9370629370629371,0.004962509902175717,7,466.0,868.7142857142857,0.7307287652409399,0.4098360655737705,575,5,27,6.3561076606958915,1.791759469228055,0.04695652173913043,6.1463292576688975
spring-framework,130,140,0.07692307692307693,627,0.9637305699481865,0.010808056980729034,6,260.5,525.8333333333334,0.7034303892605933,0.3278688524590163,556,5,17,6.322565239927284,1.791759469228055,0.030575539568345324,5.566434283504978
symfony,534,412,-0.22846441947565543,2862,0.8602150537634409,-0.004498894240288687,10,1069.5,856.8,0.9228714908654256,0.9836065573770492,1599,1,23,7.3777589082278725,0.6931471805599453,0.014383989993746092,6.975881108029737
terraform,169,127,-0.2485207100591716,1760,0.9711751662971175,-0.005075674140225157,9,571.0,740.6666666666666,0.9190458265163766,0.918032786885246,377,4,55,5.934894195619588,1.6094379124341003,0.14588859416445624,6.349138991379798
three.js,256,182,-0.2890625,1614,0.9422222222222222,-0.009216818652086324,8,1029.0,911.5,0.7815263323291296,0.4754098360655737,599,3,23,6.396929655216146,1.3862943611198906,0.038397328881469114,6.937314081223682
todomvc,3,4,0.3333333333333333,361,0.9924812030075187,0.030035842293906816,4,1131.5,1130.25,0.1548367060935873,0.0327868852459016,8,1,1,2.1972245773362196,0.6931471805599453,0.125,7.032182857357189
vscode,392,308,-0.21428571428571427,1432,0.9152941176470588,-0.005597769569952586,4,653.5,597.0,0.7114677386865149,0.3442622950819672,1325,8,25,7.189922170745808,2.1972245773362196,0.018867924528301886,6.483871585349955
youtube-dl,97,5,-0.9484536082474226,885,1.0,-0.040580484806371435,6,1449.5,1369.0,0.5631586708702783,0.2786885245901639,100,1,9,4.61512051684126,0.6931471805599453,0.09,7.279663603561459
zxing,7,5,-0.2857142857142857,149,0.9591836734693877,-0.005653710247349827,3,499.0,419.6666666666667,0.5952873742016478,0.2131147540983606,25,2,8,3.258096538021482,1.0986122886681098,0.32,6.214608098422191
