repo,y1_contributors,y5_contributors,contributor_growth_y1_y5,n_veterans,maintainer_turnover_rate,activity_trend,n_files_touched,median_staleness_days,mean_staleness_days,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_bus50,health_docs_touch_contributors,log_contributors,log_bus50,participation_rate,log_staleness
AdminLTE,15,5,-0.6666666666666666,97,0.9655172413793104,-0.0277475455820477,5,693.0,634.8,0.6144959087119523,0.2622950819672131,21,2,8,3.091042453358316,1.0986122886681098,0.38095238095238093,6.542471960506805
AspNetCore.Docs,240,141,-0.4125,1365,0.9428571428571428,0.00030570799885198003,5,1822.0,1140.0,0.696989337819305,0.3114754098360656,521,4,14,6.257667587882639,1.6094379124341003,0.026871401151631478,7.508238774678663
Chart.js,51,25,-0.5098039215686274,364,0.9666666666666667,-0.04418275572610624,3,760.0,857.6666666666666,0.656522194133825,0.2786885245901639,119,3,11,4.787491742782046,1.3862943611198906,0.09243697478991597,6.634633357861686
DefinitelyTyped,2883,929,-0.6777662157474853,14003,0.9722540701673928,-0.01810912035631135,7,783.0,869.5714285714286,0.8444906552249595,0.7704918032786885,5230,4,49,8.562357743370612,1.6094379124341003,0.009369024856596558,6.664409020350408
FFmpeg,193,168,-0.12953367875647667,1978,0.8588235294117647,0.0006218006579361752,6,158.5,426.0,0.9445804520678962,0.9672131147540984,601,4,86,6.400257445308821,1.6094379124341003,0.14309484193011648,5.072043922224899
FreeRDP,53,58,0.09433962264150944,379,0.8673469387755102,0.021783126789884987,5,136.0,426.8,0.7307802444542505,0.4098360655737705,179,1,7,5.19295685089021,0.6931471805599453,0.03910614525139665,4.919980925828125
Ghost,48,122,1.5416666666666667,472,0.9041095890410958,-0.006203112278247299,6,134.0,431.3333333333333,0.7971271222100823,0.5081967213114754,235,2,17,5.4638318050256105,1.0986122886681098,0.07234042553191489,4.90527477843843
HanLP,4,3,-0.25,40,0.9166666666666666,-0.03228581338883107,2,689.0,689.0,0.7242534624510166,0.4262295081967213,9,1,2,2.302585092994046,0.6931471805599453,0.2222222222222222,6.536691597591305
Marlin,270,54,-0.8,817,0.9652509652509652,-0.019014444979064498,6,855.5,832.0,0.7624395199919911,0.4262295081967213,311,2,18,5.7430031878094825,1.0986122886681098,0.05787781350482315,6.752854317764174
PHPMailer,29,12,-0.5862068965517241,211,0.9811320754716981,-0.023661797802391762,4,193.0,463.5,0.8035379139988229,0.5737704918032787,65,1,10,4.189654742026425,0.6931471805599453,0.15384615384615385,5.267858159063328
Python,489,642,0.3128834355828221,1447,0.7345844504021448,0.014350334753499706,3,1723.0,1183.0,0.4609540432160616,0.2295081967213114,171,3,37,5.147494476813453,1.3862943611198906,0.21637426900584794,7.452402451223638
Rocket.Chat,117,72,-0.38461538461538464,754,0.949238578680203,0.005678083328722412,7,704.0,661.0,0.8706569291712621,0.7213114754098361,169,1,42,5.135798437050262,0.6931471805599453,0.2485207100591716,6.558197802812269
TypeScript,136,57,-0.5808823529411765,600,0.9226190476190477,-0.012923595747209035,9,965.0,932.3333333333334,0.7761355199764771,0.4426229508196721,260,7,26,5.564520407322694,2.0794415416798357,0.1,6.873163834212518
Vue-core,130,97,-0.25384615384615383,151,0.8157894736842105,-0.010356307946181077,5,317.0,253.4,0.8910823611578284,0.8688524590163934,308,1,42,5.733341276897746,0.6931471805599453,0.13636363636363635,5.762051382780177
WordPress,33,44,0.3333333333333333,98,0.56,-0.006560904023150481,2,63.0,63.0,0.7618609389563106,0.4098360655737705,61,2,7,4.127134385045092,1.0986122886681098,0.11475409836065574,4.1588830833596715
airflow,547,588,0.07495429616087751,1503,0.9562171628721541,0.013414655451027671,10,287.5,530.6,0.9517714861438265,1.0,1389,6,135,7.237059026124737,1.9459101490553132,0.09719222462203024,5.664695085948154
angular,350,325,-0.07142857142857142,1345,0.90020366598778,0.0023719739747171775,8,145.5,384.0,0.9888412870279784,1.0,1023,5,88,6.931471805599453,1.791759469228055,0.08602150537634409,4.987025428457122
animate.css,18,0,-1.0,112,1.0,-0.06313630430729067,6,1405.5,1263.6666666666667,0.4942402237821651,0.1475409836065573,17,2,7,2.8903717578961645,1.0986122886681098,0.4117647058823529,7.248859627929911
ansible,298,83,-0.7214765100671141,6106,0.9889389594428513,-0.016996198997611758,5,479.0,517.4,0.6275124848977414,0.2295081967213114,498,6,15,6.212606095751519,1.9459101490553132,0.030120481927710843,6.173786103901937
ant-design,349,211,-0.3954154727793696,1336,0.9606299212598425,0.0021402772274634004,11,661.0,888.3636363636364,0.9726613965447332,1.0,824,4,55,6.715383386334681,1.6094379124341003,0.06674757281553398,6.495265555937008
ardupilot,150,224,0.49333333333333335,694,0.7865168539325843,-0.0005324331318790008,5,1823.0,1415.6,0.7051409591642314,0.3278688524590163,492,8,21,6.20050917404269,2.1972245773362196,0.042682926829268296,7.508787170634276
aspnetcore,246,148,-0.3983739837398374,916,0.8820960698689956,-0.01242023553115024,5,1356.0,970.0,0.71489890178309,0.360655737704918,454,5,21,6.12029741895095,1.791759469228055,0.046255506607929514,7.213031659834869
axios,30,57,0.9,263,0.9847908745247148,0.005023427644620659,8,122.5,343.0,0.8074911673397316,0.7049180327868853,172,5,82,5.153291594497779,1.791759469228055,0.47674418604651164,4.816241156068032
azure-quickstart-templates,214,91,-0.5747663551401869,1222,0.9716088328075709,-0.03153332669124242,2,644.5,644.5,0.3372261973790022,0.0655737704918032,351,1,3,5.863631175598097,0.6931471805599453,0.008547008547008548,6.470025210286697
bitcoin,160,126,-0.2125,919,0.8700361010830325,-0.0035529076304289856,8,325.5,575.5,0.8734936734862313,0.6721311475409836,377,3,23,5.934894195619588,1.3862943611198906,0.0610079575596817,5.788429948716486
bootstrap,146,41,-0.7191780821917808,1346,0.9772209567198178,-0.02574813541634695,7,75.0,471.0,0.8630245209581516,0.6885245901639344,257,1,27,5.552959584921617,0.6931471805599453,0.10505836575875487,4.330733340286331
core,865,880,0.017341040462427744,2213,0.7490974729241877,0.01104994208042547,6,766.0,917.8333333333334,0.7444371181707646,0.3770491803278688,1826,8,21,7.510430556378006,2.1972245773362196,0.011500547645125958,6.642486801367256
d3,4,7,0.75,133,0.9705882352941176,-0.014247311827956988,3,743.0,630.0,0.5461211772250886,0.1639344262295081,10,1,3,2.3978952727983707,0.6931471805599453,0.3,6.612041034833092
darknet,1,0,-1.0,11,1.0,-0.05866935483870968,1,1078.0,1078.0,0.4748013448513826,0.1475409836065573,1,1,1,0.6931471805599453,0.6931471805599453,1.0,6.983789965258135
django,272,226,-0.16911764705882354,2341,0.9478458049886621,-0.004403213274181008,8,823.0,931.5,0.9231480685272992,0.8524590163934426,870,77,162,6.769641976852503,4.356708826689592,0.18620689655172415,6.714170529909472
dotfiles,1,0,-1.0,149,1.0,-0.04838709677419359,2,1117.0,1117.0,0.2566170120615672,0.0491803278688524,13,1,1,2.6390573296152584,0.6931471805599453,0.07692307692307693,7.0192966537150445
dubbo,36,55,0.5277777777777778,357,0.970873786407767,0.006944735145634327,7,538.0,529.7142857142857,0.7755033372766229,0.4754098360655737,208,3,24,5.342334251964811,1.3862943611198906,0.11538461538461539,6.289715570908998
echarts,47,29,-0.3829787234042553,135,0.9210526315789473,-0.03192551952651354,6,993.5,865.3333333333334,0.6202330303063626,0.2622950819672131,154,2,9,5.043425116919247,1.0986122886681098,0.05844155844155844,6.902240098294027
elasticsearch,262,308,0.17557251908396945,1662,0.8344988344988346,0.012135922780166205,7,289.0,413.2857142857143,0.8915496583597049,0.7213114754098361,595,8,47,6.39024066706535,2.1972245773362196,0.07899159663865546,5.66988092298052
electron,155,84,-0.45806451612903226,1084,0.9591836734693877,-0.006906150658091612,6,266.5,537.6666666666666,0.8304395001888613,0.5409836065573771,307,4,21,5.730099782973574,1.6094379124341003,0.06840390879478828,5.589119566336061
erpnext,128,178,0.390625,440,0.8636363636363636,-0.005371923805775721,3,1021.0,804.3333333333334,0.589591190282785,0.2786885245901639,280,2,18,5.638354669333745,1.0986122886681098,0.06428571428571428,6.92951677076365
etcd,128,94,-0.265625,677,0.9766081871345029,0.01283697340765787,10,884.0,747.2,0.8652303382562401,0.6885245901639344,444,5,46,6.09807428216624,1.791759469228055,0.1036036036036036,6.785587645007929
flask,60,17,-0.7166666666666667,693,0.9849246231155779,-0.016546098767254734,10,448.0,715.8,0.6243438750292691,0.2459016393442623,138,1,8,4.9344739331306915,0.6931471805599453,0.057971014492753624,6.1070228877422545
flink,380,218,-0.4263157894736842,1072,0.8807017543859649,-0.021947136198669875,3,132.0,222.0,0.7653196402426686,0.4098360655737705,882,8,24,6.78332520060396,2.1972245773362196,0.027210884353741496,4.890349128221754
flutter,515,379,-0.26407766990291265,883,0.7124463519313304,-0.0025296325223379806,8,202.5,526.375,0.9204395012412848,0.8688524590163934,978,27,109,6.88653164253051,3.332204510175204,0.1114519427402863,5.31566600488265
framework,518,519,0.0019305019305019305,2772,0.8972375690607735,-0.0015955775913157996,12,1781.0,1258.6666666666667,0.903460751929737,0.819672131147541,1317,2,22,7.183870715062453,1.0986122886681098,0.016704631738800303,7.485491608030754
gitignore,59,82,0.3898305084745763,1317,0.996962794229309,0.010780388305507297,2,93.5,93.5,0.4251816414752122,0.0983606557377049,213,4,8,5.365976015021851,1.6094379124341003,0.03755868544600939,4.548599834499697
go,364,292,-0.1978021978021978,1836,0.8582834331337326,-0.006177549372493737,11,1073.0,1113.5454545454545,0.7105393331015678,0.3770491803278688,1079,14,35,6.984716320118266,2.70805020110221,0.03243744207599629,6.97914527506881
go-ethereum,122,173,0.4180327868852459,561,0.888268156424581,0.005307687432663666,5,249.0,584.0,0.8289409144156485,0.5409836065573771,416,10,36,6.0330862217988015,2.3978952727983707,0.08653846153846154,5.521460917862246
godot,406,727,0.7906403940886699,1410,0.8502824858757062,0.007411774266822815,7,506.0,627.4285714285714,0.8742944353630595,0.7213114754098361,1796,1,22,7.493873886783559,0.6931471805599453,0.012249443207126948,6.2285110035911835
grafana,415,429,0.033734939759036145,1346,0.9411764705882353,0.013263440704842868,12,560.0,681.25,0.9089114652785945,0.9016393442622952,980,1,75,6.8885724595653635,0.6931471805599453,0.07653061224489796,6.329720905522696
grpc,155,110,-0.2903225806451613,675,0.903954802259887,-0.004639535322769429,10,1114.5,980.1,0.8398444888862241,0.6885245901639344,387,4,35,5.961005339623274,1.6094379124341003,0.09043927648578812,7.017058013872587
guava,54,24,-0.5555555555555556,389,0.9166666666666666,0.012597870341371754,6,734.5,962.6666666666666,0.7621185979271853,0.4426229508196721,114,1,8,4.74493212836325,0.6931471805599453,0.07017543859649122,6.6005505400414926
homebrew-cask,1613,967,-0.4004959702417855,7500,0.9428928720300125,0.017221151900549254,4,515.5,702.5,0.7117241539072521,0.360655737704918,3456,5,21,8.148156439921625,1.791759469228055,0.006076388888888889,6.247075288559693
html5-boilerplate,10,2,-0.8,294,0.9805825242718447,-0.023031992566042738,8,647.0,766.375,0.7409283209082461,0.3934426229508196,18,2,14,2.9444389791664403,1.0986122886681098,0.7777777777777778,6.473890696352274
imgui,69,97,0.4057971014492754,232,0.8941176470588236,0.013869173412018041,4,358.0,473.75,0.5363301063864917,0.1639344262295081,230,1,3,5.442417710521793,0.6931471805599453,0.013043478260869565,5.883322388488279
ionic-framework,40,29,-0.275,437,0.972027972027972,-0.001705587233785332,7,451.0,687.1428571428571,0.9131888088310316,0.8852459016393442,97,2,14,4.584967478670572,1.0986122886681098,0.14432989690721648,6.113682179832232
java-design-patterns,60,44,-0.26666666666666666,232,0.9538461538461539,-0.001370698625713154,4,307.5,276.25,0.6872714835628879,0.3442622950819672,122,5,25,4.812184355372417,1.791759469228055,0.20491803278688525,5.731721843345443
jekyll,78,27,-0.6538461538461539,1073,0.9866310160427807,-0.025898507920678143,7,1290.0,983.5714285714286,0.889046367043461,0.8852459016393442,126,1,13,4.844187086458591,0.6931471805599453,0.10317460317460317,7.1631723908466425
jenkins,88,64,-0.2727272727272727,940,0.9176470588235294,0.010763967831820277,7,795.0,587.2857142857143,0.8082319631819973,0.5245901639344263,173,3,19,5.159055299214529,1.3862943611198906,0.10982658959537572,6.679599185844383
jquery,8,4,-0.5,350,0.9855072463768116,0.013770772238514185,9,760.0,1013.8888888888889,0.6838982637738295,0.3114754098360656,20,2,4,3.044522437723423,1.0986122886681098,0.2,6.634633357861686
juice-shop,22,30,0.36363636363636365,89,0.6521739130434783,-0.022612727774018106,6,219.0,273.8333333333333,0.8902799552794232,0.819672131147541,58,1,9,4.07753744390572,0.6931471805599453,0.15517241379310345,5.393627546352362
kafka,226,255,0.12831858407079647,887,0.8311688311688312,0.01925326311594855,5,124.0,407.8,0.7821890710999863,0.4918032786885246,561,5,34,6.331501849893691,1.791759469228055,0.06060606060606061,4.8283137373023015
kubernetes,873,519,-0.4054982817869416,3287,0.8860606060606061,-0.0025115663326052496,5,906.0,780.0,0.6703075505865258,0.2786885245901639,2019,9,19,7.61085279039525,2.302585092994046,0.009410599306587419,6.810142450115136
lantern,0,6,,0,,0.08778030938961505,1,16.0,16.0,0.3437169798450883,0.081967213114754,4,1,4,1.6094379124341003,0.6931471805599453,1.0,2.833213344056216
laravel,58,40,-0.3103448275862069,660,0.9649122807017544,-0.011214751479034418,2,43.0,43.0,0.950281470791576,0.9672131147540984,142,2,17,4.962844630259907,1.0986122886681098,0.11971830985915492,3.784189633918261
markdown-here,0,2,,12,0.6666666666666666,0.0753058954393771,3,217.0,228.33333333333334,0.3106478820952459,0.0655737704918032,2,1,2,1.0986122886681098,0.6931471805599453,1.0,5.384495062789089
material-ui,432,168,-0.6111111111111112,2071,0.9884892086330935,-0.005095175707052046,9,145.0,645.2222222222222,0.9779650964968668,1.0,790,3,66,6.673297967767654,1.3862943611198906,0.08354430379746836,4.983606621708336
metasploit-framework,181,95,-0.47513812154696133,1125,0.926056338028169,-0.002119291253416891,9,974.0,797.5555555555555,0.668810014030381,0.4098360655737705,318,4,17,5.765191102784844,1.6094379124341003,0.05345911949685535,6.882437470997847
minimal-mistakes,35,14,-0.6,211,0.9152542372881356,-0.015871962849324163,5,420.0,657.8,0.7105378481524905,0.4754098360655737,55,2,10,4.02535169073515,1.0986122886681098,0.18181818181818182,6.042632833682381
moby,97,74,-0.23711340206185566,2487,0.9764521193092621,0.023312691374119794,8,205.0,357.5,0.8275082829345493,0.5573770491803278,303,2,19,5.717027701406222,1.0986122886681098,0.0627062706270627,5.327876168789581
mybatis-3,32,20,-0.375,184,0.92,0.009860649018756933,6,381.5,502.5,0.5479925707408786,0.180327868852459,88,1,5,4.48863636973214,0.6931471805599453,0.056818181818181816,5.94672865326659
netty,92,55,-0.40217391304347827,596,0.9456066945606695,-0.0024040230589966786,9,1676.0,1327.3333333333333,0.6418406051147727,0.2950819672131147,220,2,13,5.3981627015177525,1.0986122886681098,0.05909090909090909,7.424761761823209
nixpkgs,2076,4335,1.0881502890173411,3993,0.6181102362204725,0.018701716613330675,6,94.0,305.6666666666667,0.8296127940201382,0.7049180327868853,8008,14,78,8.988321188323683,2.70805020110221,0.00974025974025974,4.553876891600541
node,338,334,-0.011834319526627219,3295,0.9429323968393327,6.691845336530335e-05,11,97.0,326.0,0.962780697231144,1.0,991,6,177,6.899723107284872,1.9459101490553132,0.17860746720484358,4.584967478670572
numpy,313,230,-0.26517571884984026,1195,0.9075907590759076,-0.002540264311019938,7,1004.0,827.4285714285714,0.6783294223103542,0.3770491803278688,773,8,35,6.651571873589727,2.1972245773362196,0.045278137128072445,6.912742820493176
odoo,409,808,0.9755501222493888,2218,0.7711711711711712,0.016263176995547593,5,178.0,362.6,0.6137894365825559,0.2131147540983606,1496,4,11,7.311218384419629,1.6094379124341003,0.007352941176470588,5.187385805840755
ohmyzsh,199,133,-0.3316582914572864,1935,0.9818181818181818,-0.00713035001895408,5,973.0,738.0,0.7702421959925077,0.4590163934426229,597,5,26,6.393590753950631,1.791759469228055,0.04355108877721943,6.881411303642535
opencv,228,181,-0.20614035087719298,1511,0.9419191919191919,-0.00543180444841772,5,802.0,763.0,0.5701787646017642,0.1967213114754098,578,3,10,6.361302477572996,1.3862943611198906,0.01730103806228374,6.688354713946762
openssl,174,231,0.3275862068965517,671,0.8205128205128205,-0.0062028668638707245,10,1608.0,1228.7,0.7836509650303464,0.4590163934426229,689,6,29,6.536691597591305,1.9459101490553132,0.0420899854862119,7.3833681469923835
pandas,470,290,-0.3829787234042553,2289,0.9650273224043716,-0.015275806832403763,8,1049.5,881.25,0.8051040409332259,0.4918032786885246,834,13,35,6.727431724850855,2.6390573296152584,0.04196642685851319,6.957021520285055
pdf.js,32,34,0.0625,387,0.93,0.0005720878803903644,4,319.0,272.0,0.7260913124448205,0.360655737704918,98,2,10,4.59511985013459,1.0986122886681098,0.10204081632653061,5.768320995793772
