repo,since,until,include_merges,dominant_threshold,total_commits_in_range,health_docs_touch_commits,health_docs_only_commits,health_docs_dominant_mixed_commits,health_docs_mixed_non_dominant_commits,health_docs_only_rate,health_docs_dominant_mixed_rate,health_docs_mixed_non_dominant_rate,partition_check_sum
metasploit-framework,2016-05-30,2026-05-29,no,0.500,33141,111,105,2,4,0.945946,0.018018,0.036036,111
juice-shop,2016-05-30,2026-05-29,no,0.500,19859,510,363,78,69,0.711765,0.152941,0.135294,510
flask,2016-05-30,2026-05-29,no,0.500,1866,87,64,12,11,0.735632,0.137931,0.126437,87
terraform,2016-05-30,2026-05-29,no,0.500,20174,2985,2856,115,14,0.956784,0.038526,0.004690,2985
FFmpeg,2016-05-30,2026-05-29,no,0.500,42686,974,387,399,188,0.397331,0.409651,0.193018,974
aspnetcore,2016-05-30,2026-05-29,no,0.500,38766,584,436,25,123,0.746575,0.042808,0.210616,584
Marlin,2016-05-30,2026-05-29,no,0.500,15484,85,66,10,9,0.776471,0.117647,0.105882,85
jekyll,2016-05-30,2026-05-29,no,0.500,4049,1747,1732,11,4,0.991414,0.006297,0.002290,1747
PHPMailer,2016-05-30,2026-05-29,no,0.500,1427,277,213,58,6,0.768953,0.209386,0.021661,277
go,2016-05-30,2026-05-29,no,0.500,37856,116,115,1,0,0.991379,0.008621,0.000000,116
core,2016-05-30,2026-05-29,no,0.500,103939,91,79,4,8,0.868132,0.043956,0.087912,91
bootstrap,2016-05-30,2026-05-29,no,0.500,8223,229,137,21,71,0.598253,0.091703,0.310044,229
dotfiles,2016-05-30,2026-05-29,no,0.500,87,7,5,0,2,0.714286,0.000000,0.285714,7
Chart.js,2016-05-30,2026-05-29,no,0.500,2657,58,47,3,8,0.810345,0.051724,0.137931,58
WordPress,2016-05-30,2026-05-29,no,0.500,18261,55,55,0,0,1.0,0.000000,0.000000,55
react-native,2016-05-30,2026-05-29,no,0.500,34240,409,370,22,17,0.904645,0.053790,0.041565,409
pdf.js,2016-05-30,2026-05-29,no,0.500,7896,68,58,3,7,0.852941,0.044118,0.102941,68
DefinitelyTyped,2016-05-30,2026-05-29,no,0.500,59983,291,254,20,17,0.872852,0.068729,0.058419,291
Python,2016-05-30,2026-05-29,no,0.500,35458,206,159,32,15,0.771845,0.155340,0.072816,206
grpc,2016-05-30,2026-05-29,no,0.500,30967,275,256,7,12,0.930909,0.025455,0.043636,275
framework,2016-05-30,2026-05-29,no,0.500,23475,546,537,6,3,0.983516,0.010989,0.005495,546
guava,2016-05-30,2026-05-29,no,0.500,3913,116,76,29,11,0.655172,0.250000,0.094828,116
flink,2016-05-30,2026-05-29,no,0.500,29039,77,48,14,15,0.623377,0.181818,0.194805,77
minimal-mistakes,2016-05-30,2026-05-29,no,0.500,1894,775,586,102,87,0.756129,0.131613,0.112258,775
redis,2016-05-30,2026-05-29,no,0.500,6394,97,77,11,9,0.793814,0.113402,0.092784,97
ardupilot,2016-05-30,2026-05-29,no,0.500,49677,79,76,2,1,0.962025,0.025316,0.012658,79
material-ui,2016-05-30,2026-05-29,no,0.500,23146,1317,861,317,139,0.653759,0.240699,0.105543,1317
mybatis-3,2016-05-30,2026-05-29,no,0.500,2562,26,24,2,0,0.923077,0.076923,0.000000,26
ionic-framework,2016-05-30,2026-05-29,no,0.500,9216,664,196,60,408,0.295181,0.090361,0.614458,664
imgui,2016-05-30,2026-05-29,no,0.500,7278,292,275,16,1,0.941781,0.054795,0.003425,292
TypeScript,2016-05-30,2026-05-29,no,0.500,20014,152,117,22,13,0.769737,0.144737,0.085526,152
scikit-learn,2016-05-30,2026-05-29,no,0.500,12768,204,168,23,13,0.823529,0.112745,0.063725,204
rust,2016-05-30,2026-05-29,no,0.500,182715,3312,2737,154,421,0.826389,0.046498,0.127114,3312
animate.css,2016-05-30,2026-05-29,no,0.500,296,73,63,2,8,0.863014,0.027397,0.109589,73
jquery,2016-05-30,2026-05-29,no,0.500,722,67,45,11,11,0.671642,0.164179,0.164179,67
express,2016-05-30,2026-05-29,no,0.500,844,387,162,223,2,0.418605,0.576227,0.005168,387
nvm,2016-05-30,2026-05-29,no,0.500,308,85,62,10,13,0.729412,0.117647,0.152941,85
three.js,2016-05-30,2026-05-29,no,0.500,25475,167,131,30,6,0.784431,0.179641,0.035928,167
angular,2016-05-30,2026-05-29,no,0.500,33022,1387,1051,307,29,0.757751,0.221341,0.020908,1387
grafana,2016-05-30,2026-05-29,no,0.500,59268,1631,1549,44,38,0.949724,0.026977,0.023299,1631
netty,2016-05-30,2026-05-29,no,0.500,6768,50,30,6,14,0.6,0.120000,0.280000,50
scrapy,2016-05-30,2026-05-29,no,0.500,4164,57,35,7,15,0.614035,0.122807,0.263158,57
numpy,2016-05-30,2026-05-29,no,0.500,18441,98,90,4,4,0.918367,0.040816,0.040816,98
Ghost,2016-05-30,2026-05-29,no,0.500,40666,138,119,13,6,0.862319,0.094203,0.043478,138
ansible,2016-05-30,2026-05-29,no,0.500,35670,504,483,16,5,0.958333,0.031746,0.009921,504
bitcoin,2016-05-30,2026-05-29,no,0.500,25637,155,100,16,39,0.645161,0.103226,0.251613,155
airflow,2016-05-30,2026-05-29,no,0.500,35254,1199,757,148,294,0.631359,0.123436,0.245204,1199
FreeRDP,2016-05-30,2026-05-29,no,0.500,11309,88,79,5,4,0.897727,0.056818,0.045455,88
todomvc,2016-05-30,2026-05-29,no,0.500,174,12,8,2,2,0.666667,0.166667,0.166667,12
nixpkgs,2016-05-30,2026-05-29,no,0.500,586478,334,309,16,9,0.92515,0.047904,0.026946,334
markdown-here,2016-05-30,2026-05-29,no,0.500,75,17,15,0,2,0.882353,0.000000,0.117647,17
flutter,2016-05-30,2026-05-29,no,0.500,81764,376,353,16,7,0.93883,0.042553,0.018617,376
go-ethereum,2016-05-30,2026-05-29,no,0.500,8603,122,106,12,4,0.868852,0.098361,0.032787,122
opencv,2016-05-30,2026-05-29,no,0.500,10053,36,32,4,0,0.888889,0.111111,0.000000,36
socket.io,2016-05-30,2026-05-29,no,0.500,1982,527,205,150,172,0.388994,0.284630,0.326376,527
shadowsocks-android,2016-05-30,2026-05-29,no,0.500,2436,97,68,11,18,0.701031,0.113402,0.185567,97
spring-framework,2016-05-30,2026-05-29,no,0.500,19488,100,87,6,7,0.87,0.060000,0.070000,100
erpnext,2016-05-30,2026-05-29,no,0.500,30455,90,85,3,2,0.944444,0.033333,0.022222,90
ohmyzsh,2016-05-30,2026-05-29,no,0.500,3645,117,97,11,9,0.82906,0.094017,0.076923,117
kafka,2016-05-30,2026-05-29,no,0.500,15161,123,62,26,35,0.504065,0.211382,0.284553,123
d3,2016-05-30,2026-05-29,no,0.500,787,52,32,6,14,0.615385,0.115385,0.269231,52
Rocket.Chat,2016-05-30,2026-05-29,no,0.500,19522,910,203,33,674,0.223077,0.036264,0.740659,910
azure-quickstart-templates,2016-05-30,2026-05-29,no,0.500,26071,57,30,14,13,0.526316,0.245614,0.228070,57
moby,2016-05-30,2026-05-29,no,0.500,18787,224,171,48,5,0.763393,0.214286,0.022321,224
etcd,2016-05-30,2026-05-29,no,0.500,10171,229,194,23,12,0.847162,0.100437,0.052402,229
homebrew-cask,2016-05-30,2026-05-29,no,0.500,261669,167,149,16,2,0.892216,0.095808,0.011976,167
html5-boilerplate,2016-05-30,2026-05-29,no,0.500,785,96,69,16,11,0.71875,0.166667,0.114583,96
youtube-dl,2016-05-30,2026-05-29,no,0.500,6497,1043,1035,6,2,0.99233,0.005753,0.001918,1043
java-design-patterns,2016-05-30,2026-05-29,no,0.500,2755,481,80,397,4,0.16632,0.825364,0.008316,481
symfony,2016-05-30,2026-05-29,no,0.500,25198,294,287,4,3,0.97619,0.013605,0.010204,294
dubbo,2016-05-30,2026-05-29,no,0.500,6602,186,152,12,22,0.817204,0.064516,0.118280,186
jenkins,2016-05-30,2026-05-29,no,0.500,11888,238,219,7,12,0.920168,0.029412,0.050420,238
node,2016-05-30,2026-05-29,no,0.500,32895,1965,1666,248,51,0.847837,0.126209,0.025954,1965
kubernetes,2016-05-30,2026-05-29,no,0.500,64348,316,291,20,5,0.920886,0.063291,0.015823,316
qmk_firmware,2016-05-30,2026-05-29,no,0.500,20366,160,144,7,9,0.9,0.043750,0.056250,160
darknet,2016-05-30,2026-05-29,no,0.500,174,21,20,1,0,0.952381,0.047619,0.000000,21
HanLP,2016-05-30,2026-05-29,no,0.500,1247,120,92,27,1,0.766667,0.225000,0.008333,120
electron,2016-05-30,2026-05-29,no,0.500,18046,158,142,9,7,0.898734,0.056962,0.044304,158
openssl,2016-05-30,2026-05-29,no,0.500,23025,124,87,10,27,0.701613,0.080645,0.217742,124
vscode,2016-05-30,2026-05-29,no,0.500,135802,123,112,5,6,0.910569,0.040650,0.048780,123
echarts,2016-05-30,2026-05-29,no,0.500,5663,142,128,8,6,0.901408,0.056338,0.042254,142
reveal.js,2016-05-30,2026-05-29,no,0.500,1276,179,150,15,14,0.837989,0.083799,0.078212,179
AspNetCore.Docs,2016-05-30,2026-05-29,no,0.500,15811,85,75,4,6,0.882353,0.047059,0.070588,85
django,2016-05-30,2026-05-29,no,0.500,11981,395,389,6,0,0.98481,0.015190,0.000000,395
shadowsocks-windows,2016-05-30,2026-05-29,no,0.500,630,38,32,4,2,0.842105,0.105263,0.052632,38
react,2016-05-30,2026-05-29,no,0.500,14376,285,276,6,3,0.968421,0.021053,0.010526,285
axios,2016-05-30,2026-05-29,no,0.500,1500,450,332,35,83,0.737778,0.077778,0.184444,450
elasticsearch,2016-05-30,2026-05-29,no,0.500,72374,219,173,26,20,0.789954,0.118721,0.091324,219
protobuf,2016-05-30,2026-05-29,no,0.500,16526,78,53,4,21,0.679487,0.051282,0.269231,78
zxing,2016-05-30,2026-05-29,no,0.500,654,46,41,4,1,0.891304,0.086957,0.021739,46
godot,2016-05-30,2026-05-29,no,0.500,42599,189,112,42,35,0.592593,0.222222,0.185185,189
spark,2016-05-30,2026-05-29,no,0.500,31924,101,59,12,30,0.584158,0.118812,0.297030,101
laravel,2016-05-30,2026-05-29,no,0.500,1811,320,317,3,0,0.990625,0.009375,0.000000,320
gitignore,2016-05-30,2026-05-29,no,0.500,1225,28,26,1,1,0.928571,0.035714,0.035714,28
pandas,2016-05-30,2026-05-29,no,0.500,24259,126,108,10,8,0.857143,0.079365,0.063492,126
AdminLTE,2016-05-30,2026-05-29,no,0.500,1963,60,38,13,9,0.633333,0.216667,0.150000,60
react-router,2016-05-30,2026-05-29,no,0.500,7492,1065,875,126,64,0.821596,0.118310,0.060094,1065
ant-design,2016-05-30,2026-05-29,no,0.500,23769,1540,875,626,39,0.568182,0.406494,0.025325,1540
rails,2016-05-30,2026-05-29,no,0.500,23874,135,108,10,17,0.8,0.074074,0.125926,135
spring-boot,2016-05-30,2026-05-29,no,0.500,34307,143,111,20,12,0.776224,0.139860,0.083916,143
