repo,overall_longest_gap_months,days_since_last_commit,overall_h2_decline_ratio,doc_h1_entropy,doc_h1_awr,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50,log_days_since_last
AdminLTE,5,0,-0.1858267716535433,0.5648999744398837,0.26666666666666666,0.6144959087119523,0.2622950819672131,21,8,2,30,3.091042453358316,3.4339872044851463,0.38095238095238093,1.0986122886681098,0.0
AspNetCore.Docs,0,0,0.01084010840108401,0.6626659192886649,0.3333333333333333,0.696989337819305,0.3114754098360656,521,14,4,25,6.257667587882639,3.258096538021482,0.026871401151631478,1.6094379124341003,0.0
Chart.js,1,0,-0.8204903677758318,0.7418596070186921,0.43333333333333335,0.656522194133825,0.2786885245901639,119,11,3,25,4.787491742782046,3.258096538021482,0.09243697478991597,1.3862943611198906,0.0
DefinitelyTyped,0,0,-0.432865413593465,0.8351927676766184,0.8333333333333334,0.8444906552249595,0.7704918032786885,5230,49,4,123,8.562357743370612,4.820281565605037,0.009369024856596558,1.6094379124341003,0.0
FFmpeg,0,0,0.0003718854592785422,0.9373457820062998,0.9333333333333333,0.9445804520678962,0.9672131147540984,601,86,4,410,6.400257445308821,6.018593214496234,0.14309484193011648,1.6094379124341003,0.0
FreeRDP,1,0,1.166158536585366,0.5268025545616606,0.2,0.7307802444542505,0.4098360655737705,179,7,1,53,5.19295685089021,3.9889840465642745,0.03910614525139665,0.6931471805599453,0.0
Ghost,0,0,-0.2356851677641894,0.7975316892460825,0.6,0.7971271222100823,0.5081967213114754,235,17,2,53,5.4638318050256105,3.9889840465642745,0.07234042553191489,1.0986122886681098,0.0
HanLP,5,0,-0.7932816537467701,0.7905622621064031,0.6666666666666666,0.7242534624510166,0.4262295081967213,9,2,1,44,2.302585092994046,3.8066624897703196,0.2222222222222222,0.6931471805599453,0.0
Marlin,0,0,-0.40606826801517065,0.6148243244849506,0.3,0.7624395199919911,0.4262295081967213,311,18,2,41,5.7430031878094825,3.7376696182833684,0.05787781350482315,1.0986122886681098,0.0
PHPMailer,2,0,-0.5655577299412916,0.8046745645879991,0.6666666666666666,0.8035379139988229,0.5737704918032787,65,10,1,115,4.189654742026425,4.7535901911063645,0.15384615384615385,0.6931471805599453,0.0
Python,0,0,0.5780804150453955,0.31658730788061035,0.26666666666666666,0.4609540432160616,0.2295081967213114,171,37,3,42,5.147494476813453,3.7612001156935624,0.21637426900584794,1.3862943611198906,0.0
Rocket.Chat,0,0,0.27727154386878416,0.9683364271285971,0.9666666666666667,0.8706569291712621,0.7213114754098361,169,42,1,390,5.135798437050262,5.968707559985366,0.2485207100591716,0.6931471805599453,0.0
TypeScript,0,0,-0.23654916512059368,0.8195904428646799,0.6,0.7761355199764771,0.4426229508196721,260,26,7,40,5.564520407322694,3.713572066704308,0.1,2.0794415416798357,0.0
Vue-core,0,0,-0.14440282979608823,0.8897378476775217,0.9,0.8910823611578284,0.8688524590163934,308,42,1,320,5.733341276897746,5.771441123130016,0.13636363636363635,0.6931471805599453,0.0
WordPress,0,0,-0.15305921699783592,0.6398292769756313,0.3333333333333333,0.7618609389563106,0.4098360655737705,61,7,2,31,4.127134385045092,3.4657359027997265,0.11475409836065574,1.0986122886681098,0.0
airflow,0,0,0.4679808441920036,0.9637112947891157,1.0,0.9517714861438265,1.0,1389,135,6,568,7.237059026124737,6.343880434126331,0.09719222462203024,1.9459101490553132,0.0
angular,0,0,0.14351651521707776,0.9815041874873142,1.0,0.9888412870279784,1.0,1023,88,5,697,6.931471805599453,6.548219102762372,0.08602150537634409,1.791759469228055,0.0
animate.css,19,484,-0.9825581395348837,0.5607683957434118,0.26666666666666666,0.4942402237821651,0.1475409836065573,17,7,2,13,2.8903717578961645,2.6390573296152584,0.4117647058823529,1.0986122886681098,6.184148890937483
ansible,0,0,-0.4105367793240557,0.5547154642745418,0.23333333333333334,0.6275124848977414,0.2295081967213114,498,15,6,19,6.212606095751519,2.995732273553991,0.030120481927710843,1.9459101490553132,0.0
ant-design,0,0,0.19736842105263158,0.9449750196129068,1.0,0.9726613965447332,1.0,824,55,4,568,6.715383386334681,6.343880434126331,0.06674757281553398,1.6094379124341003,0.0
ardupilot,0,0,0.013141228625712476,0.7857090895113825,0.5333333333333333,0.7051409591642314,0.3278688524590163,492,21,8,28,6.20050917404269,3.367295829986474,0.042682926829268296,2.1972245773362196,0.0
aspnetcore,0,0,-0.28442326651330924,0.7492302020896606,0.5,0.71489890178309,0.360655737704918,454,21,5,37,6.12029741895095,3.6375861597263857,0.046255506607929514,1.791759469228055,0.0
axios,3,0,-0.15897435897435896,0.7737417734949346,0.7333333333333333,0.8074911673397316,0.7049180327868853,172,82,5,226,5.153291594497779,5.424950017481403,0.47674418604651164,1.791759469228055,0.0
azure-quickstart-templates,0,0,-0.5433836331979106,0.3230075074711544,0.1,0.3372261973790022,0.0655737704918032,351,3,1,5,5.863631175598097,1.791759469228055,0.008547008547008548,0.6931471805599453,0.0
bitcoin,0,0,-0.11983247770872738,0.8457817496238785,0.6666666666666666,0.8734936734862313,0.6721311475409836,377,23,3,66,5.934894195619588,4.204692619390966,0.0610079575596817,1.3862943611198906,0.0
bootstrap,0,0,-0.5407030527289547,0.9133384091976227,0.8666666666666667,0.8630245209581516,0.6885245901639344,257,27,1,89,5.552959584921617,4.499809670330265,0.10505836575875487,0.6931471805599453,0.0
core,0,0,0.3806148231330713,0.7280437950907873,0.43333333333333335,0.7444371181707646,0.3770491803278688,1826,21,8,30,7.510430556378006,3.4339872044851463,0.011500547645125958,2.1972245773362196,0.0
d3,4,0,0.3387096774193548,0.45887087219815853,0.16666666666666666,0.5461211772250886,0.1639344262295081,10,3,1,13,2.3978952727983707,2.6390573296152584,0.3,0.6931471805599453,0.0
darknet,35,1078,-0.9411764705882353,0.5738709696024832,0.3,0.4748013448513826,0.1475409836065573,1,1,1,15,0.6931471805599453,2.772588722239781,1.0,0.6931471805599453,6.983789965258135
django,0,0,-0.11769005847953216,0.9235991176047298,0.8666666666666667,0.9231480685272992,0.8524590163934426,870,162,77,172,6.769641976852503,5.153291594497779,0.18620689655172415,4.356708826689592,0.0
dotfiles,36,446,-0.5,0.20379504709050617,0.06666666666666667,0.2566170120615672,0.0491803278688524,13,1,1,5,2.6390573296152584,1.791759469228055,0.07692307692307693,0.6931471805599453,6.102558594613569
dubbo,1,0,0.5512905360688286,0.6730785389464972,0.4,0.7755033372766229,0.4754098360655737,208,24,3,51,5.342334251964811,3.9512437185814275,0.11538461538461539,1.3862943611198906,0.0
echarts,0,0,-0.6837983357807146,0.6887193641166057,0.43333333333333335,0.6202330303063626,0.2622950819672131,154,9,2,30,5.043425116919247,3.4339872044851463,0.05844155844155844,1.0986122886681098,0.0
elasticsearch,0,0,0.5665707752452608,0.9151067328256736,0.8333333333333334,0.8915496583597049,0.7213114754098361,595,47,8,89,6.39024066706535,4.499809670330265,0.07899159663865546,2.1972245773362196,0.0
electron,0,0,-0.22073474470734744,0.8363565134211894,0.6333333333333333,0.8304395001888613,0.5409836065573771,307,21,4,44,5.730099782973574,3.8066624897703196,0.06840390879478828,1.6094379124341003,0.0
erpnext,0,0,-0.19245056920311565,0.664540630708737,0.36666666666666664,0.589591190282785,0.2786885245901639,280,18,2,42,5.638354669333745,3.7612001156935624,0.06428571428571428,1.0986122886681098,0.0
etcd,1,0,0.5362058647516457,0.826530163300288,0.6666666666666666,0.8652303382562401,0.6885245901639344,444,46,5,105,6.09807428216624,4.663439094112067,0.1036036036036036,1.791759469228055,0.0
flask,1,0,-0.39853747714808047,0.5602203663284498,0.26666666666666666,0.6243438750292691,0.2459016393442623,138,8,1,32,4.9344739331306915,3.4965075614664802,0.057971014492753624,0.6931471805599453,0.0
flink,0,0,-0.5252631578947369,0.7036675189385567,0.4,0.7653196402426686,0.4098360655737705,882,24,8,32,6.78332520060396,3.4965075614664802,0.027210884353741496,2.1972245773362196,0.0
flutter,0,0,-0.0052395777963398895,0.880822431170523,0.8333333333333334,0.9204395012412848,0.8688524590163934,978,109,27,166,6.88653164253051,5.117993812416755,0.1114519427402863,3.332204510175204,0.0
framework,0,0,-0.06280381100524986,0.7808379622164574,0.6333333333333333,0.903460751929737,0.819672131147541,1317,22,2,402,7.183870715062453,5.998936561946683,0.016704631738800303,1.0986122886681098,0.0
gitignore,1,0,0.12376237623762376,0.3916794266021369,0.13333333333333333,0.4251816414752122,0.0983606557377049,213,8,4,9,5.365976015021851,2.302585092994046,0.03755868544600939,1.6094379124341003,0.0
