repo,rc_n_commits_human,rc_entropy_norm,rc_awr,rc_n_contributors,unique_contributors_for_metrics,rc_participation_rate,log_contributors,log_rc_commits,retention_rate,n_newcomers,contributor_growth_y1_y5,y1_contributors,y5_contributors,log_newcomers
AdminLTE,26,0.6190470719701753,0.2459016393442623,8,21,0.38095238095238093,3.091042453358316,3.295836866004329,0.1666666666666666,24.0,-0.6666666666666666,15,5,3.2188758248682006
AspNetCore.Docs,25,0.696989337819305,0.3114754098360656,14,521,0.026871401151631478,6.257667587882639,3.258096538021482,0.1584699453551912,732.0,-0.4125,240,141,6.597145701886651
Chart.js,19,0.5498183422441747,0.18032786885245902,9,119,0.07563025210084033,4.787491742782046,2.995732273553991,0.1034482758620689,174.0,-0.5098039215686274,51,25,5.1647859739235145
DefinitelyTyped,118,0.8363734218639073,0.7377049180327869,49,5230,0.009369024856596558,8.562357743370612,4.77912349311153,0.1828036828036828,6734.0,-0.6777662157474853,2883,929,8.815073088844464
FFmpeg,1,0.0,0.01639344262295082,1,601,0.0016638935108153079,6.400257445308821,0.6931471805599453,0.3054945054945055,455.0,-0.1295336787564766,193,168,6.1224928095143865
FreeRDP,14,0.4701692721489071,0.13114754098360656,4,179,0.0223463687150838,5.19295685089021,2.70805020110221,0.2941176470588235,170.0,0.0943396226415094,53,58,5.14166355650266
Ghost,43,0.7697769648545961,0.45901639344262296,16,235,0.06808510638297872,5.4638318050256105,3.784189633918261,0.3016759776536313,358.0,1.5416666666666667,48,122,5.883322388488279
HanLP,44,0.7242534624510166,0.4262295081967213,2,9,0.2222222222222222,2.302585092994046,3.8066624897703196,0.2,10.0,-0.25,4,3,2.3978952727983707
Marlin,38,0.7594537321440243,0.4098360655737705,17,311,0.05466237942122187,5.7430031878094825,3.6635616461296463,0.3019271948608137,467.0,-0.8,270,54,6.148468295917647
PHPMailer,33,0.7036281754698295,0.32786885245901637,8,65,0.12307692307692308,4.189654742026425,3.5263605246161616,0.1111111111111111,90.0,-0.5862068965517241,29,12,4.51085950651685
Python,39,0.4576451569212187,0.21311475409836064,0,171,0.0,5.147494476813453,3.6888794541139363,0.2860103626943005,1930.0,0.3128834355828221,489,642,7.565793282428515
Rocket.Chat,42,0.7039914676990063,0.36065573770491804,32,169,0.1893491124260355,5.135798437050262,3.7612001156935624,0.4063604240282685,283.0,-0.3846153846153846,117,72,5.648974238161206
TypeScript,33,0.7547230538605871,0.4098360655737705,19,260,0.07307692307692308,5.564520407322694,3.5263605246161616,0.2424242424242424,330.0,-0.5808823529411765,136,57,5.802118375377063
Vue-core,70,0.8072560800026701,0.5737704918032787,31,308,0.10064935064935066,5.733341276897746,4.2626798770413155,0.2440191387559808,418.0,-0.2538461538461538,130,97,6.037870919922137
WordPress,26,0.7049432050759928,0.32786885245901637,6,61,0.09836065573770492,4.127134385045092,3.295836866004329,0.9615384615384616,26.0,0.3333333333333333,33,44,3.295836866004329
airflow,487,0.9494497948149377,1.0,123,1389,0.08855291576673865,7.237059026124737,6.1903154058531475,0.300218818380744,2285.0,0.0749542961608775,547,588,7.734558844354756
angular,72,0.8450572874741697,0.639344262295082,49,1023,0.047898338220918865,6.931471805599453,4.290459441148391,0.1959334565619223,1082.0,-0.0714285714285714,350,325,6.9874902470009905
animate.css,11,0.46067777678505223,0.13114754098360656,7,17,0.4117647058823529,2.8903717578961645,2.4849066497880004,0.1052631578947368,19.0,-1.0,18,0,2.995732273553991
ansible,14,0.5937947401647133,0.19672131147540983,12,498,0.024096385542168676,6.212606095751519,2.70805020110221,0.1271056661562021,653.0,-0.7214765100671141,298,83,6.483107351457199
ant-design,61,0.8061254375457463,0.5409836065573771,24,824,0.02912621359223301,6.715383386334681,4.127134385045092,0.2123745819397993,1196.0,-0.3954154727793696,349,211,7.087573705557973
ardupilot,27,0.6923890037769667,0.3114754098360656,22,492,0.044715447154471545,6.20050917404269,3.332204510175204,0.3406374501992031,502.0,0.4933333333333333,150,224,6.220590170099739
aspnetcore,34,0.7134036130749906,0.36065573770491804,22,454,0.048458149779735685,6.12029741895095,3.5553480614894135,0.2466666666666666,600.0,-0.3983739837398374,246,148,6.398594934535208
axios,109,0.7811441940061188,0.6229508196721312,70,172,0.4069767441860465,5.153291594497779,4.700480365792417,0.0793650793650793,252.0,0.9,30,57,5.53338948872752
azure-quickstart-templates,4,0.3372261973790022,0.06557377049180328,3,351,0.008547008547008548,5.863631175598097,1.6094379124341003,0.3581780538302277,483.0,-0.5747663551401869,214,91,6.182084906716632
bitcoin,48,0.7932316726803152,0.4918032786885246,16,377,0.042440318302387266,5.934894195619588,3.8918202981106265,0.3682634730538922,334.0,-0.2125,160,126,5.814130531825066
bootstrap,83,0.8504291714741105,0.6557377049180327,24,257,0.0933852140077821,5.552959584921617,4.430816798843313,0.1623376623376623,308.0,-0.7191780821917808,146,41,5.733341276897746
core,12,0.5763694528173403,0.18032786885245902,9,1826,0.004928806133625411,7.510430556378006,2.5649493574615367,0.321857485988791,2498.0,0.0173410404624277,865,880,7.823645930834952
