repo,rc_n_commits_human,rc_entropy_norm,rc_awr,rc_n_contributors,unique_contributors_for_metrics,rc_participation_rate,log_contributors,log_rc_commits,retention_rate,n_newcomers,contributor_growth_y1_y5,y1_contributors,y5_contributors,log_newcomers
d3,9,0.4970212996199538,0.13114754098360656,3,10,0.3,2.3978952727983707,2.302585092994046,0.2,20.0,0.75,4,7,3.044522437723423
darknet,15,0.4748013448513826,0.14754098360655737,1,1,1.0,0.6931471805599453,2.772588722239781,0.0,1.0,-1.0,1,0,0.6931471805599453
django,9,0.4970212996199538,0.13114754098360656,6,870,0.006896551724137931,6.769641976852503,2.302585092994046,0.2104097452934662,903.0,-0.1691176470588235,272,226,6.806829360392176
dotfiles,4,0.1686130986895011,0.03278688524590164,0,13,0.0,2.6390573296152584,1.6094379124341003,,,-1.0,1,0,
dubbo,36,0.714767435600302,0.36065573770491804,17,208,0.08173076923076923,5.342334251964811,3.6109179126442243,0.3487654320987654,324.0,0.5277777777777778,36,55,5.783825182329737
echarts,20,0.5706177035265313,0.19672131147540983,9,154,0.05844155844155844,5.043425116919247,3.044522437723423,0.1704545454545454,176.0,-0.3829787234042553,47,29,5.176149732573829
elasticsearch,76,0.8727026789626775,0.6885245901639344,41,595,0.06890756302521009,6.39024066706535,4.343805421853684,0.4338781575037147,673.0,0.1755725190839694,262,308,6.513230110912307
electron,34,0.8181392038510308,0.4918032786885246,18,307,0.05863192182410423,5.730099782973574,3.5553480614894135,0.1911764705882352,408.0,-0.4580645161290322,155,84,6.013715156042802
erpnext,42,0.589591190282785,0.2786885245901639,18,280,0.06428571428571428,5.638354669333745,3.7612001156935624,0.5264550264550265,378.0,0.390625,128,178,5.937536205082426
etcd,77,0.8199182646938377,0.5573770491803278,39,444,0.08783783783783784,6.09807428216624,4.356708826689592,0.3033707865168539,445.0,-0.265625,128,94,6.100318952020064
flask,30,0.6277855883477053,0.2459016393442623,9,138,0.06521739130434782,4.9344739331306915,3.4339872044851463,0.0479041916167664,167.0,-0.7166666666666667,60,17,5.123963979403259
flink,13,0.5720616539465503,0.18032786885245902,10,882,0.011337868480725623,6.78332520060396,2.6390573296152584,0.3553530751708428,878.0,-0.4263157894736842,380,218,6.778784897685177
flutter,52,0.811152879671489,0.5245901639344263,34,978,0.034764826175869123,6.88653164253051,3.970291913552122,0.351242983159583,1247.0,-0.2640776699029126,515,379,7.129297548929373
framework,8,0.463686021396128,0.11475409836065574,6,1317,0.004555808656036446,7.183870715062453,2.1972245773362196,0.269927536231884,1656.0,0.0019305019305019,518,519,7.4127640174265625
gitignore,6,0.4358585372427558,0.09836065573770492,6,213,0.028169014084507043,5.365976015021851,1.9459101490553132,0.1094890510948905,274.0,0.3898305084745763,59,82,5.616771097666572
go,12,0.5482672697024235,0.16393442622950818,10,1079,0.009267840593141797,6.984716320118266,2.5649493574615367,0.3108571428571428,875.0,-0.1978021978021978,364,292,6.775366090936392
go-ethereum,42,0.7877149086766038,0.45901639344262296,31,416,0.07451923076923077,6.0330862217988015,3.7612001156935624,0.2619439868204283,607.0,0.4180327868852459,122,173,6.410174881966167
godot,23,0.6636915799996035,0.2786885245901639,13,1796,0.007238307349665924,7.493873886783559,3.1780538303479458,0.3527345709984947,1993.0,0.7906403940886699,406,727,7.597897950521784
grafana,25,0.7020806946553755,0.3114754098360656,23,980,0.02346938775510204,6.8885724595653635,3.258096538021482,0.35519888346127,1433.0,0.0337349397590361,415,429,7.2682230211595655
grpc,31,0.4246347415773083,0.18032786885245902,11,387,0.028423772609819122,5.961005339623274,3.4657359027997265,0.2941176470588235,442.0,-0.2903225806451613,155,110,6.093569770045136
guava,45,0.7541092931011185,0.4262295081967213,8,114,0.07017543859649122,4.74493212836325,3.828641396489095,0.1111111111111111,81.0,-0.5555555555555556,54,24,4.406719247264253
homebrew-cask,23,0.5995094621553528,0.21311475409836064,13,3456,0.003761574074074074,8.148156439921625,3.1780538303479458,0.3115280177733893,4051.0,-0.4004959702417855,1613,967,8.306965865368573
html5-boilerplate,29,0.6868167430296906,0.3114754098360656,11,18,0.6111111111111112,2.9444389791664403,3.4011973816621555,0.0769230769230769,26.0,-0.8,10,2,3.295836866004329
imgui,1,0.0,0.01639344262295082,1,230,0.004347826086956522,5.442417710521793,0.6931471805599453,0.1533101045296167,287.0,0.4057971014492754,69,97,5.662960480135946
ionic-framework,26,0.6400920132723386,0.26229508196721313,9,97,0.09278350515463918,4.584967478670572,3.295836866004329,0.2241379310344827,116.0,-0.275,40,29,4.762173934797756
java-design-patterns,37,0.6663427860687803,0.32786885245901637,25,122,0.20491803278688525,4.812184355372417,3.6375861597263857,0.1868131868131868,273.0,-0.2666666666666666,60,44,5.6131281063880705
jekyll,9,0.4970212996199538,0.13114754098360656,7,126,0.05555555555555555,4.844187086458591,2.302585092994046,0.0943396226415094,159.0,-0.6538461538461539,78,27,5.075173815233827
jenkins,41,0.7686484917432964,0.4426229508196721,17,173,0.09826589595375723,5.159055299214529,3.7376696182833684,0.2511627906976744,215.0,-0.2727272727272727,88,64,5.375278407684165
jquery,21,0.6221323795323829,0.2459016393442623,4,20,0.2,3.044522437723423,3.091042453358316,0.0526315789473684,19.0,-0.5,8,4,2.995732273553991
juice-shop,104,0.839572963177706,0.639344262295082,11,58,0.1896551724137931,4.07753744390572,4.653960350157523,0.3037974683544304,79.0,0.3636363636363636,22,30,4.382026634673881
kafka,58,0.7582565955276521,0.4426229508196721,27,561,0.0481283422459893,6.331501849893691,4.07753744390572,0.4005805515239477,689.0,0.1283185840707964,226,255,6.536691597591305
kubernetes,14,0.6178823256917849,0.21311475409836064,13,2019,0.0064388311045071814,7.61085279039525,2.70805020110221,0.4218477629285299,1721.0,-0.4054982817869416,873,519,7.451241684987676
lantern,32,0.3437169798450883,0.08196721311475409,4,4,1.0,1.6094379124341003,3.4965075614664802,1.0,6.0,,0,6,1.9459101490553132
laravel,23,0.6482974572280249,0.2786885245901639,13,142,0.09154929577464789,4.962844630259907,3.1780538303479458,0.1904761904761904,168.0,-0.3103448275862069,58,40,5.1298987149230735
markdown-here,7,0.31064788209524596,0.06557377049180328,2,2,1.0,1.0986122886681098,2.0794415416798357,0.0,2.0,,0,2,1.0986122886681098
material-ui,201,0.9316409574106306,0.9180327868852459,50,790,0.06329113924050633,6.673297967767654,5.308267697401205,0.1576470588235294,1275.0,-0.6111111111111112,432,168,7.151485463904735
metasploit-framework,48,0.5016941683731991,0.22950819672131148,21,318,0.0660377358490566,5.765191102784844,3.8918202981106265,0.3711340206185567,388.0,-0.4751381215469613,181,95,5.963579343618446
minimal-mistakes,34,0.6444699438018814,0.2786885245901639,10,55,0.18181818181818182,4.02535169073515,3.5553480614894135,0.0410958904109589,73.0,-0.6,35,14,4.30406509320417
moby,9,0.4970212996199538,0.13114754098360656,8,303,0.026402640264026403,5.717027701406222,2.302585092994046,0.213235294117647,272.0,-0.2371134020618556,97,74,5.60947179518496
mybatis-3,12,0.4639607203576728,0.13114754098360656,4,88,0.045454545454545456,4.48863636973214,2.5649493574615367,0.15625,96.0,-0.375,32,20,4.574710978503383
netty,25,0.604916573996566,0.26229508196721313,11,220,0.05,5.3981627015177525,3.258096538021482,0.2235294117647059,255.0,-0.4021739130434782,92,55,5.545177444479562
nixpkgs,133,0.7925466511694025,0.639344262295082,64,8008,0.007992007992007992,8.988321188323683,4.897839799950911,0.5326797385620915,8262.0,1.0881502890173411,2076,4335,9.019542996701185
node,275,0.9421749092253668,0.9508196721311475,133,991,0.13420787083753785,6.899723107284872,5.62040086571715,0.2938475665748393,1089.0,-0.0118343195266272,338,334,6.993932975223189
numpy,39,0.6077932015066086,0.29508196721311475,27,773,0.03492884864165589,6.651571873589727,3.6888794541139363,0.25,916.0,-0.2651757188498402,313,230,6.821107472256465
odoo,8,0.5058392960685033,0.13114754098360656,6,1496,0.004010695187165776,7.311218384419629,2.1972245773362196,0.6447270007479432,1337.0,0.9755501222493888,409,808,7.198931240688173
ohmyzsh,50,0.7577771640978175,0.4426229508196721,26,597,0.04355108877721943,6.393590753950631,3.9318256327243257,0.0850515463917525,776.0,-0.3316582914572864,199,133,6.655440350367647
opencv,7,0.4733568125293554,0.11475409836065574,6,578,0.010380622837370242,6.361302477572996,2.0794415416798357,0.2238805970149253,670.0,-0.2061403508771929,228,181,6.508769136971682
openssl,43,0.7648945863318692,0.4098360655737705,24,689,0.03483309143686502,6.536691597591305,3.784189633918261,0.3033033033033033,666.0,0.3275862068965517,174,231,6.502790045915623
pandas,31,0.7700728048209401,0.4098360655737705,27,834,0.03237410071942446,6.727431724850855,3.4657359027997265,0.2259740259740259,1540.0,-0.3829787234042553,470,290,7.340186835320115
pdf.js,24,0.7309314599493829,0.3442622950819672,9,98,0.09183673469387756,4.59511985013459,3.2188758248682006,0.1881188118811881,101.0,0.0625,32,34,4.624972813284271
protobuf,24,0.6606760021620908,0.26229508196721313,15,551,0.02722323049001815,6.313548046277095,3.2188758248682006,0.2685810810810811,592.0,0.0324675324675324,154,159,6.385194398997726
qmk_firmware,40,0.7508435551730515,0.3770491803278688,7,1109,0.0063119927862939585,7.01211529430638,3.713572066704308,0.3108504398826979,1705.0,-0.7055771725032426,771,227,7.441906728051625
rails,39,0.6354095003091372,0.2786885245901639,19,1480,0.012837837837837839,7.300472814267799,3.6888794541139363,0.2543988269794721,1364.0,0.0022026431718061,454,455,7.21890970761906
react,19,0.6385620783965438,0.2459016393442623,17,323,0.05263157894736842,5.780743515792329,2.995732273553991,0.1979695431472081,394.0,-0.12,125,110,5.978885764901122
react-native,25,0.7053870288783947,0.32786885245901637,23,1233,0.0186536901865369,7.1180162044653335,3.258096538021482,0.3358395989974937,1197.0,0.5222672064777328,247,376,7.088408778675395
react-router,33,0.5694292017954867,0.22950819672131148,20,380,0.05263157894736842,5.942799375126701,3.5263605246161616,0.1167608286252354,531.0,13.2,10,142,6.2766434893416445
redis,61,0.6593464020399391,0.4098360655737705,28,335,0.08358208955223881,5.817111159963204,4.127134385045092,0.3120567375886525,423.0,-0.5666666666666667,180,78,6.049733455231958
reveal.js,23,0.5903815370911248,0.22950819672131148,5,50,0.1,3.9318256327243257,3.1780538303479458,0.0363636363636363,55.0,-0.6,15,6,4.02535169073515
rust,657,0.9151577219223211,0.9836065573770492,191,3638,0.05250137438152831,8.19946419761216,6.489204931325317,0.4112047865107424,3677.0,0.0257648953301127,1242,1274,8.210124405164267
scrapy,46,0.6979715507869847,0.39344262295081966,14,165,0.08484848484848485,5.111987788356544,3.8501476017100584,0.1767241379310344,232.0,-0.4354838709677419,62,35,5.4510384535657
shadowsocks-android,7,0.3770064704210691,0.08196721311475409,2,8,0.25,2.1972245773362196,2.0794415416798357,0.25,8.0,-0.3333333333333333,6,4,2.1972245773362196
shadowsocks-windows,4,0.25291964803425165,0.04918032786885246,3,10,0.3,2.3978952727983707,1.6094379124341003,0.0,7.0,-0.875,8,1,2.0794415416798357
socket.io,101,0.7501624207286655,0.5409836065573771,25,104,0.2403846153846154,4.653960350157523,4.624972813284271,0.0671641791044776,134.0,-0.7916666666666666,48,10,4.90527477843843
spark,18,0.549810988533477,0.19672131147540983,6,1033,0.005808325266214908,6.9411900550683745,2.9444389791664403,0.4376344086021505,930.0,-0.1782729805013927,359,295,6.836259277277067
spring-boot,56,0.7254313628683332,0.39344262295081966,26,575,0.04521739130434783,6.3561076606958915,4.04305126783455,0.1725888324873096,591.0,-0.2921348314606741,178,126,6.3835066348840055
spring-framework,28,0.7096868134821513,0.32786885245901637,17,556,0.030575539568345324,6.322565239927284,3.367295829986474,0.1886792452830188,583.0,0.0769230769230769,130,140,6.369900982828227
symfony,56,0.6183297638001328,0.36065573770491804,27,1599,0.016885553470919325,7.3777589082278725,4.04305126783455,0.2448700410396717,1462.0,-0.2284644194756554,534,412,7.288244401020124
terraform,44,0.6921006324800123,0.36065573770491804,21,377,0.05570291777188329,5.934894195619588,3.8066624897703196,0.2152641878669275,511.0,-0.2485207100591716,169,127,6.238324625039508
three.js,44,0.7246361585048189,0.3770491803278688,16,599,0.02671118530884808,6.396929655216146,3.8066624897703196,0.2241847826086956,736.0,-0.2890625,256,182,6.602587892189336
todomvc,2,0.1686130986895011,0.03278688524590164,2,8,0.25,2.1972245773362196,1.0986122886681098,0.2222222222222222,9.0,0.3333333333333333,3,4,2.302585092994046
vscode,29,0.670799152744147,0.29508196721311475,21,1325,0.015849056603773583,7.189922170745808,3.4011973816621555,0.2712283594394064,1213.0,-0.2142857142857142,392,308,7.101675971619444
youtube-dl,17,0.534376843098833,0.18032786885245902,9,100,0.09,4.61512051684126,2.8903717578961645,0.1015625,128.0,-0.9484536082474226,97,5,4.859812404361672
zxing,17,0.6023651454168375,0.21311475409836064,8,25,0.32,3.258096538021482,2.8903717578961645,0.2333333333333333,30.0,-0.2857142857142857,7,5,3.4339872044851463
