repo,living_n_commits_human,living_entropy_norm,living_awr,living_n_contributors,living_median_staleness_days,living_n_files_touched,unique_contributors_for_metrics,living_participation_rate,log_contributors,log_living_commits,log_living_staleness
erpnext,42,0.589591190282785,0.2786885245901639,18,696.0,2,280,0.06428571428571428,5.638354669333745,3.7612001156935624,6.546785410760524
etcd,103,0.8603115462775327,0.6721311475409836,45,1165.0,9,444,0.10135135135135136,6.09807428216624,4.6443908991413725,7.061334366910438
flask,32,0.6243438750292691,0.2459016393442623,9,448.0,8,138,0.06521739130434782,4.9344739331306915,3.4965075614664802,6.1070228877422545
flink,17,0.6495261051615294,0.2459016393442623,12,292.0,2,882,0.013605442176870748,6.78332520060396,2.8903717578961645,5.680172609017068
flutter,89,0.8791307228506695,0.7049180327868853,45,202.5,6,978,0.046012269938650305,6.88653164253051,4.499809670330265,5.31566600488265
framework,402,0.903460751929737,0.819672131147541,23,1781.0,11,1317,0.017463933181473046,7.183870715062453,5.998936561946683,7.485491608030754
gitignore,7,0.42518164147521226,0.09836065573770492,7,93.5,2,213,0.03286384976525822,5.365976015021851,2.0794415416798357,4.548599834499697
go,15,0.568825943598689,0.18032786885245902,12,1260.0,8,1079,0.011121408711770158,6.984716320118266,2.772588722239781,7.13966033596492
go-ethereum,48,0.8116565616643828,0.5081967213114754,34,249.0,3,416,0.08173076923076923,6.0330862217988015,3.8918202981106265,5.521460917862246
godot,46,0.7617616775393596,0.45901639344262296,21,506.0,5,1796,0.011692650334075724,7.493873886783559,3.8501476017100584,6.2285110035911835
grafana,321,0.9087858486393584,0.9016393442622951,75,405.0,10,980,0.07653061224489796,6.8885724595653635,5.7745515455444085,6.0063531596017325
grpc,158,0.8388900952049368,0.6885245901639344,38,520.0,7,387,0.09819121447028424,5.961005339623274,5.0689042022202315,6.255750041753367
guava,46,0.7530944951682165,0.4262295081967213,8,590.0,3,114,0.07017543859649122,4.74493212836325,3.8501476017100584,6.3818160174060985
homebrew-cask,39,0.7117241539072521,0.36065573770491804,21,515.5,4,3456,0.006076388888888889,8.148156439921625,3.6888794541139363,6.247075288559693
html5-boilerplate,39,0.7409283209082461,0.39344262295081966,14,633.0,7,18,0.7777777777777778,2.9444389791664403,3.6888794541139363,6.452048954437226
imgui,8,0.42153274672375274,0.09836065573770492,2,542.0,3,230,0.008695652173913044,5.442417710521793,2.1972245773362196,6.297109319933935
ionic-framework,296,0.9117748188488232,0.8852459016393442,14,449.0,6,97,0.14432989690721648,4.584967478670572,5.6937321388027,6.1092475827643655
java-design-patterns,39,0.6813757416414817,0.3442622950819672,25,168.0,3,122,0.20491803278688525,4.812184355372417,3.6888794541139363,5.1298987149230735
jekyll,388,0.889046367043461,0.8852459016393442,13,1290.0,7,126,0.10317460317460317,4.844187086458591,5.963579343618446,7.1631723908466425
jenkins,59,0.8082319631819973,0.5245901639344263,19,795.0,7,173,0.10982658959537572,5.159055299214529,4.0943445622221,6.679599185844383
jquery,24,0.6694235970153091,0.29508196721311475,4,760.0,7,20,0.2,3.044522437723423,3.2188758248682006,6.634633357861686
juice-shop,140,0.8902799552794232,0.819672131147541,11,259.0,5,58,0.1896551724137931,4.07753744390572,4.948759890378168,5.560681631015528
kafka,59,0.7584313072484842,0.4426229508196721,27,124.0,3,561,0.0481283422459893,6.331501849893691,4.0943445622221,4.8283137373023015
kubernetes,21,0.6703075505865258,0.2786885245901639,19,906.0,5,2019,0.009410599306587419,7.61085279039525,3.091042453358316,6.810142450115136
lantern,32,0.3437169798450883,0.08196721311475409,4,16.0,1,4,1.0,1.6094379124341003,3.4965075614664802,2.833213344056216
laravel,184,0.9502814707915759,0.9672131147540983,18,43.0,2,142,0.1267605633802817,4.962844630259907,5.220355825078324,3.784189633918261
markdown-here,7,0.31064788209524596,0.06557377049180328,2,209.0,2,2,1.0,1.0986122886681098,2.0794415416798357,5.3471075307174685
material-ui,583,0.9779650964968669,1.0,67,112.0,8,790,0.08481012658227848,6.673297967767654,6.369900982828227,4.727387818712341
metasploit-framework,55,0.5747298743312732,0.3114754098360656,25,1107.0,7,318,0.07861635220125786,5.765191102784844,4.02535169073515,7.010311867307229
minimal-mistakes,204,0.7105378481524905,0.47540983606557374,10,572.5,4,55,0.18181818181818182,4.02535169073515,5.3230099791384085,6.351757936569426
moby,47,0.7795350860554209,0.45901639344262296,19,260.0,7,303,0.0627062706270627,5.717027701406222,3.871201010907891,5.564520407322694
mybatis-3,14,0.5215319835834986,0.16393442622950818,5,165.0,3,88,0.056818181818181816,4.48863636973214,2.70805020110221,5.111987788356544
netty,30,0.6227463220012817,0.2786885245901639,12,1824.0,6,220,0.05454545454545454,5.3981627015177525,3.4339872044851463,7.509335266016592
nixpkgs,160,0.8192601422976038,0.6885245901639344,76,20.0,5,8008,0.00949050949050949,8.988321188323683,5.081404364984463,3.044522437723423
node,707,0.9767459275459996,1.0,168,97.0,9,991,0.16952573158425832,6.899723107284872,6.56244409369372,4.584967478670572
numpy,50,0.6462076249601427,0.32786885245901637,32,1080.0,6,773,0.04139715394566624,6.651571873589727,3.9318256327243257,6.985641817639208
odoo,15,0.6137894365825559,0.21311475409836064,11,178.0,5,1496,0.007352941176470588,7.311218384419629,2.772588722239781,5.187385805840755
ohmyzsh,53,0.7598747433151173,0.4426229508196721,26,656.5,4,597,0.04355108877721943,6.393590753950631,3.9889840465642745,6.48844476405192
opencv,14,0.5606154460018018,0.18032786885245902,10,642.5,4,578,0.01730103806228374,6.361302477572996,2.70805020110221,6.466922027036182
openssl,48,0.7748067836962476,0.4426229508196721,27,1396.0,7,689,0.03918722786647315,6.536691597591305,3.8918202981106265,7.242082359256962
pandas,40,0.772953421953933,0.4262295081967213,32,1049.5,6,834,0.03836930455635491,6.727431724850855,3.713572066704308,6.957021520285055
pdf.js,27,0.7143073015244675,0.3442622950819672,9,370.0,3,98,0.09183673469387756,4.59511985013459,3.332204510175204,5.916202062607435
protobuf,28,0.65636440859697,0.2786885245901639,18,916.0,4,551,0.032667876588021776,6.313548046277095,3.367295829986474,6.821107472256465
qmk_firmware,43,0.7600122078091428,0.39344262295081966,8,288.0,3,1109,0.007213706041478809,7.01211529430638,3.784189633918261,5.666426688112432
rails,51,0.7079516285291358,0.36065573770491804,28,543.0,6,1480,0.01891891891891892,7.300472814267799,3.9512437185814275,6.298949246855942
react,63,0.7566717916133789,0.45901639344262296,37,864.0,7,323,0.11455108359133127,5.780743515792329,4.1588830833596715,6.762729506931879
react-native,215,0.9010257352032137,0.8852459016393442,54,1223.0,8,1233,0.043795620437956206,7.1180162044653335,5.375278407684165,7.1098794630722715
react-router,170,0.7654905682937972,0.4918032786885246,32,152.5,8,380,0.08421052631578947,5.942799375126701,5.14166355650266,5.033700567027251
redis,66,0.6921699950258775,0.45901639344262296,30,700.0,8,335,0.08955223880597014,5.817111159963204,4.204692619390966,6.55250788703459
reveal.js,23,0.5903815370911248,0.22950819672131148,5,1322.0,3,50,0.1,3.9318256327243257,3.1780538303479458,7.187657164114956
rust,1767,0.9753631056026502,1.0,447,35.0,9,3638,0.122869708631116,8.19946419761216,7.477604243197589,3.58351893845611
scrapy,51,0.7107246215028619,0.4098360655737705,17,357.5,4,165,0.10303030303030303,5.111987788356544,3.9512437185814275,5.881928660039675
shadowsocks-android,9,0.459551722133398,0.11475409836065574,2,922.0,3,8,0.25,2.1972245773362196,2.302585092994046,6.827629234502852
shadowsocks-windows,4,0.25291964803425165,0.04918032786885246,3,1813.0,3,10,0.3,2.3978952727983707,1.6094379124341003,7.503289630675082
socket.io,347,0.8327198809120278,0.7213114754098361,28,356.0,8,104,0.2692307692307692,4.653960350157523,5.8522024797744745,5.877735781779639
spark,24,0.6581149941748579,0.29508196721311475,11,103.5,2,1033,0.010648596321393998,6.9411900550683745,3.2188758248682006,4.6491870714048655
spring-boot,59,0.7307287652409399,0.4098360655737705,27,423.0,6,575,0.04695652173913043,6.3561076606958915,4.0943445622221,6.049733455231958
spring-framework,35,0.7034303892605933,0.32786885245901637,18,257.0,5,556,0.03237410071942446,6.322565239927284,3.58351893845611,5.552959584921617
symfony,96,0.785893375062821,0.6229508196721312,39,1265.5,8,1599,0.024390243902439025,7.3777589082278725,4.574710978503383,7.14401246944173
terraform,555,0.9187570575662436,0.9180327868852459,53,401.0,8,377,0.14058355437665782,5.934894195619588,6.320768294250582,5.996452088619021
three.js,54,0.768547042624304,0.4426229508196721,18,1029.0,6,599,0.03005008347245409,6.396929655216146,4.007333185232471,6.937314081223682
todomvc,3,0.15483670609358735,0.03278688524590164,2,538.0,3,8,0.25,2.1972245773362196,1.3862943611198906,6.289715570908998
vscode,34,0.7114677386865149,0.3442622950819672,25,653.5,4,1325,0.018867924528301886,7.189922170745808,3.5553480614894135,6.483871585349955
youtube-dl,103,0.5627217415908393,0.2786885245901639,10,1208.5,4,100,0.1,4.61512051684126,4.6443908991413725,7.097962330050082
zxing,18,0.5952873742016478,0.21311475409836064,8,499.0,3,25,0.32,3.258096538021482,2.9444389791664403,6.214608098422191
