repo,living_n_commits_human,living_entropy_norm,living_awr,living_n_contributors,living_median_staleness_days,living_n_files_touched,unique_contributors_for_metrics,living_participation_rate,log_contributors,log_living_commits,log_living_staleness
AdminLTE,29,0.5989087604694024,0.2459016393442623,8,349.0,4,21,0.38095238095238093,3.091042453358316,3.4011973816621555,5.857933154483459
AspNetCore.Docs,25,0.696989337819305,0.3114754098360656,14,994.5,4,521,0.026871401151631478,6.257667587882639,3.258096538021482,6.903245123504251
Chart.js,22,0.6081767791890642,0.22950819672131148,10,1077.0,2,119,0.08403361344537816,4.787491742782046,3.1354942159291497,6.982862751468942
DefinitelyTyped,123,0.8444906552249595,0.7704918032786885,50,643.5,6,5230,0.009560229445506692,8.562357743370612,4.820281565605037,6.468474822379242
FFmpeg,409,0.9435422423618961,0.9672131147540983,86,143.0,4,601,0.14309484193011648,6.400257445308821,6.016157159698354,4.969813299576001
FreeRDP,53,0.7307802444542505,0.4098360655737705,7,136.0,5,179,0.03910614525139665,5.19295685089021,3.9889840465642745,4.919980925828125
Ghost,52,0.795734873601109,0.5081967213114754,17,94.0,5,235,0.07234042553191489,5.4638318050256105,3.970291913552122,4.553876891600541
HanLP,44,0.7242534624510166,0.4262295081967213,2,689.0,2,9,0.2222222222222222,2.302585092994046,3.8066624897703196,6.536691597591305
Marlin,40,0.766589225908845,0.4262295081967213,18,579.0,5,311,0.05787781350482315,5.7430031878094825,3.713572066704308,6.363028103540465
PHPMailer,115,0.8035379139988229,0.5737704918032787,10,193.0,4,65,0.15384615384615385,4.189654742026425,4.7535901911063645,5.267858159063328
Python,42,0.46095404321606165,0.22950819672131148,0,1723.0,3,171,0.0,5.147494476813453,3.7612001156935624,7.452402451223638
Rocket.Chat,388,0.8709404992912355,0.7213114754098361,42,630.5,6,169,0.2485207100591716,5.135798437050262,5.963579343618446,6.448097941790546
TypeScript,38,0.775027259490933,0.4426229508196721,24,662.0,7,260,0.09230769230769231,5.564520407322694,3.6635616461296463,6.4967749901858625
Vue-core,317,0.8914699695750933,0.8688524590163934,42,199.5,4,308,0.13636363636363635,5.733341276897746,5.762051382780177,5.300814246746624
WordPress,26,0.7049432050759928,0.32786885245901637,6,11.0,1,61,0.09836065573770492,4.127134385045092,3.295836866004329,2.4849066497880004
airflow,552,0.9502626434464538,1.0,131,556.5,8,1389,0.09431245500359971,7.237059026124737,6.315358001522335,6.323462503334274
angular,683,0.9888936569387247,1.0,86,117.0,7,1023,0.08406647116324535,6.931471805599453,6.52795791762255,4.770684624465665
animate.css,12,0.49206290347258974,0.14754098360655737,7,1426.0,5,17,0.4117647058823529,2.8903717578961645,2.5649493574615367,7.2633296174768365
ansible,18,0.6094300320796212,0.21311475409836064,14,382.5,4,498,0.028112449799196786,6.212606095751519,2.9444389791664403,5.949339620807311
ant-design,547,0.9721481721537246,1.0,55,890.5,8,824,0.06674757281553398,6.715383386334681,6.306275286948016,6.792905437303195
ardupilot,28,0.7051409591642314,0.32786885245901637,22,1530.5,4,492,0.044715447154471545,6.20050917404269,3.367295829986474,7.33400292627283
aspnetcore,37,0.71489890178309,0.36065573770491804,23,763.0,4,454,0.05066079295154185,6.12029741895095,3.6375861597263857,6.638567789166521
axios,158,0.8074911673397316,0.7049180327868853,83,95.0,7,172,0.48255813953488375,5.153291594497779,5.0689042022202315,4.564348191467836
azure-quickstart-templates,4,0.3372261973790022,0.06557377049180328,3,644.5,2,351,0.008547008547008548,5.863631175598097,1.6094379124341003,6.470025210286697
bitcoin,60,0.8603448885717196,0.639344262295082,19,47.0,5,377,0.050397877984084884,5.934894195619588,4.110873864173311,3.871201010907891
bootstrap,88,0.8630245209581516,0.6885245901639344,26,75.0,6,257,0.10116731517509728,5.552959584921617,4.48863636973214,4.330733340286331
core,30,0.7444371181707646,0.3770491803278688,23,401.0,5,1826,0.012595837897042717,7.510430556378006,3.4339872044851463,5.996452088619021
d3,10,0.4926753502268687,0.13114754098360656,3,498.5,2,10,0.3,2.3978952727983707,2.3978952727983707,6.2136075980886085
darknet,15,0.4748013448513826,0.14754098360655737,1,1078.0,1,1,1.0,0.6931471805599453,2.772588722239781,6.983789965258135
django,13,0.5980021306680121,0.19672131147540983,10,1333.0,5,870,0.011494252873563218,6.769641976852503,2.6390573296152584,7.195937226475569
dotfiles,4,0.1686130986895011,0.03278688524590164,0,1468.0,1,13,0.0,2.6390573296152584,1.6094379124341003,7.292337176173877
dubbo,39,0.737664630628714,0.39344262295081966,19,538.0,5,208,0.09134615384615384,5.342334251964811,3.6888794541139363,6.289715570908998
echarts,24,0.599168139228017,0.22950819672131148,9,993.5,4,154,0.05844155844155844,5.043425116919247,3.2188758248682006,6.902240098294027
elasticsearch,87,0.8867544374584594,0.7049180327868853,45,55.0,5,595,0.07563025210084033,6.39024066706535,4.477336814478207,4.02535169073515
electron,43,0.8227519654610502,0.5245901639344263,21,136.0,5,307,0.06840390879478828,5.730099782973574,3.784189633918261,4.919980925828125
