repo,since,until,months,include_merges,total_commits_in_range,health_file_commits,active_months,active_month_rate,entropy_norm,top1_month_share,top3_month_share,top6_month_share,gini_month_concentration,cluster_id,archetype
socket.io,2016-05-30,2026-05-29,121,no,1982,527,74,0.61157,0.817176,0.060721,0.157495,0.271347,0.682736,1,Occasional
shadowsocks-android,2016-05-30,2026-05-29,121,no,2436,97,34,0.280992,0.668634,0.113402,0.268041,0.443299,0.840419,1,Occasional
spring-framework,2016-05-30,2026-05-29,121,no,19488,100,43,0.355372,0.712198,0.170000,0.280000,0.400000,0.787438,1,Occasional
erpnext,2016-05-30,2026-05-29,121,no,30455,90,41,0.338843,0.716901,0.144444,0.255556,0.377778,0.786226,1,Occasional
ohmyzsh,2016-05-30,2026-05-29,121,no,3645,117,57,0.471074,0.790068,0.094017,0.179487,0.299145,0.700996,1,Occasional
kafka,2016-05-30,2026-05-29,121,no,15161,123,65,0.53719,0.833717,0.056911,0.138211,0.235772,0.631190,1,Occasional
d3,2016-05-30,2026-05-29,121,no,787,52,21,0.173554,0.500473,0.365385,0.576923,0.692308,0.915448,2,Sparse
Rocket.Chat,2016-05-30,2026-05-29,121,no,19522,910,99,0.818182,0.91538,0.029670,0.082418,0.147253,0.463536,0,Consistent
azure-quickstart-templates,2016-05-30,2026-05-29,121,no,26071,57,22,0.181818,0.534483,0.315789,0.508772,0.649123,0.906771,2,Sparse
moby,2016-05-30,2026-05-29,121,no,18787,224,76,0.628099,0.843401,0.062500,0.160714,0.258929,0.625295,0,Consistent
etcd,2016-05-30,2026-05-29,121,no,10171,229,82,0.677686,0.860836,0.056769,0.144105,0.240175,0.593742,0,Consistent
homebrew-cask,2016-05-30,2026-05-29,121,no,261669,167,60,0.495868,0.788771,0.077844,0.197605,0.323353,0.713218,1,Occasional
html5-boilerplate,2016-05-30,2026-05-29,121,no,785,96,48,0.396694,0.763892,0.072917,0.166667,0.291667,0.738464,1,Occasional
youtube-dl,2016-05-30,2026-05-29,121,no,6497,1043,64,0.528926,0.78237,0.066155,0.182167,0.319271,0.732455,1,Occasional
java-design-patterns,2016-05-30,2026-05-29,121,no,2755,481,64,0.528926,0.691325,0.255717,0.378378,0.503119,0.794282,1,Occasional
symfony,2016-05-30,2026-05-29,121,no,25198,294,120,0.991736,0.953744,0.040816,0.102041,0.173469,0.350649,0,Consistent
dubbo,2016-05-30,2026-05-29,121,no,6602,186,66,0.545455,0.814452,0.064516,0.161290,0.279570,0.677330,1,Occasional
jenkins,2016-05-30,2026-05-29,121,no,11888,238,60,0.495868,0.732513,0.092437,0.252101,0.441176,0.779360,1,Occasional
node,2016-05-30,2026-05-29,121,no,32895,1965,121,1.0,0.979025,0.025954,0.070229,0.116031,0.242727,0,Consistent
kubernetes,2016-05-30,2026-05-29,121,no,64348,316,61,0.504132,0.723406,0.104430,0.253165,0.401899,0.795324,1,Occasional
qmk_firmware,2016-05-30,2026-05-29,121,no,20366,160,56,0.46281,0.744551,0.156250,0.312500,0.431250,0.741116,1,Occasional
darknet,2016-05-30,2026-05-29,121,no,174,21,14,0.115702,0.508438,0.238095,0.476190,0.619048,0.916962,2,Sparse
HanLP,2016-05-30,2026-05-29,121,no,1247,120,57,0.471074,0.762701,0.133333,0.283333,0.391667,0.721488,1,Occasional
electron,2016-05-30,2026-05-29,121,no,18046,158,78,0.644628,0.847168,0.088608,0.183544,0.291139,0.593995,0,Consistent
openssl,2016-05-30,2026-05-29,121,no,23025,124,61,0.504132,0.821955,0.048387,0.137097,0.250000,0.652093,1,Occasional
vscode,2016-05-30,2026-05-29,121,no,135802,123,62,0.512397,0.809799,0.105691,0.195122,0.276423,0.661560,1,Occasional
echarts,2016-05-30,2026-05-29,121,no,5663,142,53,0.438017,0.769532,0.091549,0.197183,0.309859,0.737050,1,Occasional
reveal.js,2016-05-30,2026-05-29,121,no,1276,179,54,0.446281,0.755559,0.078212,0.201117,0.351955,0.759961,1,Occasional
AspNetCore.Docs,2016-05-30,2026-05-29,121,no,15811,85,45,0.371901,0.735066,0.117647,0.258824,0.388235,0.764220,1,Occasional
django,2016-05-30,2026-05-29,121,no,11981,395,109,0.900826,0.945485,0.025316,0.070886,0.131646,0.379496,0,Consistent
shadowsocks-windows,2016-05-30,2026-05-29,121,no,630,38,24,0.198347,0.633913,0.105263,0.289474,0.447368,0.854284,2,Sparse
