repo,n_newcomers,n_retained,retention_rate
AdminLTE,24,4,0.16666666666666666
AspNetCore.Docs,732,116,0.15846994535519127
Chart.js,174,18,0.10344827586206896
DefinitelyTyped,6734,1231,0.1828036828036828
FFmpeg,455,139,0.3054945054945055
FreeRDP,170,50,0.29411764705882354
Ghost,358,108,0.3016759776536313
HanLP,10,2,0.2
Marlin,467,141,0.3019271948608137
PHPMailer,90,10,0.1111111111111111
Python,1930,552,0.2860103626943005
Rocket.Chat,283,115,0.40636042402826855
TypeScript,330,80,0.24242424242424243
Vue-core,418,102,0.24401913875598086
WordPress,26,25,0.9615384615384616
airflow,2285,686,0.300218818380744
angular,1082,212,0.19593345656192238
animate.css,19,2,0.10526315789473684
ansible,653,83,0.12710566615620214
ant-design,1196,254,0.21237458193979933
ardupilot,502,171,0.34063745019920316
aspnetcore,600,148,0.24666666666666667
axios,252,20,0.07936507936507936
azure-quickstart-templates,483,173,0.3581780538302277
bitcoin,334,123,0.36826347305389223
bootstrap,308,50,0.16233766233766234
core,2498,804,0.32185748598879105
d3,20,4,0.2
darknet,1,0,0.0
django,903,190,0.21040974529346623
dotfiles,0,0,
dubbo,324,113,0.3487654320987654
echarts,176,30,0.17045454545454544
elasticsearch,673,292,0.4338781575037147
electron,408,78,0.19117647058823528
erpnext,378,199,0.5264550264550265
etcd,445,135,0.30337078651685395
flask,167,8,0.04790419161676647
flink,878,312,0.3553530751708428
flutter,1247,438,0.351242983159583
framework,1656,447,0.26992753623188404
gitignore,274,30,0.10948905109489052
go,875,272,0.31085714285714283
go-ethereum,607,159,0.26194398682042835
godot,1993,703,0.35273457099849476
grafana,1433,509,0.35519888346127004
grpc,442,130,0.29411764705882354
guava,81,9,0.1111111111111111
homebrew-cask,4051,1262,0.3115280177733893
html5-boilerplate,26,2,0.07692307692307693
imgui,287,44,0.15331010452961671
ionic-framework,116,26,0.22413793103448276
java-design-patterns,273,51,0.18681318681318682
jekyll,159,15,0.09433962264150944
jenkins,215,54,0.25116279069767444
jquery,19,1,0.05263157894736842
juice-shop,79,24,0.3037974683544304
kafka,689,276,0.4005805515239477
kubernetes,1721,726,0.42184776292852993
lantern,6,6,1.0
laravel,168,32,0.19047619047619047
markdown-here,2,0,0.0
material-ui,1275,201,0.15764705882352942
metasploit-framework,388,144,0.3711340206185567
minimal-mistakes,73,3,0.0410958904109589
moby,272,58,0.21323529411764705
mybatis-3,96,15,0.15625
netty,255,57,0.2235294117647059
nixpkgs,8262,4401,0.5326797385620915
node,1089,320,0.2938475665748393
numpy,916,229,0.25
odoo,1337,862,0.6447270007479432
ohmyzsh,776,66,0.08505154639175258
opencv,670,150,0.22388059701492538
openssl,666,202,0.3033033033033033
pandas,1540,348,0.22597402597402597
pdf.js,101,19,0.18811881188118812
protobuf,592,159,0.2685810810810811
qmk_firmware,1705,530,0.31085043988269795
rails,1364,347,0.25439882697947214
react,394,78,0.19796954314720813
react-native,1197,402,0.3358395989974937
react-router,531,62,0.1167608286252354
redis,423,132,0.3120567375886525
reveal.js,55,2,0.03636363636363636
rust,3677,1512,0.41120478651074244
scrapy,232,41,0.17672413793103448
shadowsocks-android,8,2,0.25
shadowsocks-windows,7,0,0.0
socket.io,134,9,0.06716417910447761
spark,930,407,0.4376344086021505
spring-boot,591,102,0.17258883248730963
spring-framework,583,110,0.18867924528301888
symfony,1462,358,0.2448700410396717
terraform,511,110,0.21526418786692758
three.js,736,165,0.22418478260869565
todomvc,9,2,0.2222222222222222
vscode,1213,329,0.27122835943940643
youtube-dl,128,13,0.1015625
zxing,30,7,0.23333333333333334
