repo,year,entropy_norm,active_month_rate,health_file_commits,valid,archetype
core,1,0.708894,0.538462,20,True,Occasional
core,2,0.483707,0.307692,11,True,Sparse
core,3,0.801414,0.692308,19,True,Consistent
core,4,0.627474,0.461538,10,True,Occasional
core,5,0.582536,0.384615,8,True,Sparse
core,6,0.405357,0.230769,4,True,Sparse
core,7,0.675595,0.461538,8,True,Occasional
core,8,0.627474,0.384615,5,True,Sparse
core,9,0.428317,0.230769,3,True,Sparse
core,10,0.428317,0.230769,3,True,Sparse
bootstrap,1,0.874395,0.846154,27,True,Consistent
bootstrap,2,0.851301,0.846154,44,True,Consistent
bootstrap,3,0.818085,0.923077,36,True,Consistent
bootstrap,4,0.742193,0.615385,20,True,Occasional
bootstrap,5,0.801399,0.769231,31,True,Consistent
bootstrap,6,0.919888,0.923077,21,True,Consistent
bootstrap,7,0.800934,0.769231,23,True,Consistent
bootstrap,8,0.652109,0.461538,11,True,Occasional
bootstrap,9,0.390931,0.307692,9,True,Sparse
bootstrap,10,0.527022,0.307692,7,True,Sparse
dotfiles,1,0.428317,0.230769,3,True,Sparse
Chart.js,1,0.82986,0.769231,19,True,Consistent
Chart.js,2,0.681444,0.461538,7,True,Occasional
Chart.js,3,0.484397,0.307692,6,True,Sparse
Chart.js,5,0.743155,0.538462,8,True,Occasional
Chart.js,6,0.519378,0.307692,5,True,Sparse
Chart.js,7,0.553026,0.384615,10,True,Sparse
WordPress,1,0.681444,0.461538,7,True,Occasional
WordPress,3,0.394317,0.230769,6,True,Sparse
WordPress,4,0.519378,0.307692,5,True,Sparse
WordPress,5,0.405357,0.230769,4,True,Sparse
WordPress,6,0.57109,0.384615,9,True,Sparse
WordPress,7,0.698555,0.461538,6,True,Occasional
WordPress,8,0.758654,0.538462,7,True,Occasional
WordPress,9,0.405357,0.230769,4,True,Sparse
WordPress,10,0.370483,0.230769,5,True,Sparse
react-native,1,0.944333,1.0,35,True,Consistent
react-native,2,0.923514,1.0,40,True,Consistent
react-native,3,0.847323,0.846154,31,True,Consistent
react-native,4,0.776432,0.615385,13,True,Occasional
react-native,5,0.497879,0.307692,7,True,Sparse
react-native,6,0.916325,0.923077,22,True,Consistent
react-native,7,0.931736,0.923077,38,True,Consistent
react-native,8,0.869466,0.923077,61,True,Consistent
react-native,9,0.934465,0.923077,85,True,Consistent
react-native,10,0.938391,0.923077,77,True,Consistent
pdf.js,1,0.55637,0.384615,9,True,Sparse
pdf.js,2,0.636516,0.461538,12,True,Occasional
pdf.js,3,0.604233,0.384615,7,True,Sparse
pdf.js,4,0.338238,0.230769,6,True,Sparse
pdf.js,5,0.608476,0.384615,6,True,Sparse
pdf.js,6,0.428317,0.230769,3,True,Sparse
pdf.js,7,0.608476,0.384615,6,True,Sparse
pdf.js,8,0.405357,0.230769,4,True,Sparse
pdf.js,9,0.689199,0.538462,11,True,Occasional
pdf.js,10,0.219238,0.153846,4,True,Sparse
DefinitelyTyped,1,0.846803,0.846154,72,True,Consistent
DefinitelyTyped,2,0.758853,0.769231,31,True,Consistent
DefinitelyTyped,3,0.730633,0.615385,26,True,Occasional
DefinitelyTyped,4,0.899449,0.923077,33,True,Consistent
DefinitelyTyped,5,0.807084,0.846154,52,True,Consistent
DefinitelyTyped,6,0.786512,0.692308,21,True,Occasional
DefinitelyTyped,7,0.8124,0.692308,15,True,Consistent
DefinitelyTyped,8,0.782643,0.769231,29,True,Consistent
DefinitelyTyped,9,0.810714,0.615385,8,True,Occasional
DefinitelyTyped,10,0.405357,0.230769,4,True,Sparse
Python,1,0.796348,0.846154,46,True,Consistent
Python,2,0.81683,0.692308,22,True,Consistent
Python,3,0.838739,0.769231,20,True,Consistent
Python,4,0.835865,0.692308,14,True,Consistent
Python,5,0.82986,0.769231,19,True,Consistent
Python,6,0.867191,0.769231,22,True,Consistent
Python,7,0.886752,0.923077,19,True,Consistent
Python,8,0.852774,0.769231,16,True,Consistent
Python,9,0.806723,0.692308,14,True,Consistent
Python,10,0.874471,0.769231,14,True,Consistent
grpc,1,0.726595,0.538462,12,True,Occasional
grpc,2,0.813534,0.692308,21,True,Consistent
grpc,3,0.806599,0.692308,19,True,Consistent
grpc,4,0.865495,0.769231,76,True,Consistent
grpc,5,0.93837,0.923077,55,True,Consistent
grpc,6,0.979754,1.0,62,True,Consistent
grpc,7,0.57509,0.384615,7,True,Sparse
grpc,8,0.661121,0.461538,10,True,Occasional
grpc,9,0.743155,0.538462,8,True,Occasional
grpc,10,0.519378,0.307692,5,True,Sparse
framework,1,0.771635,0.692308,24,True,Occasional
framework,2,0.593756,0.384615,9,True,Sparse
framework,3,0.411205,0.307692,14,True,Sparse
framework,4,0.608036,0.384615,8,True,Sparse
framework,5,0.519378,0.307692,5,True,Sparse
framework,6,0.631945,0.461538,36,True,Occasional
framework,7,0.943824,1.0,111,True,Consistent
framework,8,0.947873,1.0,126,True,Consistent
