project_name,repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
mybatis-3,mybatis-3,2020-06-30,2025-06-29,0.500,no,no,1340,16,5,0.625000,0.875000,1.000000,1.000000,1,2,14,5,0.571429,0.857143,1.000000,1.000000,1,3,2,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,16,16
ionic-framework,ionic-framework,2020-06-30,2025-06-29,0.500,no,no,3200,339,14,0.491582,0.851852,0.925926,0.986532,2,3,49,12,0.448980,0.673469,0.816327,0.959184,2,5,23,4,0.565217,0.956522,1.000000,1.000000,1,3,267,8,0.648889,0.951111,0.982222,1.000000,1,2,True,339,339
imgui,imgui,2020-06-30,2025-06-29,0.500,no,no,3319,13,3,0.692308,1.000000,1.000000,1.000000,1,2,12,3,0.666667,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,13,13
TypeScript,TypeScript,2020-06-30,2025-06-29,0.500,no,no,5705,39,26,0.256410,0.384615,0.461538,0.589744,7,19,32,24,0.187500,0.343750,0.406250,0.562500,8,18,1,1,1.000000,1.000000,1.000000,1.000000,1,1,6,4,0.500000,0.833333,1.000000,1.000000,1,3,True,39,39
odoo,odoo,2020-06-30,2025-06-29,0.500,no,no,47931,15,11,0.200000,0.466667,0.600000,0.933333,4,8,15,11,0.200000,0.466667,0.600000,0.933333,4,8,0,0,,,,,,,0,0,,,,,,,True,15,15
rust,rust,2020-06-30,2025-06-29,0.500,no,no,100583,1715,426,0.056725,0.148538,0.222807,0.361404,19,125,1425,408,0.054930,0.142254,0.207746,0.322535,25,142,76,32,0.210526,0.447368,0.552632,0.697368,4,17,214,34,0.299065,0.612150,0.761682,0.864486,3,7,True,1715,1715
animate.css,animate.css,2020-06-30,2025-06-29,0.500,no,no,173,12,7,0.333333,0.666667,0.833333,1.000000,2,5,10,6,0.400000,0.700000,0.900000,1.000000,2,4,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,12,12
jquery,jquery,2020-06-30,2025-06-29,0.500,no,no,265,25,4,0.480000,0.960000,1.000000,1.000000,2,2,16,4,0.500000,0.937500,1.000000,1.000000,1,3,3,1,1.000000,1.000000,1.000000,1.000000,1,1,6,2,0.833333,1.000000,1.000000,1.000000,1,1,True,25,25
Vue-core,Vue-core,2020-06-30,2025-06-29,0.500,no,no,4457,321,42,0.727273,0.858934,0.877743,0.899687,1,2,89,41,0.449438,0.539326,0.595506,0.651685,3,24,165,4,0.792683,0.993902,1.000000,1.000000,1,2,67,3,0.939394,1.000000,1.000000,1.000000,1,1,True,321,321
lantern,lantern,2020-06-30,2025-06-29,0.500,no,no,538,32,4,0.500000,0.968750,1.000000,1.000000,1,2,23,4,0.478261,0.956522,1.000000,1.000000,2,2,3,1,1.000000,1.000000,1.000000,1.000000,1,1,6,3,0.666667,1.000000,1.000000,1.000000,1,2,True,32,32
three.js,three.js,2020-06-30,2025-06-29,0.500,no,no,10614,64,23,0.343750,0.562500,0.671875,0.796875,3,11,57,22,0.350877,0.596491,0.684211,0.789474,2,11,3,2,0.666667,1.000000,1.000000,1.000000,1,2,4,3,0.500000,1.000000,1.000000,1.000000,1,3,True,64,64
angular,angular,2020-06-30,2025-06-29,0.500,no,no,14945,695,88,0.130814,0.363372,0.523256,0.738372,5,13,509,82,0.135458,0.358566,0.515936,0.715139,5,14,172,24,0.156977,0.406977,0.587209,0.837209,4,10,14,7,0.500000,0.714286,0.857143,1.000000,1,5,True,695,695
grafana,grafana,2020-06-30,2025-06-29,0.500,no,no,34604,501,75,0.555901,0.605590,0.642857,0.717391,1,20,467,66,0.618056,0.663194,0.697917,0.756944,1,15,20,16,0.150000,0.350000,0.450000,0.700000,6,12,14,12,0.142857,0.357143,0.500000,0.857143,5,10,True,501,501
netty,netty,2020-06-30,2025-06-29,0.500,no,no,3682,37,13,0.486486,0.648649,0.756757,0.918919,2,6,27,11,0.518519,0.703704,0.777778,0.962963,1,6,2,2,0.500000,1.000000,1.000000,1.000000,1,2,8,5,0.375000,0.750000,1.000000,1.000000,2,4,True,37,37
scrapy,scrapy,2020-06-30,2025-06-29,0.500,no,no,1929,30,13,0.366667,0.633333,0.733333,0.900000,2,7,20,9,0.450000,0.650000,0.800000,1.000000,2,5,5,4,0.400000,0.800000,1.000000,1.000000,2,3,5,4,0.400000,0.800000,1.000000,1.000000,2,3,True,30,30
numpy,numpy,2020-06-30,2025-06-29,0.500,no,no,11159,55,35,0.127273,0.290909,0.400000,0.545455,8,24,53,34,0.132075,0.301887,0.396226,0.547170,8,24,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,55,55
Ghost,Ghost,2020-06-30,2025-06-29,0.500,no,no,28193,53,17,0.358491,0.660377,0.754717,0.867925,2,7,51,16,0.372549,0.666667,0.764706,0.882353,2,6,2,2,0.500000,1.000000,1.000000,1.000000,1,2,0,0,,,,,,,True,53,53
ansible,ansible,2020-06-30,2025-06-29,0.500,no,no,4797,19,15,0.105263,0.315789,0.473684,0.736842,6,12,17,14,0.117647,0.352941,0.470588,0.764706,6,11,0,0,,,,,,,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,19,19
bitcoin,bitcoin,2020-06-30,2025-06-29,0.500,no,no,13951,66,23,0.227273,0.560606,0.681818,0.803030,3,10,34,17,0.264706,0.529412,0.647059,0.794118,3,11,9,8,0.222222,0.444444,0.666667,1.000000,4,7,23,6,0.434783,0.869565,0.956522,1.000000,2,3,True,66,66
airflow,airflow,2020-06-30,2025-06-29,0.500,no,no,22156,568,135,0.195423,0.375000,0.471831,0.600352,6,34,263,98,0.163498,0.319392,0.406844,0.555133,8,46,100,39,0.180000,0.370000,0.480000,0.690000,6,19,205,44,0.321951,0.512195,0.643902,0.780488,3,11,True,568,568
FreeRDP,FreeRDP,2020-06-30,2025-06-29,0.500,no,no,6239,53,7,0.603774,0.905660,0.962264,1.000000,1,2,50,7,0.600000,0.900000,0.960000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,2,1,1.000000,1.000000,1.000000,1.000000,1,1,True,53,53
todomvc,todomvc,2020-06-30,2025-06-29,0.500,no,no,45,2,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,2,2
nixpkgs,nixpkgs,2020-06-30,2025-06-29,0.500,no,no,367973,165,78,0.212121,0.290909,0.339394,0.442424,14,45,150,73,0.200000,0.286667,0.340000,0.446667,13,43,8,6,0.250000,0.625000,0.875000,1.000000,2,5,7,5,0.428571,0.714286,1.000000,1.000000,2,4,True,165,165
markdown-here,markdown-here,2020-06-30,2025-06-29,0.500,no,no,29,6,2,0.833333,1.000000,1.000000,1.000000,1,1,5,2,0.800000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,6,6
