project_name,repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
symfony,symfony,2020-06-30,2025-06-29,0.500,no,no,11531,142,23,0.669014,0.816901,0.845070,0.908451,1,3,140,23,0.678571,0.814286,0.842857,0.907143,1,3,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,142,142
dubbo,dubbo,2020-06-30,2025-06-29,0.500,no,no,3859,51,24,0.235294,0.549020,0.627451,0.725490,3,14,35,19,0.257143,0.514286,0.600000,0.742857,3,12,5,3,0.600000,1.000000,1.000000,1.000000,1,2,11,8,0.272727,0.545455,0.727273,1.000000,3,6,True,51,51
jenkins,jenkins,2020-06-30,2025-06-29,0.500,no,no,6105,59,19,0.237288,0.508475,0.644068,0.830508,3,10,49,17,0.265306,0.489796,0.632653,0.857143,4,9,2,1,1.000000,1.000000,1.000000,1.000000,1,1,8,6,0.250000,0.625000,0.875000,1.000000,2,5,True,59,59
node,node,2020-06-30,2025-06-29,0.500,no,no,13557,988,177,0.191991,0.362780,0.474676,0.592462,6,44,791,162,0.114706,0.314706,0.442647,0.579412,7,45,170,39,0.598592,0.676056,0.718310,0.795775,1,11,27,20,0.148148,0.333333,0.444444,0.629630,7,15,True,988,988
kubernetes,kubernetes,2020-06-30,2025-06-29,0.500,no,no,23236,21,19,0.095238,0.238095,0.333333,0.571429,9,15,19,17,0.105263,0.263158,0.368421,0.631579,8,14,0,0,,,,,,,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,21,21
qmk_firmware,qmk_firmware,2020-06-30,2025-06-29,0.500,no,no,10610,42,7,0.642857,0.904762,0.952381,1.000000,1,3,40,6,0.675000,0.925000,0.975000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,42,42
darknet,darknet,2020-06-30,2025-06-29,0.500,no,no,16,15,1,1.000000,1.000000,1.000000,1.000000,1,1,15,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,0,0,,,,,,,True,15,15
HanLP,HanLP,2020-06-30,2025-06-29,0.500,no,no,466,44,2,0.954545,1.000000,1.000000,1.000000,1,1,43,2,0.953488,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,44,44
electron,electron,2020-06-30,2025-06-29,0.500,no,no,5713,44,21,0.204545,0.431818,0.568182,0.750000,4,13,38,19,0.184211,0.447368,0.552632,0.763158,4,12,3,3,0.333333,1.000000,1.000000,1.000000,2,3,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,44,44
openssl,openssl,2020-06-30,2025-06-29,0.500,no,no,11027,50,29,0.220000,0.360000,0.460000,0.620000,6,19,33,20,0.242424,0.393939,0.515152,0.696970,5,14,5,5,0.200000,0.600000,1.000000,1.000000,3,4,12,9,0.166667,0.500000,0.666667,1.000000,3,7,True,50,50
vscode,vscode,2020-06-30,2025-06-29,0.500,no,no,59032,34,25,0.117647,0.235294,0.352941,0.558824,8,19,28,23,0.107143,0.250000,0.357143,0.535714,9,18,3,3,0.333333,1.000000,1.000000,1.000000,2,3,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,34,34
echarts,echarts,2020-06-30,2025-06-29,0.500,no,no,2683,30,9,0.357143,0.785714,0.857143,1.000000,2,4,23,8,0.285714,0.761905,0.857143,1.000000,2,4,5,3,0.600000,1.000000,1.000000,1.000000,1,2,2,2,0.500000,1.000000,1.000000,1.000000,1,2,True,30,30
reveal.js,reveal.js,2020-06-30,2025-06-29,0.500,no,no,438,19,1,1.000000,1.000000,1.000000,1.000000,1,1,15,1,1.000000,1.000000,1.000000,1.000000,1,1,3,1,1.000000,1.000000,1.000000,1.000000,1,1,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,19,19
