project_name,repo,active_window_rate,entropy_norm,cluster_id,archetype
metasploit-framework,metasploit-framework,0.4098360655737705,0.668810014030381,0,Occasional
juice-shop,juice-shop,0.819672131147541,0.8902799552794232,2,Consistent
flask,flask,0.2459016393442623,0.6243438750292691,1,Sparse
terraform,terraform,0.918032786885246,0.9190458265163766,2,Consistent
FFmpeg,FFmpeg,0.9672131147540984,0.9445804520678962,2,Consistent
aspnetcore,aspnetcore,0.360655737704918,0.71489890178309,0,Occasional
Marlin,Marlin,0.4262295081967213,0.7624395199919911,0,Occasional
jekyll,jekyll,0.8852459016393442,0.889046367043461,2,Consistent
PHPMailer,PHPMailer,0.5737704918032787,0.8035379139988229,0,Occasional
go,go,0.3770491803278688,0.7105393331015678,0,Occasional
core,core,0.3770491803278688,0.7444371181707646,0,Occasional
bootstrap,bootstrap,0.6885245901639344,0.8630245209581516,2,Consistent
dotfiles,dotfiles,0.0491803278688524,0.2566170120615672,1,Sparse
Chart.js,Chart.js,0.2786885245901639,0.656522194133825,0,Occasional
WordPress,WordPress,0.4098360655737705,0.7618609389563106,0,Occasional
react-native,react-native,0.8852459016393442,0.9024702583231397,2,Consistent
pdf.js,pdf.js,0.360655737704918,0.7260913124448205,0,Occasional
DefinitelyTyped,DefinitelyTyped,0.7704918032786885,0.8444906552249595,2,Consistent
Python,Python,0.2295081967213114,0.4609540432160616,1,Sparse
grpc,grpc,0.6885245901639344,0.8398444888862241,2,Consistent
framework,framework,0.819672131147541,0.903460751929737,2,Consistent
guava,guava,0.4426229508196721,0.7621185979271853,0,Occasional
flink,flink,0.4098360655737705,0.7653196402426686,0,Occasional
minimal-mistakes,minimal-mistakes,0.4754098360655737,0.7105378481524905,0,Occasional
redis,redis,0.4590163934426229,0.6867997988061347,0,Occasional
ardupilot,ardupilot,0.3278688524590163,0.7051409591642314,0,Occasional
material-ui,material-ui,1.0,0.9779650964968668,2,Consistent
mybatis-3,mybatis-3,0.180327868852459,0.5479925707408786,1,Sparse
ionic-framework,ionic-framework,0.8852459016393442,0.9131888088310316,2,Consistent
imgui,imgui,0.1639344262295081,0.5363301063864917,1,Sparse
TypeScript,TypeScript,0.4426229508196721,0.7761355199764771,0,Occasional
odoo,odoo,0.2131147540983606,0.6137894365825559,1,Sparse
rust,rust,1.0,0.9753631056026502,2,Consistent
animate.css,animate.css,0.1475409836065573,0.4942402237821651,1,Sparse
jquery,jquery,0.3114754098360656,0.6838982637738295,0,Occasional
Vue-core,Vue-core,0.8688524590163934,0.8910823611578284,2,Consistent
lantern,lantern,0.081967213114754,0.3437169798450883,1,Sparse
three.js,three.js,0.4754098360655737,0.7815263323291296,0,Occasional
angular,angular,1.0,0.9888412870279784,2,Consistent
grafana,grafana,0.9016393442622952,0.9089114652785945,2,Consistent
netty,netty,0.2950819672131147,0.6418406051147727,0,Occasional
scrapy,scrapy,0.4098360655737705,0.7107246215028619,0,Occasional
numpy,numpy,0.3770491803278688,0.6783294223103542,0,Occasional
Ghost,Ghost,0.5081967213114754,0.7971271222100823,0,Occasional
ansible,ansible,0.2295081967213114,0.6275124848977414,1,Sparse
bitcoin,bitcoin,0.6721311475409836,0.8734936734862313,2,Consistent
airflow,airflow,1.0,0.9517714861438265,2,Consistent
FreeRDP,FreeRDP,0.4098360655737705,0.7307802444542505,0,Occasional
todomvc,todomvc,0.0327868852459016,0.1548367060935873,1,Sparse
nixpkgs,nixpkgs,0.7049180327868853,0.8296127940201382,2,Consistent
markdown-here,markdown-here,0.0655737704918032,0.3106478820952459,1,Sparse
flutter,flutter,0.8688524590163934,0.9204395012412848,2,Consistent
go-ethereum,go-ethereum,0.5409836065573771,0.8289409144156485,0,Occasional
opencv,opencv,0.1967213114754098,0.5701787646017642,1,Sparse
socket.io,socket.io,0.7213114754098361,0.832709763456306,2,Consistent
shadowsocks-android,shadowsocks-android,0.1147540983606557,0.459551722133398,1,Sparse
spring-framework,spring-framework,0.3278688524590163,0.7034303892605933,0,Occasional
erpnext,erpnext,0.2786885245901639,0.589591190282785,1,Sparse
ohmyzsh,ohmyzsh,0.4590163934426229,0.7702421959925077,0,Occasional
kafka,kafka,0.4918032786885246,0.7821890710999863,0,Occasional
d3,d3,0.1639344262295081,0.5461211772250886,1,Sparse
Rocket.Chat,Rocket.Chat,0.7213114754098361,0.8706569291712621,2,Consistent
azure-quickstart-templates,azure-quickstart-templates,0.0655737704918032,0.3372261973790022,1,Sparse
moby,moby,0.5573770491803278,0.8275082829345493,0,Occasional
etcd,etcd,0.6885245901639344,0.8652303382562401,2,Consistent
homebrew-cask,homebrew-cask,0.360655737704918,0.7117241539072521,0,Occasional
html5-boilerplate,html5-boilerplate,0.3934426229508196,0.7409283209082461,0,Occasional
youtube-dl,youtube-dl,0.2786885245901639,0.5631586708702783,1,Sparse
java-design-patterns,java-design-patterns,0.3442622950819672,0.6872714835628879,0,Occasional
symfony,symfony,0.9836065573770492,0.9228714908654256,2,Consistent
dubbo,dubbo,0.4754098360655737,0.7755033372766229,0,Occasional
jenkins,jenkins,0.5245901639344263,0.8082319631819973,0,Occasional
node,node,1.0,0.962780697231144,2,Consistent
kubernetes,kubernetes,0.2786885245901639,0.6703075505865258,0,Occasional
qmk_firmware,qmk_firmware,0.3934426229508196,0.7600122078091428,0,Occasional
darknet,darknet,0.1475409836065573,0.4748013448513826,1,Sparse
HanLP,HanLP,0.4262295081967213,0.7242534624510166,0,Occasional
electron,electron,0.5409836065573771,0.8304395001888613,0,Occasional
openssl,openssl,0.4590163934426229,0.7836509650303464,0,Occasional
vscode,vscode,0.3442622950819672,0.7114677386865149,0,Occasional
echarts,echarts,0.2622950819672131,0.6202330303063626,1,Sparse
reveal.js,reveal.js,0.2295081967213114,0.593864642523777,1,Sparse
AspNetCore.Docs,AspNetCore.Docs,0.3114754098360656,0.696989337819305,0,Occasional
django,django,0.8524590163934426,0.9231480685272992,2,Consistent
shadowsocks-windows,shadowsocks-windows,0.0491803278688524,0.2529196480342516,1,Sparse
react,react,0.4754098360655737,0.7677425728022537,0,Occasional
axios,axios,0.7049180327868853,0.8074911673397316,2,Consistent
elasticsearch,elasticsearch,0.7213114754098361,0.8915496583597049,2,Consistent
protobuf,protobuf,0.3114754098360656,0.6870475799638535,0,Occasional
zxing,zxing,0.2131147540983606,0.5952873742016478,1,Sparse
godot,godot,0.7213114754098361,0.8742944353630595,2,Consistent
spark,spark,0.3770491803278688,0.7148989017830899,0,Occasional
laravel,laravel,0.9672131147540984,0.950281470791576,2,Consistent
gitignore,gitignore,0.0983606557377049,0.4251816414752122,1,Sparse
pandas,pandas,0.4918032786885246,0.8051040409332259,0,Occasional
AdminLTE,AdminLTE,0.2622950819672131,0.6144959087119523,1,Sparse
react-router,react-router,0.8360655737704918,0.894745948419439,2,Consistent
ant-design,ant-design,1.0,0.9726613965447332,2,Consistent
rails,rails,0.360655737704918,0.7079516285291358,0,Occasional
spring-boot,spring-boot,0.4098360655737705,0.7307287652409399,0,Occasional
