project_name,repo,since,until,include_merges,dominant_threshold,total_commits_in_range,health_docs_touch_commits,health_docs_only_commits,health_docs_dominant_mixed_commits,health_docs_mixed_non_dominant_commits,health_docs_only_rate,health_docs_dominant_mixed_rate,health_docs_mixed_non_dominant_rate,partition_check_sum
metasploit-framework,metasploit-framework,2020-06-30,2025-06-29,no,0.500,14692,79,50,0,29,0.632911,0.000000,0.367089,79
juice-shop,juice-shop,2020-06-30,2025-06-29,no,0.500,6394,140,71,31,38,0.507143,0.221429,0.271429,140
flask,flask,2020-06-30,2025-06-29,no,0.500,877,32,22,3,7,0.687500,0.093750,0.218750,32
terraform,terraform,2020-06-30,2025-06-29,no,0.500,6466,562,465,83,14,0.827402,0.147687,0.024911,562
FFmpeg,FFmpeg,2020-06-30,2025-06-29,no,0.500,21718,410,172,178,60,0.419512,0.434146,0.146341,410
aspnetcore,aspnetcore,2020-06-30,2025-06-29,no,0.500,10420,37,28,3,6,0.756757,0.081081,0.162162,37
Marlin,Marlin,2020-06-30,2025-06-29,no,0.500,6303,41,27,7,7,0.658537,0.170732,0.170732,41
jekyll,jekyll,2020-06-30,2025-06-29,no,0.500,844,388,382,3,3,0.984536,0.007732,0.007732,388
PHPMailer,PHPMailer,2020-06-30,2025-06-29,no,0.500,729,115,84,27,4,0.730435,0.234783,0.034783,115
go,go,2020-06-30,2025-06-29,no,0.500,18851,46,43,3,0,0.934783,0.065217,0.000000,46
core,core,2020-06-30,2025-06-29,no,0.500,67821,30,24,0,6,0.800000,0.000000,0.200000,30
bootstrap,bootstrap,2020-06-30,2025-06-29,no,0.500,3179,89,46,10,33,0.516854,0.112360,0.370787,89
dotfiles,dotfiles,2020-06-30,2025-06-29,no,0.500,105,5,2,1,2,0.400000,0.200000,0.400000,5
Chart.js,Chart.js,2020-06-30,2025-06-29,no,0.500,1345,25,22,1,2,0.880000,0.040000,0.080000,25
WordPress,WordPress,2020-06-30,2025-06-29,no,0.500,9364,31,30,1,0,0.967742,0.032258,0.000000,31
react-native,react-native,2020-06-30,2025-06-29,no,0.500,17069,221,210,6,5,0.950226,0.027149,0.022624,221
pdf.js,pdf.js,2020-06-30,2025-06-29,no,0.500,4691,29,25,0,4,0.862069,0.000000,0.137931,29
DefinitelyTyped,DefinitelyTyped,2020-06-30,2025-06-29,no,0.500,19754,123,108,9,6,0.878049,0.073171,0.048780,123
Python,Python,2020-06-30,2025-06-29,no,0.500,1767,42,41,1,0,0.976190,0.023810,0.000000,42
grpc,grpc,2020-06-30,2025-06-29,no,0.500,10265,160,129,4,27,0.806250,0.025000,0.168750,160
framework,framework,2020-06-30,2025-06-29,no,0.500,9924,402,393,3,6,0.977612,0.007463,0.014925,402
guava,guava,2020-06-30,2025-06-29,no,0.500,1647,48,15,24,9,0.312500,0.500000,0.187500,48
flink,flink,2020-06-30,2025-06-29,no,0.500,14042,32,18,3,11,0.562500,0.093750,0.343750,32
minimal-mistakes,minimal-mistakes,2020-06-30,2025-06-29,no,0.500,389,204,152,26,26,0.745098,0.127451,0.127451,204
redis,redis,2020-06-30,2025-06-29,no,0.500,3175,68,51,8,9,0.750000,0.117647,0.132353,68
ardupilot,ardupilot,2020-06-30,2025-06-29,no,0.500,25456,28,25,1,2,0.892857,0.035714,0.071429,28
material-ui,material-ui,2020-06-30,2025-06-29,no,0.500,12753,586,310,176,100,0.529010,0.300341,0.170648,586
mybatis-3,mybatis-3,2020-06-30,2025-06-29,no,0.500,1340,16,14,2,0,0.875000,0.125000,0.000000,16
