project_name,repo,since,until,total_commits_all,bot_commits_classified,unique_bot_contributor_ids,commits_counted_for_metrics,unique_contributors_for_metrics,gini,top3_share,top5_share,top10_share
node,node,2020-06-30,2025-06-29,13555,1956,311,11599,991,0.857482146630651,0.23019225795327183,0.31571687214415034,0.46107423053711527
kubernetes,kubernetes,2020-06-30,2025-06-29,23233,735,161,22498,2019,0.7930816898104331,0.10227575784514178,0.13961240999199928,0.21197439772424215
qmk_firmware,qmk_firmware,2020-06-30,2025-06-29,10609,4314,874,6295,1109,0.7787436319634786,0.4030182684670373,0.4996028594122319,0.5699761715647339
darknet,darknet,2020-06-30,2025-06-29,16,15,1,1,1,0.0,1.0,1.0,1.0
HanLP,HanLP,2020-06-30,2025-06-29,466,3,2,463,9,0.8663306935445163,0.9848812095032398,0.9913606911447084,1.0
electron,electron,2020-06-30,2025-06-29,5713,1635,163,4078,307,0.8885495061288586,0.40583619421284944,0.5693967631191761,0.8003923491907798
openssl,openssl,2020-06-30,2025-06-29,11026,171,58,10855,689,0.8888163608030115,0.30686319668355594,0.4698295716259788,0.6873330262551819
data,data,2020-06-30,2025-06-29,234,3,2,231,16,0.6198593073593073,0.5584415584415584,0.8701298701298701,0.974025974025974
echarts,echarts,2020-06-30,2025-06-29,2683,64,36,2619,154,0.8900219673415548,0.6277205040091638,0.8125238640702558,0.8633066055746468
reveal.js,reveal.js,2020-06-30,2025-06-29,411,9,7,402,50,0.8242786069651742,0.7835820895522388,0.818407960199005,0.8706467661691543
AspNetCore.Docs,AspNetCore.Docs,2020-06-30,2025-06-29,7415,4607,316,2808,521,0.7802986804906191,0.37571225071225073,0.5245726495726496,0.6289173789173789
django,django,2020-06-30,2025-06-29,5132,635,183,4497,870,0.760636081781213,0.327106960195686,0.3984878808094285,0.5118968201022904
shadowsocks-windows,shadowsocks-windows,2020-06-30,2025-06-29,78,0,0,78,10,0.6794871794871793,0.8717948717948718,0.9358974358974359,1.0
react,react,2020-06-30,2025-06-29,7207,1303,120,5904,323,0.9004495037210434,0.3971883468834688,0.5210027100271003,0.7169715447154471
axios,axios,2020-06-30,2025-06-29,716,198,89,518,172,0.6539912005028283,0.6138996138996139,0.637065637065637,0.6621621621621622
elasticsearch,elasticsearch,2020-06-30,2025-06-29,33215,7590,250,25625,595,0.8772044107399057,0.19121951219512195,0.25674146341463416,0.3802146341463415
protobuf,protobuf,2020-06-30,2025-06-29,11034,4517,107,6517,551,0.8738903445880899,0.35031456191499155,0.4646309651680221,0.6694798220039896
godot,godot,2020-06-30,2025-06-29,24073,4406,411,19667,1796,0.8487240448795383,0.20257283774851273,0.26836833274012306,0.38434941780647786
spark,spark,2020-06-30,2025-06-29,17199,253,68,16946,1033,0.8616415973797071,0.20128643927770565,0.2759943349463,0.4147291396199693
laravel,laravel,2020-06-30,2025-06-29,747,194,58,553,142,0.7061737513689734,0.5316455696202531,0.6455696202531646,0.6998191681735986
gitignore,gitignore,2020-06-30,2025-06-29,425,122,75,303,213,0.24447233455739936,0.0594059405940594,0.0924092409240924,0.1551155115511551
pandas,pandas,2020-06-30,2025-06-29,12707,5450,852,7257,834,0.8565656775943444,0.5120573239630701,0.5985944605208764,0.6940884663083919
AdminLTE,AdminLTE,2020-06-30,2025-06-29,1150,851,9,299,21,0.8555502468545946,0.8963210702341137,0.9331103678929766,0.9632107023411371
react-router,react-router,2020-06-30,2025-06-29,4786,893,176,3893,380,0.8794347479281301,0.47058823529411764,0.5869509375802723,0.8147957873105575
ant-design,ant-design,2020-06-30,2025-06-29,9843,1815,478,8028,824,0.8698085221143474,0.461136023916293,0.5901843547583457,0.7097658196312905
rails,rails,2020-06-30,2025-06-29,10690,473,236,10217,1480,0.8042234193672972,0.20671429969658411,0.2774787119506705,0.4190075364588431
spring-boot,spring-boot,2020-06-30,2025-06-29,17254,247,86,17007,575,0.9477249521296855,0.5552419591932733,0.7012994649262069,0.8467689774798612
