project_name,repo,since,until,months,include_merges,total_commits_in_range,health_file_commits,active_months,active_month_rate,entropy_norm,top1_month_share,top3_month_share,top6_month_share,gini_month_concentration
todomvc,todomvc,2020-06-30,2025-06-29,61,no,45,3,2,0.032787,0.154837,0.666667,1.000000,1.000000,0.972678
nixpkgs,nixpkgs,2020-06-30,2025-06-29,61,no,367953,165,43,0.704918,0.829613,0.175758,0.272727,0.393939,0.582017
markdown-here,markdown-here,2020-06-30,2025-06-29,61,no,29,7,4,0.065574,0.310648,0.428571,0.857143,1.000000,0.950820
flutter,flutter,2020-06-30,2025-06-29,61,no,52524,166,53,0.868852,0.920440,0.054217,0.132530,0.240964,0.426230
go-ethereum,go-ethereum,2020-06-30,2025-06-29,61,no,4074,53,33,0.540984,0.828941,0.056604,0.169811,0.301887,0.579029
opencv,opencv,2020-06-30,2025-06-29,61,no,3911,17,12,0.196721,0.570179,0.235294,0.470588,0.647059,0.850530
socket.io,socket.io,2020-06-30,2025-06-29,61,no,1243,349,44,0.721311,0.832094,0.083095,0.223496,0.383954,0.617220
shadowsocks-android,shadowsocks-android,2020-06-30,2025-06-29,61,no,251,9,7,0.114754,0.459552,0.222222,0.555556,0.888889,0.903461
spring-framework,spring-framework,2020-06-30,2025-06-29,61,no,9878,35,20,0.327869,0.703430,0.114286,0.285714,0.457143,0.751288
erpnext,erpnext,2020-06-30,2025-06-29,61,no,15017,42,17,0.278689,0.589591,0.309524,0.500000,0.690476,0.845433
ohmyzsh,ohmyzsh,2020-06-30,2025-06-29,61,no,1823,55,28,0.459016,0.770242,0.090909,0.254545,0.436364,0.682563
kafka,kafka,2020-06-30,2025-06-29,61,no,8255,69,30,0.491803,0.782189,0.101449,0.246377,0.405797,0.671894
d3,d3,2020-06-30,2025-06-29,61,no,288,13,10,0.163934,0.546121,0.153846,0.461538,0.692308,0.862547
Rocket.Chat,Rocket.Chat,2020-06-30,2025-06-29,61,no,8732,390,44,0.721311,0.870657,0.058974,0.158974,0.279487,0.526692
azure-quickstart-templates,azure-quickstart-templates,2020-06-30,2025-06-29,61,no,10036,5,5,0.081967,0.391507,0.200000,0.600000,1.000000,0.918033
moby,moby,2020-06-30,2025-06-29,61,no,7489,66,34,0.557377,0.827508,0.060606,0.181818,0.333333,0.593641
etcd,etcd,2020-06-30,2025-06-29,61,no,4230,105,42,0.688525,0.865654,0.066667,0.171429,0.295238,0.537705
homebrew-cask,homebrew-cask,2020-06-30,2025-06-29,61,no,145553,40,22,0.360656,0.707154,0.125000,0.325000,0.525000,0.754098
html5-boilerplate,html5-boilerplate,2020-06-30,2025-06-29,61,no,486,42,24,0.393443,0.737572,0.095238,0.285714,0.452381,0.718189
youtube-dl,youtube-dl,2020-06-30,2025-06-29,61,no,1215,104,17,0.278689,0.563159,0.240385,0.538462,0.788462,0.874212
java-design-patterns,java-design-patterns,2020-06-30,2025-06-29,61,no,1799,462,49,0.803279,0.768605,0.268398,0.396104,0.528139,0.652189
symfony,symfony,2020-06-30,2025-06-29,61,no,11504,173,60,0.983607,0.922871,0.109827,0.213873,0.317919,0.405951
dubbo,dubbo,2020-06-30,2025-06-29,61,no,3859,51,29,0.475410,0.775503,0.098039,0.274510,0.431373,0.671167
jenkins,jenkins,2020-06-30,2025-06-29,61,no,6105,59,32,0.524590,0.808232,0.067797,0.203390,0.372881,0.626285
node,node,2020-06-30,2025-06-29,61,no,13555,988,61,1.000000,0.969046,0.051619,0.139676,0.217611,0.267505
kubernetes,kubernetes,2020-06-30,2025-06-29,61,no,23233,21,17,0.278689,0.670308,0.142857,0.333333,0.476190,0.766589
qmk_firmware,qmk_firmware,2020-06-30,2025-06-29,61,no,10609,43,24,0.393443,0.760012,0.069767,0.186047,0.325581,0.668700
darknet,darknet,2020-06-30,2025-06-29,61,no,16,15,9,0.147541,0.474801,0.333333,0.600000,0.800000,0.900546
HanLP,HanLP,2020-06-30,2025-06-29,61,no,466,44,26,0.426230,0.724253,0.227273,0.318182,0.454545,0.707899
electron,electron,2020-06-30,2025-06-29,61,no,5713,44,33,0.540984,0.830440,0.068182,0.181818,0.318182,0.562593
openssl,openssl,2020-06-30,2025-06-29,61,no,11026,51,28,0.459016,0.783651,0.078431,0.215686,0.372549,0.656381
data,data,2020-06-30,2025-06-29,61,no,234,4,2,0.032787,0.136792,0.750000,1.000000,1.000000,0.975410
echarts,echarts,2020-06-30,2025-06-29,61,no,2683,30,17,0.278689,0.638465,0.166667,0.433333,0.633333,0.812022
reveal.js,reveal.js,2020-06-30,2025-06-29,61,no,411,24,14,0.229508,0.593865,0.250000,0.416667,0.666667,0.838798
AspNetCore.Docs,AspNetCore.Docs,2020-06-30,2025-06-29,61,no,7415,25,19,0.311475,0.696989,0.120000,0.280000,0.480000,0.746230
django,django,2020-06-30,2025-06-29,61,no,5132,172,52,0.852459,0.923148,0.058140,0.151163,0.250000,0.408502
shadowsocks-windows,shadowsocks-windows,2020-06-30,2025-06-29,61,no,78,4,3,0.049180,0.252920,0.500000,1.000000,1.000000,0.959016
react,react,2020-06-30,2025-06-29,61,no,7207,67,29,0.475410,0.767743,0.089552,0.238806,0.432836,0.693418
axios,axios,2020-06-30,2025-06-29,61,no,716,226,47,0.770492,0.867356,0.101770,0.225664,0.345133,0.539678
elasticsearch,elasticsearch,2020-06-30,2025-06-29,61,no,33215,89,44,0.721311,0.891550,0.056180,0.157303,0.269663,0.466384
protobuf,protobuf,2020-06-30,2025-06-29,61,no,11034,37,22,0.360656,0.721779,0.135135,0.270270,0.432432,0.729287
zxing,zxing,2020-06-30,2025-06-29,61,no,283,18,13,0.213115,0.595287,0.166667,0.444444,0.611111,0.834244
godot,godot,2020-06-30,2025-06-29,61,no,24073,81,44,0.721311,0.874294,0.086420,0.197531,0.333333,0.507994
spark,spark,2020-06-30,2025-06-29,61,no,17199,37,23,0.377049,0.714899,0.135135,0.324324,0.540541,0.736376
laravel,laravel,2020-06-30,2025-06-29,61,no,747,184,59,0.967213,0.950281,0.070652,0.146739,0.244565,0.334996
gitignore,gitignore,2020-06-30,2025-06-29,61,no,425,9,8,0.131148,0.497021,0.222222,0.444444,0.777778,0.881603
pandas,pandas,2020-06-30,2025-06-29,61,no,12707,45,30,0.491803,0.805104,0.066667,0.200000,0.333333,0.616393
AdminLTE,AdminLTE,2020-06-30,2025-06-29,61,no,361,14,7,0.114754,0.406998,0.428571,0.714286,0.928571,0.927400
react-router,react-router,2020-06-30,2025-06-29,61,no,4786,747,51,0.836066,0.895802,0.054886,0.159304,0.270415,0.486361
ant-design,ant-design,2020-06-30,2025-06-29,61,no,9843,568,61,1.000000,0.972748,0.070423,0.130282,0.204225,0.239898
rails,rails,2020-06-30,2025-06-29,61,no,10690,52,23,0.377049,0.717454,0.134615,0.288462,0.500000,0.747163
spring-boot,spring-boot,2020-06-30,2025-06-29,61,no,17254,59,25,0.409836,0.730729,0.135593,0.322034,0.491525,0.732981
