project_name,repo,granularity,window_count,Rhythm -health_file_commits,mu,sigma,cv,phi_c,active_window_rate,label,commits_in_window,commits_per_year,commit_cv,cv_type,stable,phi_c,total_commits_all,commits_counted_for_metrics,unique_contributors_for_metrics,gini,top3_share,top5_share,top10_share
AdminLTE,AdminLTE,month,61,30,0.491803279,1.134650472,2.307122627,0,0.262295082,unstable,1235,247,1.294,Monthly,FALSE,0,1150,299,21,0.855550247,0.89632107,0.933110368,0.963210702
airflow,airflow,month,61,568,9.31147541,6.004278984,0.644825736,0,1,unstable,22164,4432.8,0.344,Monthly,TRUE,0.63,22156,14864,1389,0.869570305,0.336181378,0.404870829,0.531350915
angular,angular,month,61,697,11.42622951,3.268327893,0.286037305,0.855850781,1,stable,14954,2990.8,0.256,Monthly,TRUE,0.97,14945,13556,1023,0.889272752,0.216656831,0.332841546,0.541974034
animate.css,animate.css,month,61,13,0.213114754,0.635472373,2.981831903,0,0.147540984,unstable,180,36,1.576,Monthly,FALSE,0,173,46,17,0.462915601,0.5,0.695652174,0.847826087
ansible,ansible,month,61,19,0.31147541,0.620241448,1.99130149,0,0.229508197,unstable,4784,956.8,0.448,Monthly,TRUE,0.21,4797,3513,498,0.829702528,0.39795047,0.527184742,0.69285511
ant-design,ant-design,month,61,568,9.31147541,5.123608701,0.550246709,0,1,unstable,10742,2148.4,0.383,Monthly,TRUE,0.47,9843,8028,824,0.869808522,0.461136024,0.590184355,0.70976582
ardupilot,ardupilot,month,61,28,0.459016393,0.765370727,1.667414798,0,0.327868852,unstable,25445,5089,0.19,Monthly,TRUE,0.76,25456,25054,492,0.940335217,0.550969905,0.673744711,0.782749262
aspnetcore,aspnetcore,month,61,37,0.606557377,1.0210891,1.683417165,0,0.360655738,unstable,11117,2223.4,0.401,Monthly,TRUE,0.4,10420,5140,454,0.855006085,0.286964981,0.440466926,0.614202335
AspNetCore.Docs,AspNetCore.Docs,month,61,25,0.409836066,0.692267992,1.6891339,0,0.31147541,unstable,9215,1843,0.27,Monthly,TRUE,0.92,7415,2808,521,0.78029868,0.375712251,0.52457265,0.628917379
axios,axios,month,61,226,3.704918033,4.160706119,1.123022448,0,0.770491803,unstable,725,145,1.112,Monthly,FALSE,0,716,518,172,0.653991201,0.613899614,0.637065637,0.662162162
azure-quickstart-templates,azure-quickstart-templates,month,61,5,0.081967213,0.276591273,3.374413529,0,0.081967213,unstable,12977,2595.4,1.046,Monthly,FALSE,0,10036,6864,351,0.794430996,0.366841492,0.4375,0.510780886
bitcoin,bitcoin,month,61,66,1.081967213,1.037546496,0.958944489,0,0.672131148,unstable,20580,4116,0.324,Monthly,TRUE,0.9,13948,12007,377,0.882982716,0.263429666,0.356542017,0.525693346
bootstrap,bootstrap,month,61,89,1.459016393,1.533772805,1.05123754,0,0.68852459,unstable,3178,635.6,0.623,Monthly,FALSE,0,3179,2143,257,0.848822789,0.463835744,0.632757816,0.81614559
Chart.js,Chart.js,month,61,25,0.409836066,0.80368006,1.960979347,0,0.278688525,unstable,1346,269.2,1.183,Monthly,FALSE,0,1345,1077,119,0.857064832,0.718662953,0.801299907,0.873723305
core,core,month,61,30,0.491803279,0.721640511,1.467335706,0,0.37704918,unstable,68221,13644.2,0.268,Monthly,TRUE,0.93,67821,45226,1826,0.919917175,0.35603414,0.462809004,0.563746517
d3,d3,month,61,13,0.213114754,0.520088265,2.440414166,0,0.163934426,unstable,293,58.6,3.058,Monthly,FALSE,0,288,273,10,0.815750916,0.974358974,0.981684982,1
darknet,darknet,month,61,15,0.245901639,0.788579687,3.206890729,0,0.147540984,unstable,17,3.4,2.888,Monthly,FALSE,0,16,1,1,0,1,1,1
data,data,month,61,4,0.06557377,0.402858638,6.143594225,0,0.032786885,sparse,295,59,1.469,Monthly,FALSE,0,234,231,16,0.619859307,0.558441558,0.87012987,0.974025974
DefinitelyTyped,DefinitelyTyped,month,61,123,2.016393443,2.572235106,1.275661313,0,0.770491803,unstable,19747,3949.4,0.459,Monthly,TRUE,0.17,19754,11280,5230,0.495227174,0.12570922,0.155673759,0.191578014
django,django,month,61,172,2.819672131,2.148706562,0.762041281,0,0.852459016,unstable,5126,1025.2,0.214,Monthly,TRUE,0.86,5132,4497,870,0.760636082,0.32710696,0.398487881,0.51189682
dotfiles,dotfiles,month,61,5,0.081967213,0.378377323,4.616203346,0,0.049180328,unstable,141,28.2,2.164,Monthly,FALSE,0,105,44,13,0.416083916,0.477272727,0.75,0.931818182
dubbo,dubbo,month,61,51,0.836065574,1.199726745,1.434967283,0,0.475409836,unstable,4145,829,0.603,Monthly,FALSE,0,3859,2419,208,0.848016106,0.552294337,0.611409673,0.729226953
echarts,echarts,month,61,30,0.491803279,1.04279993,2.120359858,0,0.278688525,unstable,3771,754.2,0.946,Monthly,FALSE,0,2683,2619,154,0.890021967,0.627720504,0.812523864,0.863306606
elasticsearch,elasticsearch,month,61,89,1.459016393,1.272448696,0.872127758,0,0.721311475,unstable,34238,6847.6,0.282,Monthly,TRUE,0.87,33215,25625,595,0.877204411,0.191219512,0.256741463,0.380214634
electron,electron,month,61,44,0.721311475,0.798564285,1.107100487,0,0.540983607,unstable,5712,1142.4,0.359,Monthly,TRUE,0.56,5713,4078,307,0.888549506,0.405836194,0.569396763,0.800392349
frappe,erpnext,month,61,42,0.68852,1.87564,2.72414661,0,0.27868,unstable,21522,4304.4,0.538,Monthly,FALSE,0,15017,12639,280,0.87387,0.3069,0.42266,0.637313
etcd,etcd,month,61,105,1.721311475,1.733312316,1.006971917,0,0.68852459,unstable,7116,1423.2,0.42,Monthly,TRUE,0.32,4230,3933,444,0.811303867,0.35367404,0.437070938,0.581235698
FFmpeg,FFmpeg,month,61,410,6.721311475,4.662371169,0.693669857,0,0.967213115,unstable,21699,4339.8,0.338,Monthly,TRUE,0.65,21718,21718,601,0.927374626,0.397412285,0.56506124,0.726448108
flask,flask,month,61,32,0.524590164,1.089442631,2.076750015,0,0.245901639,unstable,1503,300.6,0.792,Monthly,FALSE,0,877,695,138,0.788165989,0.761151079,0.776978417,0.802877698
flink,flink,month,61,32,0.524590164,0.721261797,1.3749053,0,0.409836066,unstable,14041,2808.2,0.533,Monthly,FALSE,0,14042,13375,882,0.841319601,0.137046729,0.191401869,0.297495327
flutter,flutter,month,61,166,2.721311475,2.106586081,0.774106933,0,0.868852459,unstable,52494,10498.8,0.249,Monthly,TRUE,1,52524,42816,978,0.947308939,0.619955157,0.660056988,0.728676196
framework,framework,month,61,402,6.590163934,5.58383694,0.84729864,0,0.819672131,unstable,11078,2215.6,0.305,Monthly,TRUE,0.78,9924,7088,1317,0.753870638,0.261145598,0.352003386,0.450479684
FreeRDP,FreeRDP,month,61,53,0.868852459,1.419805266,1.634115495,0,0.409836066,unstable,7213,1442.6,0.642,Monthly,FALSE,0,6239,6078,179,0.938146737,0.8343205,0.880717341,0.913951958
Ghost,Ghost,month,61,53,0.868852459,1.16154222,1.336869347,0,0.508196721,unstable,24592,4918.4,0.473,Monthly,TRUE,0.11,24317,18937,235,0.917858656,0.313037968,0.471563606,0.707820669
gitignore,gitignore,month,61,9,0.147540984,0.40149992,2.721277236,0,0.131147541,unstable,738,147.6,1.556,Monthly,FALSE,0,425,303,213,0.244472335,0.059405941,0.092409241,0.155115512
go,go,month,61,46,0.754098361,1.299432411,1.723160371,0,0.37704918,unstable,18921,3784.2,0.337,Monthly,TRUE,0.65,18851,18792,1079,0.890504843,0.168795232,0.259152831,0.425819498
go-ethereum,go-ethereum,month,61,53,0.868852459,0.956998952,1.101451624,0,0.540983607,unstable,4259,851.8,0.256,Monthly,TRUE,0.97,4074,3256,416,0.832429184,0.403255528,0.589987715,0.702702703
godot,godot,month,61,81,1.327868852,1.375031048,1.035517209,0,0.721311475,unstable,46706,9341.2,0.24,Monthly,TRUE,0.96,24073,19667,1796,0.848724045,0.202572838,0.268368333,0.384349418
grafana,grafana,month,61,501,8.213114754,4.615606692,0.561980056,0,1,unstable,34581,6916.2,0.298,Monthly,TRUE,0.81,34604,20824,980,0.876507876,0.140414906,0.190405302,0.287360738
grpc,grpc,month,61,160,2.62295082,3.261717004,1.243529608,0,0.68852459,unstable,11421,2284.2,0.469,Monthly,TRUE,0.12,10265,9238,387,0.904328431,0.391643213,0.527603377,0.67406365
guava,guava,month,61,48,0.786885246,1.141851626,1.451103108,0,0.442622951,unstable,1647,329.4,0.564,Monthly,FALSE,0,1647,1329,114,0.875813499,0.750188111,0.808126411,0.869074492
HanLP,HanLP,month,61,44,0.721311475,1.415758307,1.962755835,0,0.426229508,unstable,464,92.8,1.21,Monthly,FALSE,0,466,463,9,0.866330694,0.98488121,0.991360691,1
homebrew-cask,homebrew-cask,month,61,40,0.655737705,1.138496756,1.736207553,0,0.360655738,unstable,213861,42772.2,0.663,Monthly,FALSE,0,145553,68478,3456,0.92214936,0.309077368,0.429466398,0.623630947
html5-boilerplate,html5-boilerplate,month,61,42,0.68852459,1.073017297,1.558429884,0,0.393442623,unstable,730,146,0.843,Monthly,FALSE,0,486,124,18,0.747311828,0.830645161,0.89516129,0.935483871
imgui,imgui,month,61,13,0.213114754,0.551203353,2.586415734,0,0.163934426,unstable,3322,664.4,0.433,Monthly,TRUE,0.27,3319,3177,230,0.916980745,0.889203651,0.902738432,0.91312559
ionic-framework,ionic-framework,month,61,340,5.573770492,4.035091971,0.723942971,0,0.967213115,unstable,3788,757.6,0.554,Monthly,FALSE,0,3200,1114,97,0.864924392,0.716337522,0.79443447,0.885098743
java-design-patterns,java-design-patterns,month,61,462,7.573770492,16.53426646,2.183095787,0,0.803278689,unstable,1883,376.6,1.635,Monthly,FALSE,0,1799,916,122,0.831913523,0.748908297,0.770742358,0.811135371
jekyll,jekyll,month,61,388,6.360655738,6.26639925,0.985181325,0,0.885245902,unstable,843,168.6,0.983,Monthly,FALSE,0,844,586,126,0.766401214,0.716723549,0.747440273,0.776450512
jenkins,jenkins,month,61,59,0.967213115,1.196762482,1.237330701,0,0.524590164,unstable,6841,1368.2,0.396,Monthly,TRUE,0.42,6105,2281,173,0.852039847,0.51249452,0.633055677,0.760631302
jquery,jquery,month,61,26,0.426229508,0.784410955,1.840348779,0,0.31147541,unstable,265,53,0.814,Monthly,FALSE,0,265,171,20,0.827777778,0.894736842,0.912280702,0.941520468
juice-shop,juice-shop,month,61,140,2.295081967,2.223692592,0.968894629,0,0.819672131,unstable,7012,1402.4,1.091,Monthly,FALSE,0,6394,6128,58,0.937342442,0.875163185,0.919875979,0.962630548
kafka,kafka,month,61,69,1.131147541,1.564985728,1.383538107,0,0.491803279,unstable,8249,1649.8,0.467,Monthly,TRUE,0.13,8255,6664,561,0.800701564,0.120948379,0.18472389,0.31392557
kubernetes,kubernetes,month,61,21,0.344262295,0.629424232,1.82832753,0,0.278688525,unstable,38121,7624.2,0.278,Monthly,TRUE,0.89,23233,22498,2019,0.79308169,0.102275758,0.13961241,0.211974398
lantern,lantern,month,61,32,0.524590164,2.07851355,3.962166455,0,0.081967213,unstable,150,30,3.136,Monthly,FALSE,0,538,502,4,0.62250996,0.998007968,1,1
laravel,laravel,month,61,184,3.016393443,2.061486545,0.683427605,0,0.967213115,unstable,863,172.6,0.679,Monthly,FALSE,0,747,553,142,0.706173751,0.53164557,0.64556962,0.699819168
markdown-here,markdown-here,month,61,7,0.114754098,0.486427818,4.238870983,0,0.06557377,unstable,40,8,3.63,Monthly,FALSE,0,29,28,2,0.464285714,1,1,1
Marlin,Marlin,month,61,41,0.672131148,0.961271926,1.430185061,0,0.426229508,unstable,6297,1259.4,0.464,Monthly,TRUE,0.14,6303,1775,311,0.77049409,0.483943662,0.577464789,0.652394366
material-ui,material-ui,month,61,586,9.606557377,4.0795371,0.424661712,0.301353153,1,stable,12745,2549,0.224,Monthly,TRUE,0.9,12753,6717,790,0.863639961,0.467470597,0.601161233,0.719517642
