repo,month,health_file_commit_count
redis,2018-05,0
redis,2018-06,2
redis,2018-07,1
redis,2018-08,0
redis,2018-09,1
redis,2018-10,1
redis,2018-11,0
redis,2018-12,0
redis,2019-01,1
redis,2019-02,0
redis,2019-03,1
redis,2019-04,0
redis,2019-05,2
